School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
Stuyvesant High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10282,Lower Manhattan,69.44,8.33,0.0,22.22,88.24,99.08
Sunset Park High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11232,Sunset Park,10.21,5.29,79.02,5.48,59.11,38.4
Talent Unlimited High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10065,Upper East Side,0.0,20.24,58.33,21.43,71.03,75.02
The High School of Fashion Industries,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10011,Chelsea - Clinton,3.31,29.52,62.6,4.58,78.31,89.79
The Urban Assembly School for Collaborative Health,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11208,East New York,8.0,29.0,63.0,0.0,61.65,42.96
Tottenville High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10312,South Beach - Tottenville ,13.55,3.68,25.26,57.5,66.45,61.07
Union Square Academy for Health Sciences,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10003,Union Square - Lower East Side,11.61,21.43,66.96,0.0,62.29,54.47
Urban Assembly Gateway School for Technology,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,10019,Chelsea - Clinton,14.47,26.32,59.21,0.0,70.76,65.82
Urban Assembly School for Applied Math and Science,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10457,Crotona - Tremont,0.0,0.0,100.0,0.0,62.2,50.6
Urban Assembly School for Leadership and Empowerment,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11219,Borough Park,54.21,0.0,21.5,24.3,70.42,66.36
Urban Assembly School of Design and Construction,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,10019,Chelsea - Clinton,0.0,39.47,60.53,0.0,56.76,34.21
Urban Assembly School of Music and Art,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11201,Downtown - Heights - Park Slope,0.0,58.33,41.67,0.0,56.67,20.82
W. H. Maxwell Career and Technical Education High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",Career Technical,High school,11207,East New York,0.0,63.03,36.97,0.0,50.65,19.33
William Cullen Bryant High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11103,Long Island City - Astoria,25.73,0.0,63.5,10.77,68.24,65.55
Williamsburg Charter High School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11206,Williamsburg - Bushwick,0.0,40.52,59.48,0.0,56.36,34.66
Williamsburg Preparatory School,7,"2017, 2018, 2019, 2020, 2021, 2022, 2023",General Academic,High school,11211,Greenpoint,6.42,20.18,73.39,0.0,76.93,77.99
