School Name,Years of Data,Years Available,School Type,School Level,ZIP Code,Neighborhood,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,Latest Year Mean Score,Latest Year Pass Rate
Institute for Health Professions at Cambria Heights,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,11411,Southeast Queens,0.0,84.62,15.38,0.0,68.9,74.58
International Community High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10454,Hunts Point - Mott Haven,0.0,21.69,78.31,0.0,58.46,55.42
International High School at Lafayette,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11214,Bensonhurst - Bay Ridge,0.0,0.0,62.0,38.0,49.52,22.02
International High School at LaGuardia Community College,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11101,Long Island City - Astoria,13.7,0.0,86.3,0.0,57.48,47.3
International Leadership Charter High School,6,"2017, 2018, 2019, 2021, 2022, 2023",General Academic,High school,10463,Kingsbridge - Riverdale,0.0,21.05,78.95,0.0,67.52,68.41
International School for Liberal Arts,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10468,Fordham - Bronx Park,0.0,0.0,100.0,0.0,55.1,25.3
Inwood Academy for Leadership Charter School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10034,Washington Heights - Inwood,0.0,0.0,100.0,0.0,60.5,36.6
Inwood Early College For Health And Information Technologies,6,"2017, 2018, 2019, 2020, 2022, 2023",Career Technical,High school,10034,Washington Heights - Inwood,0.0,4.61,95.39,0.0,61.2,48.02
It Takes a Village Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11203,East Flatbush - Flatbush,0.0,89.23,10.77,0.0,53.65,24.65
Jacqueline Kennedy Onassis High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10036,Chelsea - Clinton,0.0,28.57,71.43,0.0,59.39,39.81
Jamaica Gateway to the Sciences,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11432,Jamaica,49.46,24.73,25.81,0.0,64.65,51.6
Jill Chaifetz Transfer High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10456,High Bridge - Morrisania,0.0,0.0,100.0,0.0,54.9,18.2
John Jay School for Law,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11215,Downtown - Heights - Park Slope,6.25,54.46,39.29,0.0,59.18,33.94
Khalil Gibran International Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11217,Downtown - Heights - Park Slope,0.0,39.47,36.84,23.68,49.51,10.51
Kingsbridge International High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10468,Fordham - Bronx Park,0.0,0.0,100.0,0.0,59.5,33.3
Knowledge and Power Preparatory Academy International High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10458,Fordham - Bronx Park,0.0,29.27,70.73,0.0,58.4,35.33
Kurt Hahn Expeditionary Learning School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11203,East Flatbush - Flatbush,0.0,80.43,19.57,0.0,61.57,56.57
Landmark High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10011,Chelsea - Clinton,0.0,31.58,68.42,0.0,66.99,58.98
Leadership and Public Service High School,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10006,Lower Manhattan,7.53,20.43,72.04,0.0,72.99,79.57
Leon M. Goldstein High School for the Sciences,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11235,Coney Island - Sheepshead Bay ,27.27,26.52,0.0,46.21,73.6,78.81
Liberation Diploma Plus,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,11224,Coney Island - Sheepshead Bay ,0.0,54.05,45.95,0.0,51.92,21.63
Liberty High School Academy for Newcomers,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10011,Chelsea - Clinton,0.0,39.13,60.87,0.0,59.83,47.82
Life Academy High School for Film and Music,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,11214,Bensonhurst - Bay Ridge,0.0,16.0,61.33,22.67,57.76,49.31
Longwood Preparatory Academy,6,"2017, 2018, 2019, 2020, 2022, 2023",General Academic,High school,10459,Hunts Point - Mott Haven,0.0,33.33,66.67,0.0,64.6,62.93
Lower East Side Preparatory High School,6,"2017, 2018, 2019, 2020, 2022, 2023",Transfer School,High school,10002,Union Square - Lower East Side,41.09,0.0,58.91,0.0,69.4,73.66
