Neighborhood,mean_commfar,pct_res_zone,mean_subway_km,mean_stations_1km,pct_residential_lots,pct_mixed_lots,pct_commercial_lots,pct_industrial_lots,pct_mfg_zone,commfar_z,reszone_z,transit_z,NEQ_zoning_raw,NEQ_zoning,NEQ_full_raw,NEQ_full,pct_poverty,poverty_z,NEQ3_raw,NEQ3_score
Pelham - Throgs Neck,0.0582679005421574,0.9672836044120396,0.8136099308750986,3.0,0.847494858852122,0.0363619368106188,0.0302392970648719,0.007945410357076,0.0169657879977565,-0.3922652608435896,-0.546005053172508,0.0918362648386582,-0.9382703140160976,1.1467369094643818,-0.8464340491774394,3.5303673372805675,13.5,0.5377431585441884,-0.4005271554719092,3.022868027292783
Port Richmond,0.2195614035087719,0.9054824561403508,5.663158087649815,0.0,0.843640350877193,0.0399122807017543,0.0328947368421052,0.0092105263157894,0.0173245614035087,-0.32582542528644576,-0.2938992632721278,-3.815538674454351,-0.6197246885585735,1.4649929570698932,-4.435263363012925,1.0,10.1,0.8990393431910652,0.2793146546324916,3.548696254627353
Ridgewood - Forest Hills,0.1189262842349093,0.9403869737021392,0.9050293160321196,1.5,0.838601989371849,0.0886360539583049,0.0111731843575419,0.0163510014988418,0.0418994413407821,-0.3672789287001135,-0.43628546833617626,0.0181778944131362,-0.8035643970362898,1.2813203703594878,-0.7853865026231535,3.57340998554098,11.5,0.7502703259835277,-0.05329407105276207,3.2914377953451424
Rockaway,0.0244967717432586,0.9803456133687808,0.3106833538550123,2.571428571428572,0.8463729586023547,0.0152867451576148,0.015666540068363,0.0018040258260539,0.0054120774781617,-0.40617622565438166,-0.5992889836141952,0.4970539551934732,-1.005465209268577,1.0796030985649068,-0.5084112540751038,3.768696264400572,18.0,0.0595570318056752,-0.9459081774629018,2.601039402231608
South Beach - Tottenville ,0.0047015088563306,0.9850207741089,0.7192985970088216,2.0,0.8927946643341351,0.0069702602230483,0.0119177782637218,0.0001913404767111,0.0003826809534222,-0.41433026773808634,-0.6183603944902119,0.1678247343882566,-1.032690662228298,1.052402395240899,-0.8648659278400415,3.5173716164886195,9.5,0.9627974934228669,-0.06989316880543117,3.2785991113793846
Southeast Queens,0.0072698570953805,0.992023928215354,4.601489349523868,0.0,0.9455383848454636,0.0090146227982718,0.0093885011631771,0.0020771020272515,0.0052342971086739,-0.4132723166643145,-0.6469284024832037,-2.9601315958816765,-1.0602007191475182,1.0249173466801518,-4.0203323150291945,1.29255444581719,10.0,0.9096657015630322,-0.15053501758448606,3.2162261302501993
Southwest Queens,0.0236346477370645,0.9782118091173936,0.7159327244801302,2.833333333333333,0.8788724303475443,0.0486643962086085,0.0142382339665996,0.0079602806614418,0.0141151368429691,-0.4065313507905333,-0.5905845433030887,0.1705366831187978,-0.997115894093622,1.0879448236913385,-0.8265792109748242,3.544366340766525,12.0,0.6971385341236929,-0.29997735996992914,3.1006389439116657
Stapleton - St. George,0.0912536786344908,0.9562683931724544,0.7222374470159384,1.5,0.8560329605650383,0.0290759270158917,0.0160094173042966,0.0050618010594467,0.0160094173042966,-0.37867779679903535,-0.5010706367719095,0.1654568459794968,-0.8797484335709449,1.2052055898682197,-0.7142915875914481,3.6235367079653207,16.5,0.21895240738517963,-0.6607960261857653,2.821561316108278
Sunset Park,0.3485594989561587,0.8174530271398748,0.138940067947382,3.0,0.7215031315240084,0.1480584551148225,0.0261377870563674,0.0505219206680584,0.1665970772442588,-0.27268867711573286,0.06519970743115565,0.6354308492160318,-0.2074889696845772,1.876853927950339,0.4279418795314545,4.428888538327968,29.3,-1.1412214642265914,-1.3487104339111686,2.2894892837679746
Union Square - Lower East Side,1.8209723939019364,0.6359703337453646,0.2252013712146394,10.68421052631579,0.3378656777915121,0.4367531932426864,0.0809641532756489,0.0049443757725587,0.0302843016069221,0.33382596118723945,0.8055231326583685,0.5659284453381825,1.139349093845608,3.222467631632901,1.7052775391837904,5.329496549822872,26.0,-0.7905516379516817,0.3487974558939262,3.6024381952884155
Upper East Side,0.7227980741999434,0.7286887567261399,0.3416706535137211,6.0,0.578023222883036,0.2840555083545737,0.0455961483998867,0.0033984706881903,0.0053809119229679,-0.11853275055318911,0.42729632106053345,0.4720868872917642,0.3087635705073443,2.392637162367082,0.7808504577991086,4.677712949132903,5.0,1.4409836201613802,1.7497471906687245,4.686012204230793
