Neighborhood,mean_commfar,pct_res_zone,NEQ_zoning,log_permits,permit_count,NEQ2_raw,NEQ2_score,NEQ2_z
Rockaway,0.0244967717432586,0.9803456133687808,1.0796030985649068,9.075779878580487,8740.0,-2.1554527706346462,1.4372691100032196,-0.8523711855918034
South Beach - Tottenville ,0.0047015088563306,0.9850207741089,1.052402395240899,9.81880002770803,,-0.9592267238080747,2.398133429742347,-0.3793250452817361
Southeast Queens,0.0072698570953805,0.992023928215354,1.0249173466801518,9.8967146682487,19864.0,-0.8584431080230961,2.4790875108535095,-0.3394702865761776
Southwest Queens,0.0236346477370645,0.9782118091173936,1.0879448236913385,8.994048295611075,8054.0,-2.281682077427414,1.335875868045031,-0.90228841196448
Stapleton - St. George,0.0912536786344908,0.9562683931724544,1.2052055898682197,9.504873919377065,13424.0,-1.323192910771177,2.1057788839003537,-0.5232550327644693
Sunset Park,0.3485594989561587,0.8174530271398748,1.876853927950339,10.000705003251488,22041.0,0.16549836040753446,3.3015648554376327,0.06544612602786642
Union Square - Lower East Side,1.8209723939019364,0.6359703337453646,3.222467631632901,9.742673052026605,17028.0,1.0874629153396678,4.042129606764174,0.4300358917918992
Upper East Side,0.7227980741999434,0.7286887567261399,2.392637162367082,10.713839823996778,44973.0,1.8559934389951271,4.659449017898865,0.7339503558600748
Upper West Side,0.4910722100656455,0.8573304157549234,1.772980047547854,10.653487544688856,42339.0,1.136396886469058,4.08143564512215,0.44938677136370825
Washington Heights - Inwood,0.1649570280011089,0.9437205433878568,1.2866777765722344,9.293485953062852,10866.0,-1.5897164602934182,1.8916947901912038,-0.6286514473783319
West Queens,0.0837105814898806,0.9422361045740448,1.259291231871895,8.754634047431272,6339.0,-2.5043974989598903,1.1569804974134286,-0.9903609554632272
Williamsburg - Bushwick,0.2193259668508287,0.8939226519337017,1.5120091744199344,10.181346536039147,26405.0,0.09776465459310413,3.2471579970236655,0.03866091416141787
Willowbrook,0.034054875154277,0.975553023829868,1.1030693487814045,9.502039365785897,13386.0,-1.4300894396024948,2.0199146271150563,-0.565527135524935
