Neighborhood,mean_score,mean_econ,mean_ell,mean_black,n_schools,NEQ_score_x,ELA_resid,Sci_resid,Alg_resid,NEQ_score_y
Greenpoint,63.72095238095238,84.28571428571429,13.285714285714286,31.787619047619046,7,2.0701913709168656,0.19725236996306805,0.28203140953070766,0.057352328441903445,2.0701913709168656
Greenwich Village - SoHo,71.86,69.5,3.0,25.968333333333334,2,7.470165602415981,0.9929109027998739,0.14887011721344795,0.04177612995337876,7.470165602415981
High Bridge - Morrisania,60.26203703703704,92.72222222222223,14.981481481481481,24.661296296296296,20,1.8705237477126881,0.1766775899387206,-0.14049658797721362,0.006264395576518365,1.8705237477126881
Hunts Point - Mott Haven,63.79,90.96296296296296,13.11111111111111,16.62,11,1.8249306407161128,0.7811737853272477,0.20905322473765237,0.15337336259519774,1.8249306407161128
Jamaica,69.91122448979593,75.51020408163265,8.591836734693878,39.4895918367347,17,1.1324862979724062,0.6017849870936162,-0.02247442813098777,-0.08859911196526332,1.1324862979724062
Kingsbridge - Riverdale,61.632222222222225,90.33333333333333,16.0,20.503888888888888,6,1.2388707714779785,-0.22587029456076288,0.031808737837043084,0.03392507069877662,1.2388707714779785
Long Island City - Astoria,68.18585365853659,75.07317073170732,15.682926829268293,4.769756097560975,15,2.4125140565250063,0.7222083763881189,-0.1602337254378825,-0.05702247052045608,2.4125140565250063
Lower Manhattam,66.68909090909091,81.0909090909091,4.7272727272727275,38.24909090909091,4,8.022459263285956,0.8764061030038068,0.24970263001471904,0.008041857023063105,8.022459263285956
Lower Manhattan,71.80117647058823,70.29411764705883,3.8823529411764706,19.039411764705882,6,10.0,1.4853723682739086,0.3232390668716397,-0.010731618996848546,10.0
Northeast Bronx,62.661818181818184,85.18181818181819,19.818181818181817,39.013333333333335,11,1.1493580045394278,1.5090604054337535,-0.11105954742789559,0.046769861985233765,1.1493580045394278
Pelham - Throgs Neck,61.44694915254237,84.0677966101695,17.847457627118644,23.27542372881356,20,1.1467369094643818,-1.060953542967237,-0.16717172461558663,-0.18315138482000284,1.1467369094643818
Port Richmond,59.626666666666665,78.0,13.0,23.006666666666664,1,1.4649929570698932,-0.6730835464304905,-0.09890023587688074,-0.021945091445840562,1.4649929570698932
Ridgewood - Forest Hills,67.23,74.5,17.0,3.1799999999999997,2,1.2813203703594878,0.5840055990792834,-0.16059136109327166,-0.03184347062373319,1.2813203703594878
Rockaway,63.839999999999996,77.28571428571429,13.428571428571429,43.39714285714286,7,1.0796030985649068,-0.16573316047354306,-0.10139835775295158,0.058106292541245184,1.0796030985649068
South Beach - Tottenville ,76.46666666666667,54.666666666666664,3.0,4.341111111111111,3,1.052402395240899,-0.19915961657408215,-0.2663879389405202,-0.020622895231680108,1.052402395240899
Southeast Queens,65.77225806451614,73.90322580645162,9.129032258064516,69.4990322580645,10,1.0249173466801518,-0.5645224543985213,0.029937625889089065,0.07107341535173772,1.0249173466801518
Southwest Queens,67.31888888888889,80.33333333333333,9.5,15.434999999999999,6,1.0879448236913383,-0.771872780865033,-0.5813959946201882,-0.08461924399852448,1.0879448236913383
Stapleton - St. George,62.409166666666664,83.5,7.0,40.637499999999996,4,1.2052055898682195,1.4906223639805167,-0.14966609658421273,-0.061748352335249744,1.2052055898682195
Sunset Park,63.83166666666667,83.0,17.0,4.54,2,1.876853927950339,0.19289370373012785,-0.23106845377754368,-0.06283522881268996,1.876853927950339
Union Square - Lower East Side,67.92547169811321,80.26415094339623,17.754716981132077,21.79547169811321,19,3.222467631632901,2.2580246302361036,0.22503280888425206,0.11931455178882162,3.222467631632901
Upper East Side,72.43727272727273,61.72727272727273,10.0,19.38909090909091,5,2.392637162367082,0.5676889745130319,0.1493254755613966,0.054446852072896255,2.392637162367082
Upper West Side,60.20666666666666,85.22222222222223,9.11111111111111,22.478518518518516,9,1.772980047547854,-1.259908147477445,-0.4232061122137574,-0.09207340298881617,1.772980047547854
Washington Heights - Inwood,62.22333333333333,92.51851851851852,29.666666666666668,7.753703703703703,10,1.2866777765722344,0.5196426840961653,0.5636653024051079,0.13854285909676303,1.2866777765722344
West Queens,65.17444444444443,82.66666666666667,30.27777777777778,1.691111111111111,7,1.259291231871895,1.3141176298486963,-0.09490153318371551,0.04184839277534462,1.259291231871895
Williamsburg - Bushwick,60.859117647058824,86.17647058823529,18.61764705882353,25.477941176470587,12,1.5120091744199344,-2.4095340931171645,-0.22666447619394314,-0.10316407126330875,1.5120091744199344
Willowbrook,75.08888888888889,59.333333333333336,2.6666666666666665,4.887777777777778,3,1.1030693487814045,0.8174647652196686,0.09288626926099966,-0.08853529008890516,1.1030693487814045
