year,school_name_x,school_name_y,ptr
2019,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Kingsbridge International High School,14.6
2020,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Kingsbridge International High School,13.4
2022,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,Kingsbridge International High School,14.0
2019,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,Kurt Hahn Expeditionary Learning School,11.1
2020,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,Kurt Hahn Expeditionary Learning School,11.6
2022,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,Kurt Hahn Expeditionary Learning School,11.9
2019,LANDMARK HIGH SCHOOL,Landmark High School,12.7
2020,LANDMARK HIGH SCHOOL,Landmark High School,15.0
2022,LANDMARK HIGH SCHOOL,Landmark High School,14.2
2019,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Leadership and Public Service High School,15.5
2020,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Leadership and Public Service High School,13.5
2022,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,Leadership and Public Service High School,13.5
2019,LIBERATION DIPLOMA PLUS,Liberation Diploma Plus,20.0
2020,LIBERATION DIPLOMA PLUS,Liberation Diploma Plus,16.6
2022,LIBERATION DIPLOMA PLUS,Liberation Diploma Plus,14.3
2019,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Liberty High School Academy for Newcomers,15.4
2020,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Liberty High School Academy for Newcomers,15.2
2022,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,Liberty High School Academy for Newcomers,14.7
2019,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,Life Academy High School for Film and Music,13.8
2020,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,Life Academy High School for Film and Music,15.8
2022,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,Life Academy High School for Film and Music,14.8
2019,LONG ISLAND CITY HIGH SCHOOL,Long Island City High School,14.1
2020,LONG ISLAND CITY HIGH SCHOOL,Long Island City High School,15.6
2022,LONG ISLAND CITY HIGH SCHOOL,Long Island City High School,15.3
2019,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Lower East Side Preparatory High School,15.6
2020,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Lower East Side Preparatory High School,15.6
2022,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,Lower East Side Preparatory High School,15.8
2019,LOWER MANHATTAN ARTS ACADEMY,Lower Manhattan Arts Academy,11.1
2020,LOWER MANHATTAN ARTS ACADEMY,Lower Manhattan Arts Academy,12.9
2022,LOWER MANHATTAN ARTS ACADEMY,Lower Manhattan Arts Academy,12.7
2019,LYONS COMMUNITY SCHOOL,Lyons Community School,10.8
2020,LYONS COMMUNITY SCHOOL,Lyons Community School,9.9
2022,LYONS COMMUNITY SCHOOL,Lyons Community School,9.8
2019,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan Academy For Arts & Language,11.4
2020,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan Academy For Arts & Language,12.9
2022,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Manhattan Academy For Arts & Language,13.3
2019,MANHATTAN BRIDGES HIGH SCHOOL,Manhattan Bridges High School,17.6
2020,MANHATTAN BRIDGES HIGH SCHOOL,Manhattan Bridges High School,15.3
2022,MANHATTAN BRIDGES HIGH SCHOOL,Manhattan Bridges High School,15.2
2019,MANHATTAN BUSINESS ACADEMY,Manhattan Business Academy,12.8
2020,MANHATTAN BUSINESS ACADEMY,Manhattan Business Academy,13.2
2022,MANHATTAN BUSINESS ACADEMY,Manhattan Business Academy,13.0
2019,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,Manhattan Center for Science and Mathematics,19.0
2020,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,Manhattan Center for Science and Mathematics,18.8
2022,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,Manhattan Center for Science and Mathematics,18.6
2019,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Manhattan Comprehensive Night and Day High School,15.5
2020,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Manhattan Comprehensive Night and Day High School,17.7
2022,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Manhattan Comprehensive Night and Day High School,15.5
2019,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,Manhattan Early College School for Advertising,11.6
2020,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,Manhattan Early College School for Advertising,12.6
2022,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,Manhattan Early College School for Advertising,12.5
2019,MANHATTAN INTERNATIONAL HIGH SCHOOL,Manhattan International High School,14.0
2020,MANHATTAN INTERNATIONAL HIGH SCHOOL,Manhattan International High School,13.6
2022,MANHATTAN INTERNATIONAL HIGH SCHOOL,Manhattan International High School,13.7
2019,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,Marble Hill High School for International Studies,14.6
2020,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,Marble Hill High School for International Studies,13.4
2022,MARBLE HILL HIGH SCHOOL FOR INTERNATIONAL STUDIES,Marble Hill High School for International Studies,13.7
2019,MARTIN VAN BUREN HIGH SCHOOL,Martin Van Buren High School,14.8
2020,MARTIN VAN BUREN HIGH SCHOOL,Martin Van Buren High School,15.9
2022,MARTIN VAN BUREN HIGH SCHOOL,Martin Van Buren High School,16.0
2019,MASPETH HIGH SCHOOL,Maspeth High School,17.6
2020,MASPETH HIGH SCHOOL,Maspeth High School,18.9
2022,MASPETH HIGH SCHOOL,Maspeth High School,18.7
2019,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL","Mathematics, Science Research and Technology Magnet High School",16.2
2020,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL","Mathematics, Science Research and Technology Magnet High School",15.9
2022,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL","Mathematics, Science Research and Technology Magnet High School",16.3
2019,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,Medgar Evers College Preparatory School,20.8
2020,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,Medgar Evers College Preparatory School,20.9
2022,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,Medgar Evers College Preparatory School,20.6
2019,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Metropolitan Expeditionary Learning School,12.4
2020,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Metropolitan Expeditionary Learning School,12.2
2022,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,Metropolitan Expeditionary Learning School,12.2
2019,"METROPOLITAN HIGH SCHOOL, THE",Metropolitan High School,9.5
