year,school_name_x,school_name_y,ptr
2022,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Eximius College Preparatory Academy: A College Board School,13.5
2019,EXPLORATIONS ACADEMY,Explorations Academy High School,11.7
2020,EXPLORATIONS ACADEMY,Explorations Academy High School,11.3
2022,EXPLORATIONS ACADEMY,Explorations Academy High School,11.4
2019,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.1
2020,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.4
2022,FANNIE LOU HAMER FREEDOM HIGH SCHOOL,Fannie Lou Hamer Freedom High School,12.9
2019,FLUSHING HIGH SCHOOL,Flushing High School,13.6
2020,FLUSHING HIGH SCHOOL,Flushing High School,14.6
2022,FLUSHING HIGH SCHOOL,Flushing High School,14.5
2019,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,13.9
2020,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,14.7
2022,FLUSHING INTERNATIONAL HIGH SCHOOL,Flushing High School,14.3
2019,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.7
2020,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.8
2022,FOOD AND FINANCE HIGH SCHOOL,Food and Finance High School,12.5
2019,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,9.7
2020,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,11.5
2022,FORDHAM HIGH SCHOOL FOR THE ARTS,Fordham High School for the Arts,11.6
2019,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,9.9
2020,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,11.2
2022,FORDHAM LEADERSHIP ACADEMY FOR BUSINESS AND TECHNOLOGY,Fordham Leadership Academy,11.4
2019,FOREST HILLS HIGH SCHOOL,Forest Hills High School,18.5
2020,FOREST HILLS HIGH SCHOOL,Forest Hills High School,16.9
2022,FOREST HILLS HIGH SCHOOL,Forest Hills High School,17.1
2019,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.8
2020,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.8
2022,FORT HAMILTON HIGH SCHOOL,Fort Hamilton High School,19.7
2019,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.5
2020,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.8
2022,FRANCIS LEWIS HIGH SCHOOL,Francis Lewis High School,17.6
2019,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,15.5
2020,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,16.1
2022,FRANK MCCOURT HIGH SCHOOL,Frank McCourt High School,15.2
2019,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.8
2020,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.1
2022,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,Frank Sinatra School of the Arts High School,15.3
2019,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.8
2020,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.4
2022,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,Franklin Delano Roosevelt High School,15.4
2019,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,15.4
2020,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,14.1
2022,FREDERICK DOUGLASS ACADEMY,Frederick Douglass Academy,13.9
2019,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,11.5
2020,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,10.8
2022,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,Frederick Douglass Academy,11.0
2019,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,12.4
2020,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,10.8
2022,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,Frederick Douglass Academy,10.9
2019,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,14.0
2020,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,11.4
2022,FREDERICK DOUGLASS ACADEMY V MIDDLE SCHOOL,Frederick Douglass Academy,12.3
2019,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,12.7
2020,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,11.7
2022,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,Frederick Douglass Academy VI High School,11.5
2019,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,12.5
2020,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,10.1
2022,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,Frederick Douglass Academy VII High School,10.1
2019,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,13.1
2020,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,14.7
2022,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,Frederick Douglass Academy,14.6
2019,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,12.1
2020,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,10.5
2022,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,Gaynor McCown Expeditionary Learning School,10.5
2019,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,14.8
2020,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,16.2
2022,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,George Washington Carver High School for the Sciences,15.8
2019,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.5
2020,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.2
2022,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,George Westinghouse Career and Technical Education,14.2
2019,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,13.7
2020,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,15.2
2022,GRAMERCY ARTS HIGH SCHOOL,Gramercy Arts High School,14.7
2019,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,17.5
2020,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,16.7
2022,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHEMATICS,Gregorio Luperon High School for Science and Mathematics,16.8
2019,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.4
2020,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.9
2022,GROVER CLEVELAND HIGH SCHOOL,Grover Cleveland High School,15.9
2019,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,11.7
2020,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,12.4
2022,HARLEM RENAISSANCE HIGH SCHOOL,Harlem Renaissance High School,10.8
2019,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.9
2020,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.3
2022,HARRY S TRUMAN HIGH SCHOOL,Harry S Truman High School,17.5
2019,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,11.9
2020,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,13.3
2022,HARVEST COLLEGIATE HIGH SCHOOL,Harvest Collegiate High School,12.7
2019,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.5
2020,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.8
2022,HARVEY MILK HIGH SCHOOL,Harvey Milk High School,7.6
2019,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,14.7
2020,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,14.3
2022,HEALTH OPPORTUNITIES HIGH SCHOOL,Health Opportunities High School,13.7
2019,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,15.5
2020,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,16.3
2022,HIGH SCHOOL FOR ARTS AND BUSINESS,High School for Arts and Business,16.1
2019,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,16.2
2020,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,15.3
2022,HIGH SCHOOL FOR CIVIL RIGHTS,High School for Civil Rights,13.6
2019,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,16.6
2020,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,14.9
2022,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,High School for Community Leadership,15.2
2019,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,13.8
2020,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,14.7
2022,HIGH SCHOOL FOR CONTEMPORARY ARTS,High School for Contemporary Arts,13.4
2019,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.2
2020,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.8
2022,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,High School for Dual Language and Asian Studies,16.4
2019,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,15.1
2020,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,16.3
2022,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,High School for Environmental Studies,16.3
2019,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,8.8
2020,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,9.7
2022,HIGH SCHOOL FOR EXCELLENCE AND INNOVATION,High School for Excellence and Innovation,9.7
2019,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,10.6
2020,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,11.7
2022,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,Academy for Health Careers,11.5
2019,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,19.1
2020,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,19.1
2022,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,High School for Health Professions and Human Services,18.9
2019,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,11.0
2020,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,9.0
2022,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,High School for Innovation in Advertising and Media,9.0
2019,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,15.1
2020,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,16.7
2022,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School for Law and Public Service,16.7
2019,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,16.1
2020,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,13.5
2022,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,High School for Law Enforcement and Public Safety,13.2
2019,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",12.9
2020,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",14.2
2022,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE","High School for Law, Advocacy and Community Justice",13.9
2019,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,15.0
2020,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,13.3
2022,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School for Media and Communications,13.2
2019,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,17.0
2020,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,16.6
2022,HIGH SCHOOL FOR MEDICAL PROFESSIONS,High School for Medical Professions,16.8
2019,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,15.6
2020,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,16.0
2022,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,High School for Public Service: Heroes of Tomorrow,16.6
2019,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,15.3
2020,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,14.7
2022,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,High School for Service & Learning at Erasmus,15.0
2019,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,12.8
2020,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,13.2
2022,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,High School for Teaching and the Professions,13.1
2019,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,14.0
2020,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,12.9
2022,HIGH SCHOOL FOR VIOLIN AND DANCE,High School for Violin and Dance,12.9
2019,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High School of American Studies at Lehman College,16.4
2020,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High School of American Studies at Lehman College,15.2
2022,HIGH SCHOOL OF AMERICAN STUDIES AT LEHMAN COLLEGE,High School of American Studies at Lehman College,15.3
2019,HIGH SCHOOL OF APPLIED COMMUNICATION,High School of Applied Communication,14.8
2020,HIGH SCHOOL OF APPLIED COMMUNICATION,High School of Applied Communication,15.6
2022,HIGH SCHOOL OF APPLIED COMMUNICATION,High School of Applied Communication,15.1
2019,HIGH SCHOOL OF ARTS AND TECHNOLOGY,High School of Arts and Technology,13.0
2020,HIGH SCHOOL OF ARTS AND TECHNOLOGY,High School of Arts and Technology,12.3
2022,HIGH SCHOOL OF ARTS AND TECHNOLOGY,High School of Arts and Technology,11.8
2019,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,High School of Computers and Technology,13.4
2020,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,High School of Computers and Technology,15.2
2022,HIGH SCHOOL OF COMPUTERS AND TECHNOLOGY,High School of Computers and Technology,14.0
2019,HIGH SCHOOL OF ECONOMICS AND FINANCE,High School of Economics and Finance,17.4
2020,HIGH SCHOOL OF ECONOMICS AND FINANCE,High School of Economics and Finance,15.3
2022,HIGH SCHOOL OF ECONOMICS AND FINANCE,High School of Economics and Finance,15.1
2019,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,High School of Hospitality Management,13.4
2020,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,High School of Hospitality Management,12.4
2022,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,High School of Hospitality Management,12.0
2019,HIGH SCHOOL OF LANGUAGE AND INNOVATION,High School of Language and Innovation,11.8
2020,HIGH SCHOOL OF LANGUAGE AND INNOVATION,High School of Language and Innovation,11.9
2022,HIGH SCHOOL OF LANGUAGE AND INNOVATION,High School of Language and Innovation,12.3
2019,HIGH SCHOOL OF SPORTS MANAGEMENT,High School of Sports Management,13.7
2020,HIGH SCHOOL OF SPORTS MANAGEMENT,High School of Sports Management,15.4
2022,HIGH SCHOOL OF SPORTS MANAGEMENT,High School of Sports Management,14.5
2019,HIGH SCHOOL OF WORLD CULTURES,High School of World Cultures,13.3
2020,HIGH SCHOOL OF WORLD CULTURES,High School of World Cultures,13.3
2022,HIGH SCHOOL OF WORLD CULTURES,High School of World Cultures,12.6
2019,HILLCREST HIGH SCHOOL,Hillcrest High School,18.3
2020,HILLCREST HIGH SCHOOL,Hillcrest High School,18.3
2022,HILLCREST HIGH SCHOOL,Hillcrest High School,18.2
2019,HILLSIDE ARTS & LETTERS ACADEMY,Hillside Arts & Letters Academy,15.9
2020,HILLSIDE ARTS & LETTERS ACADEMY,Hillside Arts & Letters Academy,15.0
2022,HILLSIDE ARTS & LETTERS ACADEMY,Hillside Arts & Letters Academy,15.2
2019,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Hostos-Lincoln Academy of Science,15.4
2020,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Hostos-Lincoln Academy of Science,14.4
2022,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Hostos-Lincoln Academy of Science,14.4
2019,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,Hudson High School of Learning Technologies,13.8
2020,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,Hudson High School of Learning Technologies,14.1
2022,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,Hudson High School of Learning Technologies,14.3
2019,HUMANITIES PREPARATORY ACADEMY,Humanities Preparatory Academy,13.2
2020,HUMANITIES PREPARATORY ACADEMY,Humanities Preparatory Academy,13.5
2022,HUMANITIES PREPARATORY ACADEMY,Humanities Preparatory Academy,13.7
2019,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),In-Tech Academy (M.S. / High School 368),14.9
2020,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),In-Tech Academy (M.S. / High School 368),14.0
2022,IN-TECH ACADEMY (MS / HIGH SCHOOL 368),In-Tech Academy (M.S. / High School 368),14.2
2019,INDEPENDENCE HIGH SCHOOL,Independence High School,14.8
2020,INDEPENDENCE HIGH SCHOOL,Independence High School,17.6
2022,INDEPENDENCE HIGH SCHOOL,Independence High School,15.4
2019,INFORMATION TECHNOLOGY HIGH SCHOOL,Information Technology High School,17.1
2020,INFORMATION TECHNOLOGY HIGH SCHOOL,Information Technology High School,16.9
2022,INFORMATION TECHNOLOGY HIGH SCHOOL,Information Technology High School,17.0
2019,INNOVATION DIPLOMA PLUS,Innovation Diploma Plus,12.3
2020,INNOVATION DIPLOMA PLUS,Innovation Diploma Plus,12.8
2022,INNOVATION DIPLOMA PLUS,Innovation Diploma Plus,11.6
2019,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,Institute for Health Professions at Cambria Heights,13.1
2020,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,Institute for Health Professions at Cambria Heights,13.3
2022,INSTITUTE FOR HEALTH PROFESSIONS AT CAMBRIA HEIGHTS,Institute for Health Professions at Cambria Heights,13.3
2019,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,International High School at Lafayette,13.2
2020,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,International High School at Lafayette,13.9
2022,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,International High School at Lafayette,14.2
2019,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,International High School at LaGuardia Community College,16.9
2020,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,International High School at LaGuardia Community College,17.8
2022,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,International High School at LaGuardia Community College,17.7
2019,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,International School for Liberal Arts,12.0
2020,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,International School for Liberal Arts,10.5
2022,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,International School for Liberal Arts,10.7
2019,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,Inwood Early College For Health And Information Technologies,12.7
2020,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,Inwood Early College For Health And Information Technologies,12.8
2022,INWOOD EARLY COLLEGE FOR HEALTH AND INFORMATION TECHNOLOGIES,Inwood Early College For Health And Information Technologies,11.9
2019,IT TAKES A VILLAGE ACADEMY,It Takes a Village Academy,13.2
2020,IT TAKES A VILLAGE ACADEMY,It Takes a Village Academy,13.5
2022,IT TAKES A VILLAGE ACADEMY,It Takes a Village Academy,13.4
2019,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Jacqueline Kennedy Onassis High School,12.2
2020,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Jacqueline Kennedy Onassis High School,10.1
2022,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,Jacqueline Kennedy Onassis High School,9.6
2019,JAMAICA GATEWAY TO THE SCIENCES,Jamaica Gateway to the Sciences,17.3
2020,JAMAICA GATEWAY TO THE SCIENCES,Jamaica Gateway to the Sciences,16.1
2022,JAMAICA GATEWAY TO THE SCIENCES,Jamaica Gateway to the Sciences,16.7
2019,JAMES MADISON HIGH SCHOOL,James Madison High School,17.9
2020,JAMES MADISON HIGH SCHOOL,James Madison High School,17.5
2022,JAMES MADISON HIGH SCHOOL,James Madison High School,17.6
2019,JILL CHAIFETZ TRANSFER HIGH SCHOOL,Jill Chaifetz Transfer High School,11.0
2020,JILL CHAIFETZ TRANSFER HIGH SCHOOL,Jill Chaifetz Transfer High School,13.4
2022,JILL CHAIFETZ TRANSFER HIGH SCHOOL,Jill Chaifetz Transfer High School,12.5
2019,JOHN ADAMS HIGH SCHOOL,John Adams High School,13.5
2020,JOHN ADAMS HIGH SCHOOL,John Adams High School,14.1
2022,JOHN ADAMS HIGH SCHOOL,John Adams High School,14.0
2019,JOHN BOWNE HIGH SCHOOL,John Bowne High School,17.2
2020,JOHN BOWNE HIGH SCHOOL,John Bowne High School,17.9
2022,JOHN BOWNE HIGH SCHOOL,John Bowne High School,17.6
2019,JOHN DEWEY HIGH SCHOOL,John Dewey High School,15.2
2020,JOHN DEWEY HIGH SCHOOL,John Dewey High School,16.0
2022,JOHN DEWEY HIGH SCHOOL,John Dewey High School,15.7
2019,KHALIL GIBRAN INTERNATIONAL ACADEMY,Khalil Gibran International Academy,8.7
2020,KHALIL GIBRAN INTERNATIONAL ACADEMY,Khalil Gibran International Academy,9.2
2022,KHALIL GIBRAN INTERNATIONAL ACADEMY,Khalil Gibran International Academy,9.0
2019,KINGSBOROUGH EARLY COLLEGE SCHOOL,Kingsborough Early College School,16.5
2020,KINGSBOROUGH EARLY COLLEGE SCHOOL,Kingsborough Early College School,16.1
2022,KINGSBOROUGH EARLY COLLEGE SCHOOL,Kingsborough Early College School,16.5
