School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
Clara Barton High School,73K600,40.669805,-73.960689,901 CLASSON AVENUE,East Flatbush - Flatbush,11225
Cobble Hill School of American Studies,76K519,40.684869,-73.990884,347 BALTIC STREET,Downtown - Heights - Park Slope,11201
Collegiate Institute for Math and Science,72X288,40.860443,-73.860729,925 ASTOR AVENUE,Northeast Bronx,10469
Community Health Academy of the Heights,06M346,40.833695,-73.942074,504 WEST 158\ STREET,Washington Heights - Inwood,10032
Community School for Social Justice,72X427,40.815712,-73.92996,350 GERARD AVENUE,High Bridge - Morrisania,10451
Comprehensive Model School Project M.S. 327,09X327,40.842503,-73.916084,1501 JEROME AVENUE,Crotona - Tremont,10457
Concord High School,76R470,40.61062,-74.087072,109 RHINE AVENUE,Stapleton - St. George,10304
Crotona International High School,72X524,40.855392,-73.882487,2474 CROTONA AVENUE,Fordham - Bronx Park,10458
CSI High School for International Studies,76R047,40.581958,-74.159343,100 ESSEX DRIVE,Willowbrook,10314
Cultural Academy for the Arts and Sciences,73K629,40.647728,-73.922212,5800 TILDEN AVENUE,East Flatbush - Flatbush,11203
Curtis High School,76R450,40.645436,-74.082149,105 HAMILTON AVENUE,Stapleton - St. George,10301
Cyberarts Studio Academy,76K463,40.669255,-73.97858,237 7 AVENUE,Downtown - Heights - Park Slope,11215
Cypress Hills Collegiate Preparatory School,73K659,40.693002,-73.869305,999 JAMAICA AVENUE,East New York,11208
DeWitt Clinton High School,72X440,40.879958,-73.889011,100 WEST MOSHOLU PARKWAY SOUTH,Fordham - Bronx Park,10468
Digital Arts and Cinema Technology High School,76K429,40.685006,-73.993293,284 BALTIC STREET,Downtown - Heights - Park Slope,11201
DreamYard Preparatory School,72X329,40.839307,-73.911366,240 EAST 172 STREET,Crotona - Tremont,10457
Eagle Academy for Young Men,72X231,40.845366,-73.897479,4143 THIRD AVENUE,Crotona - Tremont,10457
Eagle Academy for Young Men of Harlem,71M148,40.817228,-73.947151,6 EDGECOMBE AVENUE,Central Harlem - Morningside Heights,10030
East Bronx Academy for the Future,72X271,40.836821,-73.887688,1716 SOUTHERN BOULEVARD,Crotona - Tremont,10460
East New York Family Academy,73K409,40.673766,-73.895976,145 PENNSYLVANIA AVENUE,East New York,11207
East Side Community School,71M450,40.729152,-73.982472,420 EAST 12 STREET,Union Square - Lower East Side,10009
East Williamsburg Scholars Academy,76K477,40.711134,-73.938921,850 GRAND STREET,Greenpoint,11211
East-West School of International Studies,77Q281,40.74943,-73.821402,46-21 COLDEN STREET,Flushing - Clearview,11355
EBC High School for Public Service - Bushwick,73K545,40.694723,-73.929315,1155 DEKALB AVENUE,Williamsburg - Bushwick,11221
Edward A. Reynolds West Side High School,71M505,40.797136,-73.966779,140 WEST 102 STREET,Upper West Side,10025
Edward R. Murrow High School,73K525,40.619671,-73.959141,1600 AVENUE L,Borough Park,11230
Eleanor Roosevelt High School,71M416,40.770288,-73.953276,411 EAST 76 STREET,Upper East Side,10021
Emma Lazarus High School,71M394,40.716231,-73.993607,100 HESTER STREET,Union Square - Lower East Side,10002
Energy Tech High School,72X565,40.756471,-73.932628,36-41 28 STREET,Long Island City - Astoria,11106
English Language Learners and International Support Preparatory Academy (ELLIS),72X397,40.877379,-73.912686,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,10463
Epic High School - North,77Q334,40.693013,-73.829409,94-25 117 STREET,Southwest Queens,11418
Epic High School - South,77Q314,40.675021,-73.81673,121-10 ROCKAWAY BOULEVARD,Southwest Queens,11420
Esperanza Preparatory Academy,04M372,40.792556,-73.942285,240 EAST 109 STREET,East Harlem,10029
Excelsior Preparatory High School,77Q265,40.66903,-73.757744,143-10 SPRINGFIELD BOULEVARD,Southeast Queens,11413
Eximius College Preparatory Academy: A College Board School,72X250,40.833884,-73.902794,1363 FULTON AVENUE,High Bridge - Morrisania,10456
Explorations Academy High School,72X251,40.836245,-73.890591,1619 BOSTON ROAD,Crotona - Tremont,10460
The Facing History School,71M303,40.765474,-73.9927,525 WEST 50 STREET,Chelsea - Clinton,10019
