year,school_name_x,school_name_y,ptr,neighborhood,zip_code
2019,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,12.8,Rockaway,11691
2020,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,13.5,Rockaway,11691
2022,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,Academy of Medical Technology: A College Board Sch,13.2,Rockaway,11691
2019,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,10.7,Williamsburg - Bushwick,11237
2020,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,12.2,Williamsburg - Bushwick,11237
2022,ACADEMY OF URBAN PLANNING,The Academy of Urban Planning and Engineering,12,Williamsburg - Bushwick,11237
2019,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13,Pelham - Throgs Neck,10473
2020,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13.1,Pelham - Throgs Neck,10473
2022,ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,Antonia Pantoja Preparatory Academy: A College Boa,13,Pelham - Throgs Neck,10473
2019,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",14,Pelham - Throgs Neck,10473
2020,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",13.6,Pelham - Throgs Neck,10473
2022,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS","Archimedes Academy for Math, Science and Technolog",13.7,Pelham - Throgs Neck,10473
2019,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.7,Gramercy Park - Murray Hill,10022
2020,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.7,Gramercy Park - Murray Hill,10022
2022,ART AND DESIGN HIGH SCHOOL,Art and Design High School,15.8,Gramercy Park - Murray Hill,10022
2019,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,8.4,East Flatbush - Flatbush,11225
2020,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,9.8,East Flatbush - Flatbush,11225
2022,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,Aspirations Diploma Plus High School,9.1,East Flatbush - Flatbush,11225
2019,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,15.8,Northeast Bronx,10469
2020,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,14.4,Northeast Bronx,10469
2022,ASTOR COLLEGIATE ACADEMY,Astor Collegiate Academy,14.1,Northeast Bronx,10469
2019,AUGUST MARTIN HIGH SCHOOL,August Martin High School,10.3,Jamaica,11434
2020,AUGUST MARTIN HIGH SCHOOL,August Martin High School,12.7,Jamaica,11434
2022,AUGUST MARTIN HIGH SCHOOL,August Martin High School,13.1,Jamaica,11434
2019,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,16,Long Island City - Astoria,11101
2020,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,15.5,Long Island City - Astoria,11101
2022,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,Aviation Career & Technical Education High School,15.6,Long Island City - Astoria,11101
2019,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18,Gramercy Park - Murray Hill,10010
2020,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18.7,Gramercy Park - Murray Hill,10010
2022,BARUCH COLLEGE CAMPUS HIGH SCHOOL,Baruch College Campus High School,18.7,Gramercy Park - Murray Hill,10010
2019,BAYSIDE HIGH SCHOOL,Bayside High School,17.4,Bayside - Little Neck,11361
2020,BAYSIDE HIGH SCHOOL,Bayside High School,18.3,Bayside - Little Neck,11361
2022,BAYSIDE HIGH SCHOOL,Bayside High School,18.1,Bayside - Little Neck,11361
2019,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17,Bedford Stuyvesant - Crown Heights,11216
2020,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17.8,Bedford Stuyvesant - Crown Heights,11216
2022,BEDFORD ACADEMY HIGH SCHOOL,Bedford Academy High School,17.7,Bedford Stuyvesant - Crown Heights,11216
2019,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.5,Fordham - Bronx Park,10458
2020,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.4,Fordham - Bronx Park,10458
2022,BELMONT PREPARATORY HIGH SCHOOL,Belmont Preparatory High School,13.2,Fordham - Bronx Park,10458
2019,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,16.8,Downtown - Heights - Park Slope,11205
2020,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,17.2,Downtown - Heights - Park Slope,11205
2022,BENJAMIN BANNEKER ACADEMY,Benjamin Banneker Academy,17.2,Downtown - Heights - Park Slope,11205
2019,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,12.6,Southeast Queens,11411
2020,BENJAMIN FRANKLIN HIGH SCHOOL FOR FINANCE & INFORMATION TECHNOLOGY,Benjamin Franklin High School for Finance & Inform,14.2,Southeast Queens,11411
