Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2022,KHALIL GIBRAN INTERNATIONAL ACADEMY,73K592,K592,HIGH SCHOOL,2,18,5,5,7.2,4.9,13,9.6,6.7
2022,GOTHAM PROFESSIONAL ARTS ACADEMY,73K594,K594,HIGH SCHOOL,1,17,5,7,10.6,8,10,9.7,3.5
2022,BEDFORD ACADEMY HIGH SCHOOL,73K595,K595,HIGH SCHOOL,2,24,8,9,14.1,6.8,15,15.4,6.7
2022,CLARA BARTON HIGH SCHOOL,73K600,K600,HIGH SCHOOL,8,86,42,36,12.7,8.5,50,12.6,7.7
2022,ORIGINS HIGH SCHOOL,73K611,K611,HIGH SCHOOL,3,36,9,18,7.6,4.8,18,4.9,3.2
2022,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,73K615,K615,HIGH SCHOOL,5,73,22,42,15.5,8.2,31,11.2,5.8
2022,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,73K616,K616,HIGH SCHOOL,3,15,4,8,12.3,6.2,7,9.3,6.5
2022,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,73K617,K617,HIGH SCHOOL,3,25,7,9,7.2,5.2,16,6.1,2.6
2022,ACADEMY OF INNOVATIVE TECHNOLOGY,73K618,K618,HIGH SCHOOL,3,36,10,19,7.3,6.8,17,7.3,4.7
2022,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,73K629,K629,HIGH SCHOOL,3,19,6,7,17.2,7.8,12,8.3,2.9
2022,PROFESSIONAL PATHWAYS HIGH SCHOOL,73K630,K630,HIGH SCHOOL,3,18,4,10,10.1,5.3,8,10.3,5
2022,HIGH SCHOOL FOR MEDICAL PROFESSIONS,73K633,K633,HIGH SCHOOL,3,30,6,11,11.2,6.4,19,12.6,6.6
2022,OLYMPUS ACADEMY,73K635,K635,HIGH SCHOOL,2,17,5,5,9.2,8.7,12,8.5,5.9
2022,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,73K637,K637,HIGH SCHOOL,3,29,10,12,6.6,4.7,17,5.4,3.5
2022,BROOKLYN LAB SCHOOL,73K639,K639,HIGH SCHOOL,5,30,12,9,14.2,4.5,21,11.9,5
2022,URBAN ACTION ACADEMY,73K642,K642,HIGH SCHOOL,3,15,6,8,15,3.6,7,12.3,3.2
2022,BROOKLYN DEMOCRACY ACADEMY,73K643,K643,HIGH SCHOOL,1,15,6,7,8.4,5.5,8,13.6,1.7
2022,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,73K646,K646,HIGH SCHOOL,4,17,6,8,10.8,6.7,9,20.7,5.8
2022,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,73K659,K659,HIGH SCHOOL,3,27,6,8,8.6,6.3,19,6.7,4.5
2022,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,73K660,K660,HIGH SCHOOL,4,43,20,11,17.3,9.8,32,15.1,11.1
2022,SUNSET PARK HIGH SCHOOL,73K667,K667,HIGH SCHOOL,6,108,15,43,7.6,5.7,65,8,5.8
2022,BENJAMIN BANNEKER ACADEMY,73K670,K670,HIGH SCHOOL,5,51,16,16,10.5,7.4,35,13.7,7.6
2022,SCHOOL FOR CLASSICS HIGH SCHOOL,73K683,K683,HIGH SCHOOL,2,23,6,8,11.5,4.5,15,9.2,5.4
2022,MILLENNIUM BROOKLYN HS,73K684,K684,HIGH SCHOOL,4,65,10,23,9.4,6.2,42,9.1,5.4
2022,TEACHERS PREPARATORY HIGH SCHOOL,73K697,K697,HIGH SCHOOL,2,19,8,6,16.9,9.5,13,16.4,10.7
2022,BROOKLYN INSTITUTE FOR LIBERAL ARTS,73K745,K745,HIGH SCHOOL,4,37,10,18,2.7,2.7,19,3.7,2.3
2022,ACADEMY FOR HEALTH CAREERS,73K751,K751,HIGH SCHOOL,2,21,3,9,7.1,5.4,12,14.1,5.4
2022,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,73K764,K764,HIGH SCHOOL,2,27,6,8,9.7,4.9,19,4.2,2.9
2022,NELSON MANDELA HIGH SCHOOL,73K765,K765,HIGH SCHOOL,2,18,4,7,13.2,4.7,11,10.9,3.1
2022,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,76K344,K344,HIGH SCHOOL,4,39,18,15,11.2,7.7,24,6.6,4.1
2022,ABRAHAM LINCOLN HIGH SCHOOL,76K410,K410,HIGH SCHOOL,9,128,33,48,10.4,7.5,80,11.2,9.2
2022,BROOKLYN FRONTIERS HIGH SCHOOL,76K423,K423,HIGH SCHOOL,3,23,3,12,11.2,7.1,11,5.3,4.1
2022,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,76K429,K429,HIGH SCHOOL,2,28,6,8,9.1,6.6,20,6.3,5.1
2022,BROOKLYN TECHNICAL HIGH SCHOOL,76K430,K430,HIGH SCHOOL,13,276,43,146,14.6,9.7,130,13.7,8.2
2022,BROOKLYN LATIN SCHOOL  THE,76K449,K449,HIGH SCHOOL,4,41,9,19,7.3,5.3,22,7.6,5
2022,THE WILLIAMSBURG HIGH SCHOOL OF ART AND TECHNOLOGY,76K454,K454,HIGH SCHOOL,3,30,11,12,9.8,7.3,18,7.8,3.8
2022,BOYS AND GIRLS HIGH SCHOOL,76K455,K455,HIGH SCHOOL,3,43,16,16,14.6,5.9,27,9.8,7.1
2022,JOHN JAY SCHOOL FOR LAW,76K462,K462,HIGH SCHOOL,4,39,7,15,5.5,3.3,24,6.2,3.5
2022,CYBERARTS STUDIO ACADEMY,76K463,K463,HIGH SCHOOL,2,18,6,8,11.3,2.8,10,16.5,7.1
2022,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,76K474,K474,HIGH SCHOOL,4,39,14,22,12.8,9.3,17,9.1,6.5
2022,EAST WILLIAMSBURG SCHOLARS ACADEMY,76K477,K477,HIGH SCHOOL,3,30,5,13,12.8,5.6,17,14.9,8.1
2022,THE HIGH SCHOOL FOR ENTERPRISE  BUSINESS AND TECHN,76K478,K478,HIGH SCHOOL,5,46,9,24,13.6,10.4,22,10.5,8
2022,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,76K483,K483,HIGH SCHOOL,3,28,6,12,6.9,3.7,16,11.3,5.6
2022,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLO,76K485,K485,HIGH SCHOOL,6,90,23,38,7.5,7.2,52,7.5,6.7
2022,FORT HAMILTON HIGH SCHOOL,76K490,K490,HIGH SCHOOL,16,240,73,101,12.5,10.8,139,11.3,9.1
2022,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,76K498,K498,HIGH SCHOOL,3,38,7,23,8.7,6.4,15,12.8,8
2022,COBBLE HILL SCHOOL OF AMERICAN STUDIES,76K519,K519,HIGH SCHOOL,3,27,10,14,14,5.2,13,11.1,5.8
2022,WEST BROOKLYN COMMUNITY HIGH SCHOOL,76K529,K529,HIGH SCHOOL,2,17,4,8,15.1,8.6,9,8.7,6.3
2022,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,76K558,K558,HIGH SCHOOL,4,34,10,13,12,9,21,10.5,8.2
2022,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,76K559,K559,HIGH SCHOOL,3,17,6,9,18.6,9.2,8,12.3,6.2
2022,WILLIAMSBURG PREPARATORY SCHOOL,76K561,K561,HIGH SCHOOL,3,50,10,19,10.6,6.8,31,9.5,4.8
2022,BROWNSVILLE ACADEMY HIGH SCHOOL,76K568,K568,HIGH SCHOOL,2,8,4,*,,,*,,
2022,LEADERS HIGH SCHOOL,76K572,K572,HIGH SCHOOL,3,30,12,10,9.5,6,20,6.8,3.9
2022,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION,76K605,K605,HIGH SCHOOL,5,54,17,28,7.2,5.4,26,9.2,7
2022,A-TECH HIGH SCHOOL,76K610,K610,HIGH SCHOOL,3,33,11,16,9.8,5.2,17,9,3.7
2022,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HI,76K620,K620,HIGH SCHOOL,5,47,19,18,14,11.8,29,9.7,7.5
2022,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,76K647,K647,HIGH SCHOOL,2,17,5,*,,,*,,
2022,BROOKLYN HIGH SCHOOL OF THE ARTS,76K656,K656,HIGH SCHOOL,5,66,11,26,11,7.3,40,10.1,7.2
2022,RESEARCH AND SERVICE HIGH SCHOOL,76K669,K669,HIGH SCHOOL,3,19,4,8,10.2,3.9,11,12.3,4
2022,EAST BROOKLYN COMMUNITY HIGH SCHOOL,76K673,K673,HIGH SCHOOL,2,20,3,7,12.3,6.5,13,8.9,5.7
2022,CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING  ARCHI,76K674,K674,HIGH SCHOOL,3,33,12,14,9,5.5,19,7.7,2.7
2022,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,76K685,K685,HIGH SCHOOL,2,18,6,5,10.9,12.1,13,14.7,7.7
2022,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,76K688,K688,HIGH SCHOOL,2,15,4,*,,,*,,
2022,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,76K698,K698,HIGH SCHOOL,3,13,7,*,,,*,,
2022,LIBERATION DIPLOMA PLUS,76K728,K728,HIGH SCHOOL,2,14,6,6,16.7,5.4,8,14.6,7.1
2022,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,76R047,R047,HIGH SCHOOL,2,28,12,8,12.6,9.5,20,14.3,10.5
2022,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,76R064,R064,HIGH SCHOOL,3,33,16,12,11.1,8.1,21,10.7,8.2
2022,NEW DORP HIGH SCHOOL,76R440,R440,HIGH SCHOOL,11,206,93,87,11,9.1,119,9.8,8.8
2022,PORT RICHMOND HIGH SCHOOL,76R445,R445,HIGH SCHOOL,9,115,46,43,13.1,9.3,72,10.6,7.8
2022,CURTIS HIGH SCHOOL,76R450,R450,HIGH SCHOOL,12,148,34,51,16.1,13.5,97,12.3,10.4
2022,TOTTENVILLE HIGH SCHOOL,76R455,R455,HIGH SCHOOL,13,227,116,79,14.3,11.8,148,11.2,8.8
2022,SUSAN E. WAGNER HIGH SCHOOL,76R460,R460,HIGH SCHOOL,14,189,144,73,14.2,11.3,116,11.4,9.3
2022,CONCORD HIGH SCHOOL,76R470,R470,HIGH SCHOOL,2,19,4,9,18.4,6.6,10,17.7,7.1
2022,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH,76R600,R600,HIGH SCHOOL,6,67,37,32,10.9,8.1,35,7.4,5.4
2022,STATEN ISLAND TECHNICAL HIGH SCHOOL,76R605,R605,HIGH SCHOOL,6,65,17,26,12.1,9.4,39,13.8,10.2
2022,INTERNATIONAL HIGH SCHOOL FOR HEALTH SCIENCES,77Q236,Q236,HIGH SCHOOL,2,23,5,8,9.2,5.5,15,9.9,4.4
2022,VERITAS ACADEMY,77Q240,Q240,HIGH SCHOOL,4,45,9,17,11,5.2,28,10,4.4
2022,QUEENS HIGH SCHOOL FOR LANGUAGE STUDIES,77Q241,Q241,HIGH SCHOOL,3,30,5,9,6.7,3.9,21,8.9,4.5
