Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,02M281,,,2,30,13,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,25,3.5,2.0,*,*,*,*,,
2020,,02M289,,,2,18,3,5,7.3,4.9,13,10.8,8.2,*,*,*,*,,,*,,,*,*,*,*,,,13,11.1,7.9,*,*,*,*,,
2020,,02M290,,,2,41,14,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,36,9.1,8.1,*,*,*,*,,
2020,,02M297,,,3,60,6,17,6.8,0.6,43,7.8,0.8,*,*,*,*,,,7,5.3,0.6,*,*,*,6,8.9,0.5,43,7.5,0.9,*,*,*,*,,
2020,,02M312,,,2,40,8,12,8.9,6.3,28,7.4,5.6,*,*,*,*,,,*,,,*,*,*,*,,,30,8.5,6.1,*,*,*,*,,
2020,,02M340,,,2,31,13,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,26,5.7,1.8,*,*,*,*,,
2020,,02M343,,,2,35,13,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,23,6.3,3.0,*,*,*,*,,
2020,,02M347,,,2,43,8,12,14.9,9.8,31,10.1,5.1,*,*,*,*,,,5,19.3,12.8,*,*,*,*,,,35,10.6,5.6,*,*,*,*,,
2020,,02M397,,,3,40,15,8,10.1,4.8,32,6.7,3.4,*,*,*,*,,,*,,,*,*,*,*,,,28,7.3,3.9,*,*,*,*,,
2020,SCHOOL OF THE FUTURE HIGH SCHOOL,02M413,,,3,50,15,22,9.8,6.8,28,7.9,5.4,*,*,*,*,,,7,6.8,4.3,*,*,*,*,,,37,9.4,6.5,*,*,*,*,,
2020,QUEST TO LEARN,02M422,,,3,48,10,22,10.0,4.6,26,7.7,3.9,*,*,*,*,,,6,8.2,3.8,*,*,*,5,9.0,3.9,32,9.4,4.4,*,*,*,*,,
2020,,02M442,,,1,10,2,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,,02M527,,,2,33,8,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,,26,5.3,3.3,*,*,*,*,,
