Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2020,High School for Excellence and Innovation,71M423,1,19,5,8,8.4,3.4,11,11.9,4,*,*,*,*,,,*,,,*,*,*,*,,,8,12.3,3.3,*,*,*
2021,High School for Excellence and Innovation,71M423,1,19,3,9,8.3,3.5,10,12.1,4.4,*,,,*,,,*,,,*,,,*,,,9,9.5,3.7,*,*,*
2022,High School for Excellence and Innovation,71M423,2,18,3,9,9,4.3,9,12.7,5.1,*,,,*,,,*,,,*,,,*,,,8,8.8,4.1,*,*,*
2023,High School for Excellence and Innovation,71M423,2,15,3,9,8.6,4.6,6,16.4,5.8,*,,,*,,,*,,,*,,,*,,,7,8.9,4.4,*,*,*
2020,High School for Health Professions and Human Services,71M420,9,96,20,41,13.2,10.2,55,10.1,7.4,*,*,*,14,11.7,9.9,9,12.4,9.8,*,*,*,8,15,9.7,62,10.7,7.8,*,*,*
2021,High School for Health Professions and Human Services,71M420,8,91,19,40,13.2,10.4,51,11.4,8.6,*,,,13,13.4,11.5,10,14.1,11.7,*,,,7,15.6,9.5,58,10.9,8.1,*,*,*
2022,High School for Health Professions and Human Services,71M420,9,98,17,43,12.4,10,55,11.2,8.5,*,,,17,11.2,9.6,10,13.7,12.2,*,,,11,12,7,58,11.1,8.6,*,*,*
2023,High School for Health Professions and Human Services,71M420,10,97,20,43,12.4,9.6,54,11.6,9.1,*,,,18,11.6,9.1,10,14.7,13.2,*,,,11,13.1,8.1,54,11.3,8.9,*,*,*
2020,High School for Innovation in Advertising and Media,73K617,3,24,5,10,5.1,3.3,14,7.3,2.2,*,*,*,*,,,8,7,2.1,*,*,*,*,,,6,6.4,2.8,*,*,*
2021,High School for Innovation in Advertising and Media,73K617,3,23,7,10,6.1,4.3,13,8.7,3.2,*,,,*,,,8,8,3.1,*,,,*,,,5,8.2,4,*,*,*
2022,High School for Innovation in Advertising and Media,73K617,3,25,7,9,7.2,5.2,16,6.1,2.6,*,,,*,,,10,4.3,2,*,,,5,3.4,3.3,5,8.4,4.1,*,*,*
2023,High School for Innovation in Advertising and Media,73K617,4,28,6,9,6.8,4.8,19,8.1,2.8,*,,,6,14.1,4.7,11,5.9,2.3,*,,,*,,,*,,,*,*,*
2020,High School for Law and Public Service,71M467,7,28,17,6,12.4,9.5,22,16.2,11.5,*,*,*,*,,,*,,,*,*,*,8,15.2,10.1,17,15.4,12.2,*,*,*
2021,High School for Law and Public Service,71M467,4,33,14,9,9,7,24,14.6,10,*,,,*,,,*,,,*,,,9,14.7,9.9,18,13.8,10.5,*,*,*
2022,High School for Law and Public Service,71M467,4,36,13,11,6.6,5.8,25,13.5,9.4,*,,,*,,,*,,,*,,,14,9.6,6.5,16,13.1,9.9,*,*,*
2023,High School for Law and Public Service,71M467,4,37,15,11,8.5,7.3,26,11.5,9.1,*,,,*,,,*,,,*,,,18,8.1,6.3,14,14.5,11.5,*,*,*
2020,High School for Law Enforcement and Public Safety,77Q690,4,30,6,11,10.4,8.8,19,11.2,6,*,*,*,*,,,13,10.3,5.9,*,*,*,*,,,9,10.5,8.6,*,*,*
