Year,School Name,DBN,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple/Other (M/O) Count,M/O Average Years in Title,M/O Average Years at School
2020,Humanities Preparatory Academy,71M605,2,19,4,6,7.9,3,13,9.1,4.9,*,*,*,*,,,5,13.8,7.2,*,*,*,*,,,7,8.4,2.9,*,*,*
2021,Humanities Preparatory Academy,71M605,2,20,4,6,9.1,4.2,14,9.4,5.5,*,,,*,,,5,14.8,8.2,*,,,*,,,8,8.3,3.4,*,*,*
2022,Humanities Preparatory Academy,71M605,2,22,4,6,11.9,3.8,16,10.5,5.5,*,,,*,,,*,,,*,,,*,,,11,9.8,3.4,*,*,*
2023,Humanities Preparatory Academy,71M605,2,21,4,6,14.5,5.8,15,11.3,6.3,*,,,*,,,*,,,*,,,*,,,10,10.6,4.1,*,*,*
2020,In-Tech Academy (M.S. / High School 368),10X368,4,72,15,24,9.8,7.6,48,12.7,7.5,*,*,*,5,13.5,12.5,21,14,7.4,*,*,*,18,12.2,7.1,26,9.3,7,*,*,*
2021,In-Tech Academy (M.S. / High School 368),10X368,5,73,16,25,10.4,8.2,48,13.2,8.2,*,,,5,14.5,13.5,22,14.1,8,*,,,17,12.9,8,26,10,7.8,*,*,*
2022,In-Tech Academy (M.S. / High School 368),10X368,5,74,20,27,10.1,7.9,47,14,9,*,,,5,13.9,12.9,20,15.6,9,*,,,19,12.1,7.5,26,10.9,8.8,*,*,*
2023,In-Tech Academy (M.S. / High School 368),10X368,5,75,17,28,10.9,8.2,47,13.9,8.8,*,,,5,14.9,13.9,17,17.3,10.4,*,,,27,10.4,6.1,24,11.8,9.3,*,*,*
2020,Independence High School,71M544,3,17,5,10,14.2,7.1,7,10,4.7,*,*,*,*,,,*,,,*,*,*,*,,,9,11.6,5.8,*,*,*
2021,Independence High School,71M544,3,22,5,11,14.8,7.4,11,8.7,4.2,*,,,*,,,5,13,6.4,*,,,5,14.5,6.3,9,12.6,6.8,*,*,*
2022,Independence High School,71M544,3,20,4,10,13.8,7.1,10,8.4,5.5,*,,,*,,,6,12.3,6.3,*,,,*,,,10,9.2,5.4,*,*,*
2023,Independence High School,71M544,2,23,4,12,13.1,6.7,11,9.5,5.8,*,,,*,,,5,16,8,*,,,5,11.9,7.7,13,9.3,5,*,*,*
2020,Information Technology High School,77Q502,3,60,18,32,12.7,8.5,28,14,9,*,*,*,13,12.2,10.2,9,9,6.6,*,*,*,8,17.7,7.1,30,13.9,9.2,*,*,*
2021,Information Technology High School,77Q502,4,59,15,31,13.2,9.1,28,15.3,9.6,*,,,12,13.8,12,11,10,6.2,*,,,8,17.2,6.6,28,15.2,10.2,*,*,*
2022,Information Technology High School,77Q502,4,60,18,30,13.6,9.6,30,15.8,9.4,*,,,13,13.6,12,11,11.1,6.2,*,,,9,15.5,6.3,27,16.4,10.7,*,*,*
2023,Information Technology High School,77Q502,4,56,17,30,13.3,9.8,26,14.3,9.1,*,,,14,13,11.9,10,12.4,7.4,*,,,9,9.9,3.4,23,16.4,11.4,*,*,*
2020,Innovation Diploma Plus,71M404,2,14,2,5,6.8,4.2,9,7.3,5.4,*,*,*,*,,,*,,,*,*,*,*,,,10,8.2,5.9,*,*,*
2021,Innovation Diploma Plus,71M404,2,15,1,6,8,4.4,9,10.6,7.4,*,,,*,,,*,,,*,,,*,,,10,9.8,6.7,*,*,*
2022,Innovation Diploma Plus,71M404,2,16,3,7,8.3,4.6,9,11.6,8.3,*,,,*,,,*,,,*,,,*,,,12,9.5,6.6,*,*,*
2023,Innovation Diploma Plus,71M404,2,12,2,5,8.1,3.9,7,14.1,9.5,*,,,*,,,*,,,*,,,*,,,7,11,7.6,*,*,*
2020,Institute for Health Professions at Cambria Heights,77Q243,3,33,4,8,3.9,3.5,25,7.1,3.4,*,*,*,*,,,15,6.3,2.3,*,*,*,*,,,13,6.2,4.6,*,*,*
2021,Institute for Health Professions at Cambria Heights,77Q243,3,34,5,8,4.9,4.5,26,8.2,4,*,,,*,,,15,6.8,2.9,*,,,*,,,14,8,5.2,*,*,*
2022,Institute for Health Professions at Cambria Heights,77Q243,3,37,5,9,7.3,4.9,28,8.6,4.6,*,,,*,,,16,7.3,3.6,*,,,*,,,15,9.7,5.7,*,*,*
2023,Institute for Health Professions at Cambria Heights,77Q243,3,38,5,11,7.6,4.9,27,9.9,5.8,*,,,*,,,16,8.2,4.6,*,,,*,,,16,10.6,6.3,*,*,*
2020,International High School at Lafayette,73K337,3,24,5,6,11.7,6.6,18,8.5,5.9,*,*,*,9,10.3,4.3,*,,,*,*,*,*,,,12,9.2,7.4,*,*,*
2021,International High School at Lafayette,73K337,3,23,5,5,12.8,6.8,18,9.5,6.9,*,,,9,11.3,5.3,*,,,*,,,*,,,11,10.1,8.1,*,*,*
2022,International High School at Lafayette,73K337,3,23,5,5,13.8,7.7,18,10.1,6.6,*,,,9,12.6,5.4,*,,,*,,,*,,,11,10.2,7.6,*,*,*
2023,International High School at Lafayette,73K337,3,23,7,5,14.8,8.8,18,11.4,6.6,*,,,9,13.7,6.5,*,,,*,,,*,,,12,11.6,7.4,*,*,*
2020,International High School at LaGuardia Community College,77Q530,3,29,5,10,10.1,7.4,19,14.4,11,*,*,*,6,11.7,7.8,*,,,*,*,*,*,,,18,13.7,11.2,*,*,*
2021,International High School at LaGuardia Community College,77Q530,3,28,4,10,11.1,8.4,18,16.4,12.3,*,,,6,12.7,8.8,*,,,*,,,5,14.3,7.4,17,15.2,12.7,*,*,*
2022,International High School at LaGuardia Community College,77Q530,3,29,4,12,10.6,7.8,17,16.6,12.3,*,,,6,13.6,9.8,*,,,*,,,6,12.7,7,16,15.5,12.6,*,*,*
2023,International High School at LaGuardia Community College,77Q530,3,29,6,13,10.8,8.2,16,13.2,10.4,*,,,6,10.3,7.6,*,,,*,,,7,11.9,6.9,14,14.3,12.6,*,*,*
2020,International School for Liberal Arts,72X342,3,48,6,22,10.6,5,26,11.8,5.2,*,*,*,*,,,*,,,*,*,*,28,10.9,5.4,10,10.2,4.2,*,*,*
2021,International School for Liberal Arts,72X342,3,46,4,20,11.8,6.2,26,12.2,5.8,*,,,*,,,*,,,*,,,28,11.9,5.8,8,10.1,5.1,*,*,*
2022,International School for Liberal Arts,72X342,4,43,6,17,13.5,7.7,26,10.9,5.6,*,,,*,,,*,,,*,,,30,12,6.2,8,10.1,5.4,*,*,*
2023,International School for Liberal Arts,72X342,3,44,7,15,14.2,8.7,29,9.9,5.5,*,,,*,,,*,,,*,,,29,12.7,7,9,9,4.7,*,*,*
2020,Inwood Early College For Health And Information Technologies,71M211,3,35,11,15,7.8,2.2,20,6.9,2.2,*,*,*,*,,,5,8.3,2.2,*,*,*,6,6.4,2.4,22,7.7,2.2,*,*,*
2021,Inwood Early College For Health And Information Technologies,71M211,3,37,11,16,8.3,3.1,21,7.5,3,*,,,*,,,6,7.9,2.8,*,,,7,6.4,3,22,8.7,3.2,*,*,*
2022,Inwood Early College For Health And Information Technologies,71M211,3,37,13,16,8.9,3.8,21,8.5,3.3,*,,,*,,,8,10.8,2.8,*,,,8,5.6,3.4,20,9.5,4,*,*,*
2023,Inwood Early College For Health And Information Technologies,71M211,3,37,9,14,10.6,4.8,23,8.4,3.2,*,,,*,,,8,13.5,3.2,*,,,10,5.9,3.1,17,9.8,4.9,*,*,*
2020,It Takes a Village Academy,73K563,3,46,18,18,9.6,7.1,28,13.3,4.8,*,*,*,*,,,26,13.9,5.1,*,*,*,*,,,12,8.9,5.8,*,*,*
2021,It Takes a Village Academy,73K563,4,34,17,13,10.7,7.7,21,14.6,6.3,*,,,*,,,18,15.1,6.5,*,,,*,,,8,11.5,6.5,*,*,*
2022,It Takes a Village Academy,73K563,3,32,15,13,11.3,8.3,19,15.6,7.2,*,,,*,,,19,14.5,7,*,,,*,,,8,12.4,7.4,*,*,*
2023,It Takes a Village Academy,73K563,3,25,11,12,11.2,8.4,13,16.8,7.3,*,,,*,,,18,14.6,7.4,*,,,*,,,*,,,*,*,*
2020,Jacqueline Kennedy Onassis High School,71M529,2,29,3,10,9.7,5.3,19,8,2.6,*,*,*,*,,,*,,,*,*,*,8,11.4,2.5,13,8.4,5,*,*,*
2021,Jacqueline Kennedy Onassis High School,71M529,2,18,3,5,16.3,8.1,13,14.8,6.7,*,,,*,,,*,,,*,,,5,17.7,8.2,9,16.7,8.4,*,*,*
2022,Jacqueline Kennedy Onassis High School,71M529,2,20,4,5,17.4,8.2,15,9.8,6,*,,,*,,,*,,,*,,,5,12.9,8.3,9,13.4,8,*,*,*
2023,Jacqueline Kennedy Onassis High School,71M529,2,20,6,6,9.4,4.3,14,11.2,7.4,*,,,5,6.1,2.3,*,,,*,,,5,13.5,9.2,7,12.8,8.5,*,*,*
2020,Jamaica Gateway to the Sciences,77Q350,3,30,4,12,5.7,4.4,18,6.5,3.8,*,*,*,*,,,5,8.8,6.4,*,*,*,*,,,15,6,3.4,*,*,*
2021,Jamaica Gateway to the Sciences,77Q350,3,30,5,14,6.1,4.6,16,7.1,4.6,*,,,*,,,6,5.9,4.7,*,,,*,,,15,7,4.4,*,*,*
2022,Jamaica Gateway to the Sciences,77Q350,3,32,6,15,9.1,4.6,17,7.5,5.2,*,,,*,,,8,9,4.3,*,,,*,,,16,8.8,5,*,*,*
2023,Jamaica Gateway to the Sciences,77Q350,3,31,7,13,9.1,6.2,18,5.7,3.5,*,,,7,2.7,2.2,5,5.5,4.1,*,,,*,,,13,9,4.8,*,*,*
2020,James Madison High School,73K425,10,217,65,88,10.8,6.7,129,12.4,8.8,*,*,*,11,5.6,2.3,34,12.6,7.6,*,*,*,13,10,7.5,156,12.3,8.6,*,*,*
2021,James Madison High School,73K425,10,212,65,82,12.1,7.9,130,13.3,9.8,*,,,11,6.4,3.1,33,14.5,8.8,*,,,13,11,8.5,152,13.2,9.7,*,*,*
2022,James Madison High School,73K425,10,214,64,86,11.8,8,128,13.5,9.8,*,,,13,6.6,3.1,32,14.7,9.5,*,,,14,11.9,7.9,152,13.2,9.7,*,*,*
2023,James Madison High School,73K425,11,198,59,82,12.8,8.8,116,13.7,10.1,*,,,11,8.2,4.5,28,15.7,10.1,*,,,14,12.9,8.9,142,13.5,10,*,*,*
2020,Jill Chaifetz Transfer High School,72X379,2,16,3,7,14.4,5.8,9,4.9,4.3,*,*,*,*,,,*,,,*,*,*,*,,,9,10.4,5.9,*,*,*
2021,Jill Chaifetz Transfer High School,72X379,2,17,3,8,16.6,6.1,9,5.9,5.3,*,,,*,,,*,,,*,,,*,,,10,12.7,6.3,*,*,*
2022,Jill Chaifetz Transfer High School,72X379,2,18,6,8,17.5,7,10,9.2,5.1,*,,,*,,,*,,,*,,,*,,,9,14.5,7.4,*,*,*
2023,Jill Chaifetz Transfer High School,72X379,2,18,8,8,17.4,6.7,10,11,4.5,*,,,*,,,*,,,*,,,5,11.7,4.1,9,15.3,6.8,*,*,*
2020,John Adams High School,77Q480,11,176,41,65,8.5,6,111,7.8,5.4,*,*,*,25,7.9,6,14,6.9,3.3,*,*,*,35,7.9,5.2,93,8.4,5.8,6,8.2,8.2
2021,John Adams High School,77Q480,10,175,46,64,9.6,7,111,8.5,6.1,*,,,28,8.8,6.5,12,7.8,4.3,*,,,35,8.9,6.1,92,9.2,6.6,5,9,9
2022,John Adams High School,77Q480,9,179,44,64,10.7,7.9,115,8.7,6,*,,,30,9.2,6.9,11,10.4,5.7,*,,,32,9.6,7,94,9.3,6.6,6,12.2,8.6
2023,John Adams High School,77Q480,10,171,52,65,10.4,8.1,106,9.8,6.8,*,,,30,10.4,7.3,12,10.3,6,*,,,34,9.7,7.5,85,10.1,7.2,*,*,*
2020,John Bowne High School,77Q425,14,195,57,74,13.6,10.7,121,11.1,8.5,*,*,*,32,10.9,9.2,22,14.1,8.7,*,*,*,30,12.1,9.2,101,12.3,9.7,8,9.2,8.7
2021,John Bowne High School,77Q425,14,189,57,73,14.2,10.9,115,11.9,9.1,*,,,31,12.3,10.5,20,14.6,8.8,*,,,30,12,8.9,95,13.3,10.4,10,9.1,7.9
2022,John Bowne High School,77Q425,15,197,55,75,13.9,10.8,122,11.6,9.1,*,,,33,12.1,10.6,20,12.9,8.7,*,,,33,11.6,8.9,98,13.4,10.3,8,11.1,10.6
2023,John Bowne High School,77Q425,13,196,61,75,13.2,10.2,121,11.3,8.7,*,,,36,11.4,9.4,19,13,8.6,*,,,36,11.4,8.6,92,12.7,9.7,8,12.2,11.7
2020,John Dewey High School,73K540,12,139,27,78,12,7.6,61,9.9,7.6,*,*,*,11,5.3,3,18,11,6.8,*,*,*,11,8.2,6.4,95,12,8.4,*,*,*
2021,John Dewey High School,73K540,12,137,29,80,13.1,8.4,57,10.9,8.6,*,,,11,7.6,3.8,19,12.3,7.4,*,,,11,9.2,7.4,92,13,9.4,*,*,*
2022,John Dewey High School,73K540,12,148,32,90,11.1,6.9,58,10.3,7.7,*,,,13,7.4,3.8,14,12.6,7.7,*,,,16,6,5,103,11.6,8,*,*,*
2023,John Dewey High School,73K540,12,153,36,92,11.5,7.2,61,11.2,8.1,*,,,13,8.4,4.9,16,12.2,6.8,*,,,13,7.8,6.7,108,12.1,8.2,*,*,*
2020,John Jay School for Law,76K462,3,34,4,14,3.7,3,20,5.8,3,*,*,*,*,,,8,2.2,1.4,*,*,*,*,,,19,5.7,3.5,*,*,*
2021,John Jay School for Law,76K462,3,34,4,13,4.9,4.1,21,6.9,3.8,*,,,*,,,8,3.2,2.4,*,,,*,,,18,7.4,4.5,*,*,*
2022,John Jay School for Law,76K462,4,39,7,15,5.5,3.3,24,6.2,3.5,*,,,*,,,12,2.6,2,*,,,5,7.1,3.2,16,6.9,4.7,*,*,*
2023,John Jay School for Law,76K462,3,37,7,14,5.7,2.1,23,5.7,3.4,*,,,5,3.4,3.2,12,4.4,1.8,*,,,5,5.1,1.4,13,7.8,4.6,*,*,*
2020,Khalil Gibran International Academy,73K592,2,20,3,7,6.7,2.7,13,8.9,4.9,*,*,*,*,,,7,9.1,3.4,*,*,*,*,,,11,8.8,5.2,*,*,*
2021,Khalil Gibran International Academy,73K592,2,19,4,5,6.2,4,14,9.2,5.5,*,,,*,,,6,8.3,4.5,*,,,*,,,12,9.1,5.7,*,*,*
2022,Khalil Gibran International Academy,73K592,2,18,5,5,7.2,4.9,13,9.6,6.7,*,,,*,,,7,8.2,5,*,,,*,,,11,9.3,7,*,*,*
2023,Khalil Gibran International Academy,73K592,2,17,5,*,,,*,,,*,,,*,,,5,10.8,6.5,*,,,*,,,11,9.8,7.4,*,*,*
2020,Kingsborough Early College School,76K468,3,43,13,19,9,5.7,24,7,4,*,*,*,*,,,*,,,*,*,*,*,,,33,7.8,4.7,*,*,*
2021,Kingsborough Early College School,76K468,3,43,12,20,9.5,6.4,23,7.7,4.9,*,,,*,,,*,,,*,,,*,,,33,8.7,5.5,*,*,*
2022,Kingsborough Early College School,76K468,4,45,10,24,9.6,5.8,21,7.5,5.3,*,,,*,,,*,,,*,,,*,,,36,8.5,5.3,*,*,*
2023,Kingsborough Early College School,76K468,4,46,13,23,9.7,6.1,23,7.8,5.8,*,,,*,,,*,,,*,,,5,7.7,4,35,8.9,5.9,*,*,*
2020,Kingsbridge International High School,72X268,2,31,9,17,14,6,14,7.9,4.2,*,*,*,*,,,*,,,*,*,*,14,11.9,5.1,13,11,5.1,*,*,*
2021,Kingsbridge International High School,72X268,3,31,8,17,15,7,14,8.9,5.2,*,,,*,,,*,,,*,,,14,12.9,6.1,13,12,6.1,*,*,*
2022,Kingsbridge International High School,72X268,3,26,9,14,15.6,7.5,12,10,6.1,*,,,*,,,*,,,*,,,11,13,6.6,9,13.7,7,*,*,*
2023,Kingsbridge International High School,72X268,2,18,8,12,18.3,9.7,6,12.7,7.1,*,,,*,,,*,,,*,,,9,14.7,7.7,5,18.5,9.3,*,*,*
2020,Kurt Hahn Expeditionary Learning School,73K569,1,23,10,6,12.4,4.5,17,6.6,2.2,*,*,*,*,,,13,6.7,2.3,*,*,*,*,,,8,10.6,3.8,*,*,*
2021,Kurt Hahn Expeditionary Learning School,73K569,2,21,12,5,11,4,16,7.4,3.3,*,,,*,,,13,7,3.2,*,,,*,,,6,11,4,*,*,*
2022,Kurt Hahn Expeditionary Learning School,73K569,3,20,9,7,7.7,3.2,13,8.9,3.2,*,,,*,,,11,8.1,2.8,*,,,*,,,6,10.8,4.4,*,*,*
2023,Kurt Hahn Expeditionary Learning School,73K569,2,18,7,7,6.4,2.4,11,8.5,4.2,*,,,*,,,10,7.9,3.5,*,,,*,,,6,9.5,4.3,*,*,*
2020,Landmark High School,71M419,3,23,6,10,9.5,7,13,5.7,3.9,*,*,*,5,7.2,5.2,*,,,*,*,*,*,,,13,5.9,4,*,*,*
2021,Landmark High School,71M419,3,26,8,10,9.7,7.2,16,7.1,4.3,*,,,*,,,*,,,*,,,*,,,16,7.2,4.4,*,*,*
2022,Landmark High School,71M419,3,31,9,12,8.5,6.1,19,7,4.3,*,,,5,9.1,7.1,*,,,*,,,*,,,19,7.3,4.4,*,*,*
2023,Landmark High School,71M419,3,32,10,12,8.9,6.5,20,7.3,4.8,*,,,*,,,*,,,*,,,*,,,19,7.9,4.9,*,*,*
2020,Leadership and Public Service High School,71M425,3,27,6,14,10.3,5.3,13,12.4,8.8,*,*,*,*,,,*,,,*,*,*,6,14.6,8.8,14,9.2,6.1,*,*,*
2021,Leadership and Public Service High School,71M425,3,20,6,8,14.6,7.5,12,14.1,10.4,*,,,*,,,*,,,*,,,5,17.3,10.4,10,10.4,7.2,*,*,*
2022,Leadership and Public Service High School,71M425,3,17,7,7,13.7,5.7,10,12.9,9.1,*,,,*,,,*,,,*,,,6,15.2,9.4,7,9.7,5,*,*,*
2023,Leadership and Public Service High School,71M425,2,20,6,9,11.5,5.3,11,12.1,8.7,*,,,*,,,*,,,*,,,7,14,9,7,9.9,5.2,*,*,*
2020,Leon M. Goldstein High School for the Sciences,73K535,3,58,26,32,13.9,7.5,26,12.2,8,*,*,*,*,,,8,12.8,6.1,*,*,*,6,13.9,9,40,13.6,8,*,*,*
2021,Leon M. Goldstein High School for the Sciences,73K535,3,57,27,31,15.6,8.7,26,12.8,8.7,*,,,*,,,8,13.8,7.1,*,,,6,16.6,10.9,39,14.6,8.8,*,*,*
2022,Leon M. Goldstein High School for the Sciences,73K535,3,60,24,31,15.2,9,29,12.5,7.8,*,,,6,7.2,5.4,7,12.6,8.5,*,,,6,17.6,11.8,41,14.5,8.4,*,*,*
2023,Leon M. Goldstein High School for the Sciences,73K535,3,60,23,30,15.4,9.2,30,12.4,7.6,*,,,6,8.2,6.5,8,11.9,8.4,*,,,6,18.6,12.9,40,14.4,8.1,*,*,*
2020,Liberation Diploma Plus,76K728,3,13,5,*,,,*,,,*,*,*,*,,,5,7.3,1.1,*,*,*,*,,,5,15,5.4,*,*,*
2021,Liberation Diploma Plus,76K728,2,14,6,*,,,*,,,*,,,*,,,6,9.6,2.3,*,,,*,,,5,16,7,*,*,*
2022,Liberation Diploma Plus,76K728,2,14,6,6,16.7,5.4,8,14.6,7.1,*,,,*,,,5,11.6,3.4,*,,,*,,,5,21,7.5,*,*,*
2023,Liberation Diploma Plus,76K728,2,14,6,7,12,5.4,7,15.2,8.4,*,,,*,,,7,9.5,3.3,*,,,*,,,*,,,*,*,*
2020,Liberty High School Academy for Newcomers,71M550,3,26,7,12,12.1,6.5,14,12.3,8.3,*,*,*,5,13.5,9.5,*,,,*,*,*,9,14.7,7.4,9,10.7,6.9,*,*,*
2021,Liberty High School Academy for Newcomers,71M550,3,25,7,12,13.1,7.5,13,13,8.9,*,,,*,,,*,,,*,,,8,15,9,11,11.2,6.4,*,*,*
2022,Liberty High School Academy for Newcomers,71M550,3,26,6,13,11.1,5.5,13,14.1,9.6,*,,,*,,,*,,,*,,,10,13.3,7.4,9,11.7,5.8,*,*,*
2023,Liberty High School Academy for Newcomers,71M550,3,29,7,10,12.1,5.4,19,9.7,6.5,*,,,7,12.1,8.1,*,,,*,,,7,14.9,8.4,12,8.1,3.5,*,*,*
2020,Life Academy High School for Film and Music,76K559,3,17,6,9,16.7,7.2,8,10.7,4.5,*,*,*,*,,,6,12.9,3.1,*,*,*,*,,,6,15.3,8.5,*,*,*
2021,Life Academy High School for Film and Music,76K559,3,18,6,9,17.7,8.2,9,10.5,4.9,*,,,*,,,6,13.9,4.1,*,,,*,,,7,14,8.2,*,*,*
2022,Life Academy High School for Film and Music,76K559,3,17,6,9,18.6,9.2,8,12.3,6.2,*,,,*,,,5,17.1,5.4,*,,,*,,,7,15,9.1,*,*,*
2023,Life Academy High School for Film and Music,76K559,2,17,4,8,16.8,9.5,9,10.4,6.3,*,,,*,,,*,,,*,,,*,,,9,13.2,8,*,*,*
2020,Long Island City High School,77Q450,13,142,39,59,13.5,10.1,83,12.1,9.9,*,*,*,21,12.5,11.1,8,7.6,5,*,*,*,30,11.3,8.1,81,13.9,11.1,*,*,*
2021,Long Island City High School,77Q450,13,138,38,57,12.6,9.8,81,12.6,10.3,*,,,18,10.8,9.3,7,8.9,6.2,*,,,29,11.7,8.9,82,13.7,11.1,*,*,*
2022,Long Island City High School,77Q450,12,139,35,55,12.3,9.7,84,11.8,9.6,*,,,19,9.1,7.7,8,8.7,6.3,*,,,30,11.5,8.8,80,13.2,10.8,*,*,*
2023,Long Island City High School,77Q450,12,135,37,55,12.8,9.6,80,11.9,9.8,*,,,18,10.5,8.6,8,9.8,6.1,*,,,33,10.7,8.4,74,13.7,11,*,*,*
2020,Longwood Preparatory Academy,72X530,3,32,9,11,8,2.8,21,5.1,2.3,*,*,*,*,,,10,9.1,2.3,*,*,*,10,4,1.9,9,6.5,3.5,*,*,*
2021,Longwood Preparatory Academy,72X530,3,27,11,7,12.3,5.2,20,5.7,2.8,*,,,*,,,9,11.1,3.6,*,,,7,4.4,2.4,8,7.6,4.2,*,*,*
2022,Longwood Preparatory Academy,72X530,3,32,9,11,8.6,4.1,21,7,3.1,*,,,*,,,12,9,3.3,*,,,9,4,2.5,8,10.6,4.6,*,*,*
2023,Longwood Preparatory Academy,72X530,3,34,10,12,11,5.4,22,7.7,3.4,*,,,*,,,14,10.7,4,*,,,10,7.2,3.6,7,9.5,5.4,*,*,*
2020,Lower East Side Preparatory High School,71M515,2,33,8,10,11.7,10.5,23,9.4,8.2,*,*,*,13,10.2,9.6,*,,,*,*,*,6,5.2,3.6,10,14,11.8,*,*,*
2021,Lower East Side Preparatory High School,71M515,3,32,7,9,13.7,12.5,23,10.4,9.2,*,,,13,11.2,10.6,*,,,*,,,5,6.7,4.9,10,15,12.8,*,*,*
2022,Lower East Side Preparatory High School,71M515,3,32,8,9,13.7,12.9,23,10.7,8.9,*,,,13,11.6,11,*,,,*,,,6,8.2,4.1,10,14.4,12.7,*,*,*
2023,Lower East Side Preparatory High School,71M515,2,36,8,10,13.6,12.6,26,10.4,8,*,,,12,12.9,12.5,*,,,*,,,9,7.6,2.9,11,13.8,11.6,*,*,*
2020,Lower Manhattan Arts Academy,71M308,2,23,7,9,7.6,5,14,5.9,4.7,*,*,*,*,,,*,,,*,*,*,6,6.4,5,8,9.3,5.9,*,*,*
2021,Lower Manhattan Arts Academy,71M308,2,27,7,12,7.5,4,15,5,3.6,*,,,*,,,*,,,*,,,8,4.7,3.5,11,8.2,5.1,*,*,*
2022,Lower Manhattan Arts Academy,71M308,2,32,7,16,7.3,3.4,16,4.8,3,*,,,5,5.5,2,*,,,*,,,6,4.8,3.1,17,7.8,4.1,*,*,*
2023,Lower Manhattan Arts Academy,71M308,1,26,7,14,9.1,3.4,12,6.8,4.4,*,,,*,,,*,,,*,,,*,,,16,9.4,4.8,*,*,*
2020,Lyons Community School,73K586,2,42,9,20,10.1,6.8,22,8,4.2,*,*,*,*,,,11,6.4,4,*,*,*,9,5.1,2.7,20,12.3,7.2,*,*,*
2021,Lyons Community School,73K586,2,43,7,21,11.2,7.8,22,9,5.2,*,,,*,,,11,7.4,5,*,,,10,5.7,3.6,20,13.9,8.5,*,*,*
2022,Lyons Community School,73K586,2,46,9,23,11,7.9,23,8.6,5,*,,,*,,,13,6.6,4.5,*,,,10,6.2,4.1,20,14.1,8.8,*,*,*
2023,Lyons Community School,73K586,2,45,7,19,10.4,7.8,26,8.1,4.8,*,,,*,,,14,7.5,5.2,*,,,9,4.5,2.7,18,13.4,8.5,*,*,*
2020,Manhattan Academy For Arts & Language,71M427,3,16,4,6,12.8,6.7,10,8.3,5.2,*,*,*,*,,,*,,,*,*,*,5,15.5,6.4,6,7.6,4.8,*,*,*
2021,Manhattan Academy For Arts & Language,71M427,3,16,5,6,10.5,6.2,10,9.3,6.2,*,,,*,,,*,,,*,,,5,16.5,7.4,6,5.3,4.3,*,*,*
2022,Manhattan Academy For Arts & Language,71M427,3,16,5,6,8.8,6.1,10,9.9,6.4,*,,,*,,,*,,,*,,,6,12.4,6,6,6.3,5.3,*,*,*
2023,Manhattan Academy For Arts & Language,71M427,3,15,4,5,11.6,8.4,10,9.9,6.5,*,,,*,,,*,,,*,,,6,13.3,6.9,5,7.4,6.2,*,*,*
2020,Manhattan Bridges High School,71M542,3,34,6,14,11.7,6.5,20,9.7,5.9,*,*,*,*,,,*,,,*,*,*,21,10.2,6.7,9,12.8,6.3,*,*,*
2021,Manhattan Bridges High School,71M542,3,31,5,11,10,6.9,20,10.7,6.9,*,,,*,,,*,,,*,,,19,11,7.2,8,10.2,7.7,*,*,*
2022,Manhattan Bridges High School,71M542,3,33,7,11,11.9,6,22,10.3,5.8,*,,,*,,,*,,,*,,,20,10.5,6.1,8,9.8,6.9,*,*,*
2023,Manhattan Bridges High School,71M542,2,33,7,10,12,7.7,23,9.5,5.1,*,,,*,,,*,,,*,,,19,9.9,6.5,8,9.3,6.1,*,*,*
2020,Manhattan Business Academy,71M392,2,31,3,16,8.3,4.5,15,5.9,3.3,*,*,*,*,,,*,,,*,*,*,5,8.8,2.9,19,6.8,4.1,*,*,*
2021,Manhattan Business Academy,71M392,3,28,2,15,9.6,5.5,13,7.7,4.8,*,,,*,,,*,,,*,,,*,,,17,8.3,5.3,*,*,*
2022,Manhattan Business Academy,71M392,3,33,3,17,8.9,5,16,8.2,3.9,*,,,*,,,6,9.5,3.2,*,,,*,,,19,8.2,4.8,*,*,*
2023,Manhattan Business Academy,71M392,3,32,3,15,10.2,6.6,17,9.2,4.2,*,,,5,7.1,5.6,5,11.4,4.3,*,,,*,,,18,9,5.6,*,*,*
2020,Manhattan Center for Science and Mathematics,71M435,8,90,19,33,13.2,9.3,57,6.1,4.2,*,*,*,12,8.2,5.7,5,7.5,5.7,*,*,*,29,5.8,4.7,41,11.4,7.6,*,*,*
2021,Manhattan Center for Science and Mathematics,71M435,8,88,18,30,13.3,10.1,58,6.8,5,*,,,13,8.5,6.2,5,8.5,6.7,*,,,30,6.6,5.5,39,11.2,8,*,*,*
2022,Manhattan Center for Science and Mathematics,71M435,8,88,15,28,12.7,9.8,60,7.2,4.8,*,,,13,8,5.7,5,5.4,4.2,*,,,31,6.5,5.7,39,11.7,7.4,*,*,*
2023,Manhattan Center for Science and Mathematics,71M435,8,88,14,30,12.5,9.8,58,7.2,5.4,*,,,13,8.5,6.6,5,6.5,5.3,*,,,31,6.4,5.8,39,11.6,8.1,*,*,*
