Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2020,Harlem Renaissance High School,Transfer School,Common Core Algebra,25,58.24,75.98,24.02,0.0,0.0,60.0,40.0,0.0
2023,Harlem Renaissance High School,Transfer School,Common Core English,28,65.4,57.1,42.9,28.6,0.0,100.0,0.0,0.0
2020,Harry S Truman High School,General Academic,Common Core English,137,55.95,59.89,40.11,17.55,0.0,54.01,39.42,6.57
2020,Harry S Truman High School,General Academic,Living Environment,290,53.29,77.58,22.42,3.07,3.79,45.52,48.62,2.07
2020,Harry S Truman High School,General Academic,Common Core Algebra,319,61.41,52.36,47.64,9.68,2.82,51.41,42.32,3.45
2022,Harry S Truman High School,General Academic,Living Environment,367,61.92,53.65,46.35,11.96,3.27,49.05,43.6,4.09
2023,Harry S Truman High School,General Academic,Living Environment,404,58.28,60.37,39.63,8.65,4.21,50.74,45.05,0.0
2022,Harry S Truman High School,General Academic,Common Core Algebra,415,61.07,57.35,42.65,6.95,3.13,50.84,43.37,2.65
2022,Harry S Truman High School,General Academic,Common Core English,478,70.47,26.97,73.03,35.35,3.14,48.74,44.14,3.97
2023,Harry S Truman High School,General Academic,Common Core English,483,70.51,26.89,73.11,32.72,3.93,48.24,45.96,1.86
2023,Harry S Truman High School,General Academic,Common Core Algebra,508,62.19,50.01,49.99,10.62,4.33,50.59,43.7,1.38
2022,Harvest Collegiate High School,General Academic,Common Core English,72,70.01,27.75,72.25,22.21,0.0,19.44,63.89,16.67
2020,Harvest Collegiate High School,General Academic,Common Core English,99,75.37,16.15,83.85,51.54,0.0,20.2,53.54,26.26
2023,Harvest Collegiate High School,General Academic,Common Core English,121,71.71,19.01,80.99,27.25,0.0,25.62,64.46,9.92
2020,Harvey Milk High School,Transfer School,Common Core English,10,67.2,20.0,80.0,30.0,0.0,100.0,0.0,0.0
2023,Harvey Milk High School,Transfer School,Common Core Algebra,10,68.7,30.0,70.0,20.0,0.0,0.0,100.0,0.0
2022,Harvey Milk High School,Transfer School,Living Environment,10,81.5,0.0,100.0,50.0,0.0,0.0,100.0,0.0
2023,Harvey Milk High School,Transfer School,Common Core English,14,79.9,0.0,100.0,35.7,0.0,0.0,100.0,0.0
2023,Health Opportunities High School,General Academic,Living Environment,26,63.8,50.0,50.0,11.5,0.0,0.0,100.0,0.0
2022,Health Opportunities High School,General Academic,Common Core Algebra,32,63.2,50.0,50.0,9.4,0.0,0.0,100.0,0.0
2022,Health Opportunities High School,General Academic,Living Environment,44,70.71,20.48,79.53,29.54,0.0,43.18,56.82,0.0
2020,Health Opportunities High School,General Academic,Living Environment,64,52.7,78.1,21.9,1.6,0.0,0.0,100.0,0.0
2023,Health Opportunities High School,General Academic,Common Core English,87,61.84,44.84,55.16,14.93,0.0,28.74,71.26,0.0
2023,Health Opportunities High School,General Academic,Common Core Algebra,106,58.4,64.16,35.84,4.69,0.0,37.74,62.26,0.0
2020,Health Opportunities High School,General Academic,Common Core English,113,67.79,33.62,66.38,38.05,0.0,40.71,59.29,0.0
2022,Health Opportunities High School,General Academic,Common Core English,122,63.05,43.45,56.55,19.67,0.0,34.43,65.57,0.0
2020,Health Opportunities High School,General Academic,Common Core Algebra,131,55.72,70.96,29.04,0.79,0.0,34.35,65.65,0.0
2020,"Mathematics, Science Research and Technology Magnet High School",General Academic,Living Environment,68,50.54,82.35,17.65,1.5,0.0,88.24,11.76,0.0
2020,"Mathematics, Science Research and Technology Magnet High School",General Academic,Common Core English,72,57.33,59.74,40.26,13.93,0.0,84.72,15.28,0.0
2020,"Mathematics, Science Research and Technology Magnet High School",General Academic,Common Core Algebra,78,60.27,59.02,40.98,0.0,0.0,87.18,12.82,0.0
2022,"Mathematics, Science Research and Technology Magnet High School",General Academic,Common Core Algebra,111,66.37,39.61,60.39,18.05,7.21,72.97,19.82,0.0
2022,"Mathematics, Science Research and Technology Magnet High School",General Academic,Living Environment,115,64.09,49.55,50.45,21.73,7.83,74.78,17.39,0.0
2023,"Mathematics, Science Research and Technology Magnet High School",General Academic,Living Environment,140,61.5,49.3,50.7,18.55,5.0,75.0,20.0,0.0
2023,"Mathematics, Science Research and Technology Magnet High School",General Academic,Common Core Algebra,146,67.65,31.49,68.51,12.3,4.79,72.6,22.6,0.0
2023,"Mathematics, Science Research and Technology Magnet High School",General Academic,Common Core English,206,76.83,10.72,89.28,46.15,5.83,74.27,19.9,0.0
2022,Herbert H. Lehman High School,General Academic,Living Environment,64,73.1,21.89,78.11,40.64,14.06,18.75,67.19,0.0
2022,Herbert H. Lehman High School,General Academic,Common Core Algebra,70,61.44,55.72,44.28,10.0,0.0,25.71,62.86,11.43
2020,Herbert H. Lehman High School,General Academic,Common Core English,79,57.86,54.41,45.59,8.84,17.72,36.71,45.57,0.0
2020,Herbert H. Lehman High School,General Academic,Common Core Algebra,91,51.48,85.75,14.25,0.0,9.89,32.97,57.14,0.0
2020,Herbert H. Lehman High School,General Academic,Living Environment,95,52.53,79.98,20.02,1.05,14.74,26.32,58.95,0.0
2022,Herbert H. Lehman High School,General Academic,Common Core English,195,60.46,45.67,54.33,19.51,7.69,28.21,58.46,5.64
2023,Herbert H. Lehman High School,General Academic,Living Environment,235,64.67,45.54,54.46,17.46,0.0,26.81,63.4,9.79
2023,Herbert H. Lehman High School,General Academic,Common Core English,309,65.57,36.25,63.75,33.67,7.44,24.92,59.22,8.41
2023,Herbert H. Lehman High School,General Academic,Common Core Algebra,349,61.48,52.14,47.86,5.18,6.3,26.93,58.74,8.02
2020,The Heritage School,General Academic,Common Core Algebra,34,61.55,55.88,44.12,0.0,0.0,32.35,67.65,0.0
2023,The Heritage School,General Academic,Living Environment,38,53.8,73.7,26.3,5.3,0.0,0.0,100.0,0.0
2022,The Heritage School,General Academic,Living Environment,43,63.29,53.5,46.5,18.6,0.0,23.26,76.74,0.0
2022,The Heritage School,General Academic,Common Core Algebra,56,57.42,67.86,32.14,1.81,0.0,30.36,69.64,0.0
2023,The Heritage School,General Academic,Common Core English,56,70.36,28.54,71.46,21.41,0.0,30.36,69.64,0.0
2023,The Heritage School,General Academic,Common Core Algebra,64,60.04,51.59,48.41,6.26,0.0,31.25,68.75,0.0
2020,The Heritage School,General Academic,Common Core English,70,72.81,17.17,82.83,34.32,0.0,30.0,70.0,0.0
2020,High School for Arts and Business,General Academic,Common Core Algebra,39,64.0,43.6,56.4,10.3,0.0,0.0,100.0,0.0
2020,High School for Arts and Business,General Academic,Living Environment,48,60.0,70.8,29.2,2.1,0.0,0.0,100.0,0.0
2020,High School for Arts and Business,General Academic,Common Core English,57,65.3,45.6,54.4,15.8,0.0,0.0,100.0,0.0
2022,High School for Arts and Business,General Academic,Living Environment,144,65.02,47.91,52.09,15.28,10.42,6.25,83.33,0.0
2023,High School for Arts and Business,General Academic,Common Core Algebra,145,66.63,31.73,68.27,15.86,6.21,7.59,86.21,0.0
2022,High School for Arts and Business,General Academic,Common Core Algebra,148,64.72,49.36,50.64,12.13,7.43,6.08,86.49,0.0
2022,High School for Arts and Business,General Academic,Common Core English,167,77.26,15.54,84.46,52.09,11.98,6.59,81.44,0.0
2023,High School for Arts and Business,General Academic,Living Environment,173,64.92,42.23,57.78,18.47,9.25,8.09,78.03,4.62
2023,High School for Arts and Business,General Academic,Common Core English,231,74.83,20.34,79.66,44.12,10.39,6.93,77.92,4.76
2022,High School for Civil Rights,General Academic,Living Environment,26,54.5,69.2,30.8,0.0,0.0,100.0,0.0,0.0
2020,High School for Civil Rights,General Academic,Living Environment,31,47.46,96.77,3.23,0.0,0.0,80.65,19.35,0.0
2020,High School for Civil Rights,General Academic,Common Core Algebra,53,57.5,69.8,30.2,1.9,0.0,100.0,0.0,0.0
2022,High School for Civil Rights,General Academic,Common Core Algebra,55,53.46,81.85,18.15,1.82,0.0,63.64,36.36,0.0
2023,High School for Civil Rights,General Academic,Common Core Algebra,63,57.7,58.73,41.27,1.61,0.0,55.56,44.44,0.0
2022,High School for Civil Rights,General Academic,Common Core English,66,55.21,60.57,39.43,15.16,0.0,71.21,28.79,0.0
2020,High School for Civil Rights,General Academic,Common Core English,73,60.46,46.55,53.45,23.26,0.0,79.45,20.55,0.0
2023,High School for Civil Rights,General Academic,Common Core English,81,60.37,48.17,51.83,18.53,0.0,70.37,29.63,0.0
2021,High School for Community Leadership,General Academic,Common Core English,27,92.27,0.0,100.0,92.6,29.63,37.04,33.33,0.0
2022,High School for Community Leadership,General Academic,Common Core Algebra,30,72.04,0.0,100.0,3.36,0.0,40.0,60.0,0.0
2020,High School for Community Leadership,General Academic,Living Environment,34,74.16,14.68,85.32,29.42,29.41,20.59,50.0,0.0
2022,High School for Community Leadership,General Academic,Living Environment,41,77.35,2.44,97.56,39.02,14.63,34.15,51.22,0.0
2020,High School for Community Leadership,General Academic,Common Core Algebra,47,71.17,23.41,76.59,21.29,29.79,27.66,42.55,0.0
2020,High School for Community Leadership,General Academic,Common Core English,47,77.62,17.02,82.98,55.32,19.15,53.19,27.66,0.0
2023,High School for Community Leadership,General Academic,Common Core Algebra,89,74.25,7.87,92.13,24.72,31.46,31.46,37.08,0.0
2023,High School for Community Leadership,General Academic,Living Environment,93,74.48,17.24,82.83,38.73,31.18,34.41,34.41,0.0
2023,High School for Community Leadership,General Academic,Common Core English,110,78.0,7.28,92.72,46.34,26.36,35.45,38.18,0.0
2022,High School for Contemporary Arts,General Academic,Common Core English,38,54.84,60.52,39.48,15.78,0.0,47.37,52.63,0.0
2023,High School for Contemporary Arts,General Academic,Living Environment,68,50.09,85.31,14.69,1.46,0.0,55.88,44.12,0.0
2022,High School for Contemporary Arts,General Academic,Living Environment,75,51.93,80.01,19.99,3.99,0.0,53.33,46.67,0.0
2022,High School for Contemporary Arts,General Academic,Common Core Algebra,78,49.19,94.85,5.15,0.0,0.0,55.13,44.87,0.0
2023,High School for Contemporary Arts,General Academic,Common Core Algebra,85,49.91,83.52,16.48,0.0,0.0,48.24,51.76,0.0
2020,High School for Contemporary Arts,General Academic,Common Core English,90,56.52,57.77,42.23,19.99,0.0,48.89,51.11,0.0
2020,High School for Contemporary Arts,General Academic,Living Environment,104,51.55,74.03,25.97,0.96,0.0,43.27,56.73,0.0
2020,High School for Contemporary Arts,General Academic,Common Core Algebra,108,50.6,79.6,20.4,0.95,0.0,50.0,50.0,0.0
2023,High School for Contemporary Arts,General Academic,Common Core English,115,56.83,54.8,45.2,9.56,0.0,35.65,64.35,0.0
2022,High School for Dual Language and Asian Studies,General Academic,Common Core Algebra,38,87.3,0.0,100.0,86.8,100.0,0.0,0.0,0.0
2023,High School for Dual Language and Asian Studies,General Academic,Common Core Algebra,39,91.8,0.0,100.0,94.9,100.0,0.0,0.0,0.0
2020,High School for Dual Language and Asian Studies,General Academic,Common Core English,49,78.9,8.2,91.8,44.9,100.0,0.0,0.0,0.0
2022,High School for Dual Language and Asian Studies,General Academic,Living Environment,57,82.7,1.8,98.2,70.2,100.0,0.0,0.0,0.0
2023,High School for Dual Language and Asian Studies,General Academic,Living Environment,64,83.8,4.7,95.3,73.4,100.0,0.0,0.0,0.0
2023,High School for Dual Language and Asian Studies,General Academic,Common Core English,87,76.1,18.4,81.6,50.6,100.0,0.0,0.0,0.0
2021,High School for Environmental Studies,General Academic,Common Core English,11,78.7,0.0,100.0,45.5,0.0,0.0,100.0,0.0
2020,High School for Environmental Studies,General Academic,Living Environment,84,51.59,90.43,9.57,1.2,0.0,20.24,79.76,0.0
2020,High School for Environmental Studies,General Academic,Common Core Algebra,100,58.45,66.98,33.02,1.0,0.0,23.0,77.0,0.0
2022,High School for Environmental Studies,General Academic,Living Environment,155,70.81,25.18,74.82,30.34,12.9,13.55,60.0,13.55
2023,High School for Environmental Studies,General Academic,Living Environment,167,66.88,41.91,58.09,23.94,0.0,15.57,68.26,16.17
2022,High School for Environmental Studies,General Academic,Common Core Algebra,168,63.87,41.66,58.34,13.1,11.31,14.88,63.1,10.71
2020,High School for Environmental Studies,General Academic,Common Core English,171,71.72,26.94,73.06,47.37,8.77,15.2,76.02,0.0
2022,High School for Environmental Studies,General Academic,Common Core English,223,79.8,12.13,87.87,63.25,12.56,9.87,61.43,16.14
2023,High School for Environmental Studies,General Academic,Common Core Algebra,239,61.7,48.55,51.45,8.34,0.0,22.18,65.69,12.13
2023,High School for Environmental Studies,General Academic,Common Core English,279,78.86,12.2,87.8,55.54,16.13,12.9,55.91,15.05
2022,High School for Excellence and Innovation,Transfer School,Common Core English,21,58.2,57.1,42.9,14.3,0.0,0.0,100.0,0.0
2023,High School for Excellence and Innovation,Transfer School,Common Core English,31,55.3,61.3,38.7,16.1,0.0,0.0,100.0,0.0
2020,High School for Excellence and Innovation,Transfer School,Living Environment,32,52.8,87.5,12.5,3.1,0.0,0.0,100.0,0.0
2020,High School for Excellence and Innovation,Transfer School,Common Core English,57,48.5,71.9,28.1,7.0,0.0,0.0,100.0,0.0
2020,High School for Health Professions and Human Services,General Academic,Living Environment,63,52.86,88.88,11.12,3.16,11.11,17.46,71.43,0.0
2020,High School for Health Professions and Human Services,General Academic,Common Core Algebra,130,60.99,61.53,38.47,6.17,14.62,10.0,75.38,0.0
2023,High School for Health Professions and Human Services,General Academic,Common Core Algebra,212,62.08,53.34,46.66,15.12,13.21,25.94,60.85,0.0
2023,High School for Health Professions and Human Services,General Academic,Living Environment,222,67.89,42.35,57.66,26.58,14.86,16.67,61.26,7.21
2022,High School for Health Professions and Human Services,General Academic,Common Core Algebra,232,64.82,41.37,58.63,11.61,15.52,12.5,65.95,6.03
2022,High School for Health Professions and Human Services,General Academic,Living Environment,251,72.62,29.49,70.51,36.63,20.72,11.95,59.36,7.97
2023,High School for Health Professions and Human Services,General Academic,Common Core English,364,81.89,9.34,90.66,64.01,22.8,14.01,56.04,7.14
2020,High School for Health Professions and Human Services,General Academic,Common Core English,444,84.24,7.45,92.56,78.39,22.52,14.41,55.86,7.21
2020,High School for Innovation in Advertising and Media,Career Technical,Living Environment,29,47.5,89.7,10.3,0.0,0.0,100.0,0.0,0.0
2020,High School for Innovation in Advertising and Media,Career Technical,Common Core English,32,64.0,31.3,68.8,34.4,0.0,100.0,0.0,0.0
2020,High School for Innovation in Advertising and Media,Career Technical,Common Core Algebra,48,56.62,75.03,24.97,6.28,0.0,81.25,18.75,0.0
2022,High School for Innovation in Advertising and Media,Career Technical,Common Core English,52,54.1,53.8,46.2,9.6,0.0,100.0,0.0,0.0
2022,High School for Innovation in Advertising and Media,Career Technical,Living Environment,52,57.2,69.2,30.8,3.8,0.0,100.0,0.0,0.0
2022,High School for Innovation in Advertising and Media,Career Technical,Common Core Algebra,70,59.71,58.58,41.42,5.76,0.0,88.57,0.0,11.43
2023,High School for Innovation in Advertising and Media,Career Technical,Living Environment,87,48.53,85.09,14.91,1.15,0.0,78.16,9.2,12.64
2023,High School for Innovation in Advertising and Media,Career Technical,Common Core Algebra,90,55.01,72.21,27.79,1.11,0.0,77.78,10.0,12.22
2023,High School for Innovation in Advertising and Media,Career Technical,Common Core English,110,57.61,55.47,44.53,16.34,0.0,91.82,0.0,8.18
2020,High School for Law and Public Service,General Academic,Common Core English,63,53.2,57.1,42.9,14.3,0.0,0.0,100.0,0.0
2022,High School for Law and Public Service,General Academic,Common Core Algebra,65,54.05,78.48,21.52,0.0,0.0,15.38,84.62,0.0
2020,High School for Law and Public Service,General Academic,Living Environment,69,51.5,84.1,15.9,1.4,0.0,0.0,100.0,0.0
2022,High School for Law and Public Service,General Academic,Living Environment,69,62.45,49.27,50.73,8.7,0.0,13.04,86.96,0.0
2020,High School for Law and Public Service,General Academic,Common Core Algebra,94,51.52,84.08,15.92,1.06,0.0,11.7,88.3,0.0
2022,High School for Law and Public Service,General Academic,Common Core English,107,61.66,43.95,56.05,27.08,0.0,20.56,79.44,0.0
2023,High School for Law and Public Service,General Academic,Living Environment,134,65.31,39.58,60.42,16.37,0.0,5.22,94.78,0.0
2023,High School for Law and Public Service,General Academic,Common Core English,142,53.67,57.07,42.93,14.77,0.0,12.68,87.32,0.0
2023,High School for Law and Public Service,General Academic,Common Core Algebra,159,55.94,68.54,31.46,0.66,0.0,5.03,94.97,0.0
2020,High School for Law Enforcement and Public Safety,General Academic,Living Environment,38,46.09,92.11,7.89,0.0,15.79,52.63,31.58,0.0
2022,High School for Law Enforcement and Public Safety,General Academic,Common Core English,38,61.79,42.11,57.89,26.3,23.68,57.89,18.42,0.0
2022,High School for Law Enforcement and Public Safety,General Academic,Living Environment,66,53.62,74.26,25.74,3.04,25.76,54.55,19.7,0.0
2020,High School for Law Enforcement and Public Safety,General Academic,Common Core English,68,66.62,39.72,60.28,24.98,14.71,60.29,25.0,0.0
2022,High School for Law Enforcement and Public Safety,General Academic,Common Core Algebra,79,54.64,70.89,29.11,2.53,21.52,54.43,24.05,0.0
2020,High School for Law Enforcement and Public Safety,General Academic,Common Core Algebra,87,51.53,85.03,14.97,2.31,10.34,67.82,21.84,0.0
2023,High School for Law Enforcement and Public Safety,General Academic,Living Environment,92,52.09,77.18,22.82,4.34,15.22,58.7,26.09,0.0
2023,High School for Law Enforcement and Public Safety,General Academic,Common Core Algebra,107,54.13,73.82,26.18,1.88,15.89,56.07,28.04,0.0
2023,High School for Law Enforcement and Public Safety,General Academic,Common Core English,108,63.05,38.86,61.14,18.51,21.3,53.7,25.0,0.0
2020,"High School for Law, Advocacy and Community Justice",General Academic,Living Environment,19,54.1,84.18,15.82,0.0,0.0,36.84,63.16,0.0
2020,"High School for Law, Advocacy and Community Justice",General Academic,Common Core Algebra,31,51.95,83.85,16.15,0.0,0.0,38.71,61.29,0.0
2022,"High School for Law, Advocacy and Community Justice",General Academic,Common Core Algebra,59,56.16,72.85,27.15,3.38,0.0,27.12,72.88,0.0
2022,"High School for Law, Advocacy and Community Justice",General Academic,Living Environment,68,63.19,50.02,49.98,14.68,0.0,27.94,72.06,0.0
2020,"High School for Law, Advocacy and Community Justice",General Academic,Common Core English,77,79.05,10.37,89.63,53.27,0.0,27.27,72.73,0.0
2023,"High School for Law, Advocacy and Community Justice",General Academic,Common Core English,89,78.47,13.49,86.51,52.8,0.0,29.21,70.79,0.0
2023,"High School for Law, Advocacy and Community Justice",General Academic,Living Environment,101,53.78,76.22,23.78,2.01,0.0,26.73,73.27,0.0
2023,"High School for Law, Advocacy and Community Justice",General Academic,Common Core Algebra,115,58.44,61.73,38.27,4.39,6.09,24.35,69.57,0.0
2022,High School for Media and Communications,General Academic,Common Core English,75,57.05,46.71,53.29,11.96,0.0,10.67,89.33,0.0
2020,High School for Media and Communications,General Academic,Living Environment,78,46.2,91.0,9.0,0.0,0.0,0.0,100.0,0.0
2022,High School for Media and Communications,General Academic,Living Environment,81,61.81,51.89,48.11,4.93,0.0,8.64,91.36,0.0
2022,High School for Media and Communications,General Academic,Common Core Algebra,96,61.22,53.11,46.89,5.19,0.0,13.54,86.46,0.0
2020,High School for Media and Communications,General Academic,Common Core Algebra,106,53.1,79.2,20.8,2.8,0.0,0.0,100.0,0.0
2023,High School for Media and Communications,General Academic,Living Environment,108,56.3,63.0,37.0,3.7,0.0,0.0,100.0,0.0
2020,High School for Media and Communications,General Academic,Common Core English,110,54.0,64.5,35.5,12.7,0.0,0.0,100.0,0.0
2023,High School for Media and Communications,General Academic,Common Core English,172,61.1,44.2,55.8,14.0,0.0,0.0,100.0,0.0
2023,High School for Media and Communications,General Academic,Common Core Algebra,232,58.48,56.05,43.95,3.88,0.0,11.64,88.36,0.0
2023,High School for Medical Professions,General Academic,Living Environment,55,59.46,61.85,38.15,9.07,0.0,89.09,0.0,10.91
2020,High School for Medical Professions,General Academic,Common Core English,66,69.25,30.27,69.73,25.77,0.0,81.82,18.18,0.0
2022,High School for Medical Professions,General Academic,Living Environment,70,62.14,52.88,47.12,5.68,0.0,80.0,20.0,0.0
2020,High School for Medical Professions,General Academic,Common Core Algebra,72,55.93,69.47,30.52,2.75,0.0,91.67,8.33,0.0
2022,High School for Medical Professions,General Academic,Common Core Algebra,80,58.89,54.98,45.02,11.28,0.0,88.75,11.25,0.0
2023,High School for Medical Professions,General Academic,Common Core Algebra,95,62.26,55.81,44.19,13.66,0.0,90.53,9.47,0.0
2022,High School for Medical Professions,General Academic,Common Core English,99,67.74,29.3,70.7,34.31,0.0,76.77,23.23,0.0
2023,High School for Medical Professions,General Academic,Common Core English,119,65.07,41.2,58.8,24.34,0.0,81.51,12.61,5.88
2020,High School for Public Service: Heroes of Tomorrow,General Academic,Living Environment,23,49.4,95.7,4.3,0.0,0.0,100.0,0.0,0.0
2020,High School for Public Service: Heroes of Tomorrow,General Academic,Common Core Algebra,33,52.4,78.8,21.2,0.0,0.0,100.0,0.0,0.0
2022,High School for Public Service: Heroes of Tomorrow,General Academic,Living Environment,67,58.43,65.67,34.33,3.02,0.0,89.55,10.45,0.0
2022,High School for Public Service: Heroes of Tomorrow,General Academic,Common Core Algebra,75,57.87,70.64,29.36,0.0,0.0,89.33,10.67,0.0
2023,High School for Public Service: Heroes of Tomorrow,General Academic,Common Core Algebra,82,59.71,57.3,42.7,4.86,0.0,82.93,17.07,0.0
2023,High School for Public Service: Heroes of Tomorrow,General Academic,Living Environment,94,60.14,60.65,39.35,8.5,6.38,82.98,10.64,0.0
2020,High School for Public Service: Heroes of Tomorrow,General Academic,Common Core English,95,80.54,10.52,89.48,65.27,0.0,88.42,11.58,0.0
2020,High School for Service & Learning at Erasmus,General Academic,Living Environment,17,54.1,70.6,29.4,0.0,0.0,100.0,0.0,0.0
2022,High School for Service & Learning at Erasmus,General Academic,Living Environment,38,55.88,60.53,39.47,0.0,0.0,60.53,39.47,0.0
2022,High School for Service & Learning at Erasmus,General Academic,Common Core Algebra,41,53.18,80.5,19.5,0.0,0.0,68.29,31.71,0.0
2023,High School for Service & Learning at Erasmus,General Academic,Living Environment,52,56.45,75.03,24.97,3.87,0.0,63.46,36.54,0.0
2022,High School for Service & Learning at Erasmus,General Academic,Common Core English,52,60.21,49.96,50.04,17.3,0.0,71.15,28.85,0.0
2020,High School for Service & Learning at Erasmus,General Academic,Common Core English,55,54.94,61.84,38.16,10.9,0.0,80.0,20.0,0.0
2023,High School for Service & Learning at Erasmus,General Academic,Common Core Algebra,75,58.3,65.33,34.67,0.0,0.0,70.67,29.33,0.0
2023,High School for Service & Learning at Erasmus,General Academic,Common Core English,90,59.24,52.2,47.8,14.46,0.0,71.11,28.89,0.0
2020,High School for Service & Learning at Erasmus,General Academic,Common Core Algebra,96,54.21,87.5,12.5,0.0,0.0,78.12,21.88,0.0
2022,High School for Teaching and the Professions,General Academic,Living Environment,61,55.89,72.13,27.87,1.64,0.0,18.03,81.97,0.0
2020,High School for Teaching and the Professions,General Academic,Living Environment,63,45.11,95.21,4.79,0.0,0.0,17.46,82.54,0.0
2022,High School for Teaching and the Professions,General Academic,Common Core Algebra,68,55.72,74.98,25.02,1.48,0.0,17.65,82.35,0.0
2023,High School for Teaching and the Professions,General Academic,Living Environment,72,57.7,58.3,41.7,4.2,0.0,0.0,100.0,0.0
2022,High School for Teaching and the Professions,General Academic,Common Core English,110,64.18,39.09,60.91,17.31,0.0,11.82,88.18,0.0
2023,High School for Teaching and the Professions,General Academic,Common Core Algebra,114,57.43,55.24,44.76,2.62,0.0,9.65,90.35,0.0
2023,High School for Teaching and the Professions,General Academic,Common Core English,118,61.48,44.88,55.12,10.17,0.0,14.41,85.59,0.0
2020,High School for Teaching and the Professions,General Academic,Common Core English,137,52.51,59.15,40.85,18.28,0.0,15.33,79.56,5.11
2020,High School for Teaching and the Professions,General Academic,Common Core Algebra,141,53.43,74.47,25.53,0.0,0.0,12.06,87.94,0.0
2023,High School for Violin and Dance,General Academic,Living Environment,14,57.1,57.1,42.9,0.0,0.0,0.0,100.0,0.0
2022,High School for Violin and Dance,General Academic,Living Environment,23,54.3,82.6,17.4,0.0,0.0,0.0,100.0,0.0
2022,High School for Violin and Dance,General Academic,Common Core English,25,57.6,52.0,48.0,20.0,0.0,0.0,100.0,0.0
2022,High School for Violin and Dance,General Academic,Common Core Algebra,26,54.5,73.1,26.9,0.0,0.0,0.0,100.0,0.0
2023,High School for Violin and Dance,General Academic,Common Core Algebra,32,61.9,59.4,40.6,9.4,0.0,0.0,100.0,0.0
2020,High School for Violin and Dance,General Academic,Living Environment,43,47.9,93.0,7.0,0.0,0.0,0.0,100.0,0.0
2023,High School for Violin and Dance,General Academic,Common Core English,43,64.55,39.51,60.49,16.29,0.0,23.26,76.74,0.0
2020,High School for Violin and Dance,General Academic,Common Core English,56,51.43,71.43,28.57,8.93,0.0,28.57,71.43,0.0
2020,High School for Violin and Dance,General Academic,Common Core Algebra,89,48.76,88.79,11.21,0.0,0.0,31.46,68.54,0.0
2022,High School of American Studies at Lehman College,General Academic,Common Core Algebra,39,83.08,0.0,100.0,79.47,0.0,30.77,23.08,46.15
2023,High School of American Studies at Lehman College,General Academic,Living Environment,61,89.71,0.0,100.0,98.37,24.59,0.0,22.95,52.46
2023,High School of American Studies at Lehman College,General Academic,Common Core Algebra,62,87.5,0.0,100.0,91.93,19.35,0.0,24.19,56.45
2022,High School of American Studies at Lehman College,General Academic,Living Environment,75,89.29,0.0,100.0,93.36,17.33,18.67,18.67,45.33
2023,High School of American Studies at Lehman College,General Academic,Common Core English,80,92.92,0.0,100.0,100.0,31.25,0.0,23.75,45.0
2020,High School of American Studies at Lehman College,General Academic,Common Core English,83,94.1,0.0,100.0,98.79,22.89,0.0,13.25,63.86
2020,High School of Applied Communication,General Academic,Common Core English,16,66.1,25.0,75.0,18.8,0.0,0.0,100.0,0.0
2020,High School of Applied Communication,General Academic,Common Core Algebra,40,56.66,70.0,30.0,0.0,22.5,0.0,77.5,0.0
2020,High School of Applied Communication,General Academic,Living Environment,53,52.03,77.34,22.66,0.0,18.87,0.0,81.13,0.0
2023,High School of Applied Communication,General Academic,Living Environment,61,59.06,63.94,36.06,4.92,18.03,0.0,81.97,0.0
2022,High School of Applied Communication,General Academic,Common Core Algebra,83,61.48,53.02,46.98,1.2,18.07,0.0,74.7,7.23
2022,High School of Applied Communication,General Academic,Living Environment,91,60.92,62.61,37.39,3.26,16.48,0.0,72.53,10.99
2022,High School of Applied Communication,General Academic,Common Core English,94,65.22,37.26,62.74,25.51,10.64,8.51,80.85,0.0
2023,High School of Applied Communication,General Academic,Common Core English,108,62.92,41.7,58.38,15.78,15.74,0.0,74.07,10.19
2023,High School of Applied Communication,General Academic,Common Core Algebra,142,62.12,50.0,50.01,7.05,11.27,5.63,75.35,7.75
2020,High School of Arts and Technology,General Academic,Common Core Algebra,31,54.32,77.42,22.58,0.0,0.0,38.71,61.29,0.0
2020,High School of Arts and Technology,General Academic,Living Environment,32,53.85,78.12,21.88,3.15,0.0,34.38,65.62,0.0
2020,High School of Arts and Technology,General Academic,Common Core English,55,64.31,38.16,61.84,23.65,0.0,45.45,54.55,0.0
2022,High School of Arts and Technology,General Academic,Common Core Algebra,71,55.06,66.18,33.82,1.45,0.0,23.94,76.06,0.0
2022,High School of Arts and Technology,General Academic,Living Environment,71,57.17,62.0,38.0,4.25,0.0,25.35,74.65,0.0
2022,High School of Arts and Technology,General Academic,Common Core English,89,63.91,38.23,61.77,16.86,0.0,28.09,71.91,0.0
2023,High School of Arts and Technology,General Academic,Common Core English,135,66.02,40.01,59.99,28.18,0.0,27.41,72.59,0.0
2023,High School of Arts and Technology,General Academic,Living Environment,137,52.55,76.61,23.39,1.46,0.0,28.47,71.53,0.0
2023,High School of Arts and Technology,General Academic,Common Core Algebra,144,53.87,72.95,27.05,0.69,0.0,27.78,72.22,0.0
2021,High School of Computers and Technology,Career Technical,Common Core English,15,55.3,73.34,26.66,6.68,0.0,60.0,40.0,0.0
