Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2022,Academy for Software Engineering,Career Technical,Common Core Algebra,75,60.72,68.01,31.99,5.32,13.33,29.33,57.33,0.0
2022,Academy for Software Engineering,Career Technical,Living Environment,76,65.05,44.75,55.25,17.13,13.16,27.63,59.21,0.0
2023,Academy for Software Engineering,Career Technical,Common Core Algebra,79,60.26,56.96,43.04,2.52,11.39,29.11,59.49,0.0
2023,Academy for Software Engineering,Career Technical,Living Environment,88,61.41,53.41,46.59,17.02,11.36,25.0,63.64,0.0
2020,Academy for Software Engineering,Career Technical,Common Core Algebra,91,60.82,51.67,48.35,4.4,17.58,24.18,49.45,8.79
2020,Academy for Software Engineering,Career Technical,Common Core English,160,74.12,21.25,78.75,51.22,13.12,26.25,60.62,0.0
2023,Academy for Software Engineering,Career Technical,Common Core English,183,71.87,29.52,70.48,38.27,14.21,32.24,48.63,4.92
2020,Academy for Young Writers,General Academic,Common Core English,21,64.8,47.6,52.4,23.8,0.0,100.0,0.0,0.0
2020,Academy for Young Writers,General Academic,Living Environment,51,49.32,98.06,1.94,0.0,0.0,64.71,35.29,0.0
2022,Academy for Young Writers,General Academic,Living Environment,78,59.55,57.71,42.29,1.29,0.0,67.95,32.05,0.0
2023,Academy for Young Writers,General Academic,Living Environment,81,54.98,72.85,27.15,3.72,0.0,74.07,25.93,0.0
2022,Academy for Young Writers,General Academic,Common Core Algebra,82,56.25,79.27,20.73,0.0,0.0,69.51,30.49,0.0
2020,Academy for Young Writers,General Academic,Common Core Algebra,83,57.1,72.27,27.73,0.0,0.0,66.27,33.73,0.0
2022,Academy for Young Writers,General Academic,Common Core English,91,69.1,29.69,70.31,36.26,0.0,62.64,37.36,0.0
2023,Academy for Young Writers,General Academic,Common Core English,129,66.37,36.42,63.58,24.8,4.65,60.47,34.88,0.0
2023,Academy for Young Writers,General Academic,Common Core Algebra,201,57.33,67.2,32.86,4.47,4.98,63.68,28.36,2.99
2020,Academy of American Studies,General Academic,Living Environment,17,62.2,47.1,52.9,11.8,0.0,0.0,100.0,0.0
2020,Academy of American Studies,General Academic,Common Core English,33,76.64,21.25,78.79,60.61,0.0,0.0,48.48,51.52
2020,Academy of American Studies,General Academic,Common Core Algebra,41,67.11,39.05,60.95,21.93,0.0,0.0,75.61,24.39
