DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS Global History,105,4,26.3,21.0,30.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS Government & Econ,62,3,20.7,15.0,28.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,Gen Ed,Social Studies,HS US History,51,2,25.5,18.0,33.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,English,HS English 09,58,2,29.0,29.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,English,HS English 10,108,4,27.0,25.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,English,HS English 11,45,2,22.5,20.0,25.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,English,HS English 12,48,2,24.0,23.0,25.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Math,HS Algebra I,59,2,29.5,29.0,30.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Math,HS Algebra II,33,1,33.0,33.0,33.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Math,HS Geometry,77,3,25.7,23.0,27.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Science,HS Chemistry,30,1,30.0,30.0,30.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Science,HS Earth Science,52,2,26.0,23.0,29.0
02M139,STEPHEN T MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,HS Core,ICT,Science,HS Living Environment,58,2,29.0,26.0,32.0
