School Name,Regents Exam,Year,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Period,Asian_Percent,Black_Percent,Hispanic_Percent,White_Percent,School Type,School Level,latitude,longitude,formatted_address,ZIP Code,Neighborhood
A. Philip Randolph Campus High School,Living Environment,2023,174,63.66,47.1,52.9,14.39,COVID,0.0,35.06,64.94,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core English,2017,254,75.95,12.21,87.79,54.72,pre-COVID,5.51,29.53,62.6,2.36,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Living Environment,2022,255,68.33,37.24,62.76,23.57,COVID,5.1,29.41,65.49,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core English,2019,277,75.98,15.14,84.86,51.29,pre-COVID,5.78,29.6,64.62,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Living Environment,2018,282,73.97,18.41,81.59,37.96,pre-COVID,6.38,30.85,59.57,3.19,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Living Environment,2019,284,73.2,22.9,77.1,34.18,pre-COVID,5.28,28.52,66.2,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core English,2023,293,69.76,27.67,72.33,33.75,COVID,3.75,34.47,61.77,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core English,2018,308,76.2,12.95,87.05,55.49,pre-COVID,5.84,27.6,64.29,2.27,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2018,317,72.27,19.25,80.75,31.58,pre-COVID,5.68,26.81,64.98,2.52,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Living Environment,2017,328,71.67,25.34,74.66,29.56,pre-COVID,5.49,29.27,63.11,2.13,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core English,2020,343,77.47,14.53,85.47,57.44,COVID,3.5,28.28,68.22,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2017,351,73.52,19.65,80.35,33.32,pre-COVID,5.13,33.05,59.83,1.99,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
A. Philip Randolph Campus High School,Common Core Algebra,2019,362,72.12,24.56,75.44,32.35,pre-COVID,3.87,29.28,66.85,0.0,General Academic,High school,40.8185,-73.949929,443 WEST 135 STREET,10031,Washington Heights - Inwood
Abraham Lincoln High School,Common Core English,2022,37,62.98,45.96,54.09,29.71,COVID,0.0,43.24,56.76,0.0,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2020,214,53.7,80.85,19.15,0.47,COVID,0.0,47.2,31.31,21.5,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2020,279,59.79,62.35,37.65,1.81,COVID,0.0,52.69,27.6,19.71,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core English,2020,331,75.07,21.15,78.85,48.62,COVID,21.75,45.62,32.63,0.0,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core English,2023,417,72.51,24.43,75.57,39.08,COVID,12.95,41.49,27.34,18.23,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core English,2019,442,73.02,20.59,79.41,43.68,pre-COVID,0.0,45.48,23.76,30.77,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2022,447,65.11,44.32,55.68,15.24,COVID,18.79,34.9,32.89,13.42,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2022,474,60.4,58.24,41.76,8.44,COVID,16.88,36.5,32.7,13.92,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core English,2018,490,69.72,24.29,75.71,36.33,pre-COVID,17.35,36.94,20.2,25.51,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2023,497,61.48,55.73,44.27,12.88,COVID,13.68,44.47,26.76,15.09,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core English,2017,539,69.16,22.63,77.37,43.4,pre-COVID,20.59,33.95,21.71,23.75,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2019,638,63.33,49.37,50.63,11.61,pre-COVID,18.03,41.07,26.18,14.73,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2018,639,65.08,43.36,56.64,12.38,pre-COVID,14.87,38.65,22.38,24.1,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2023,661,62.81,46.88,53.12,7.28,COVID,13.46,41.3,29.95,15.28,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2018,689,62.19,51.67,48.33,6.97,pre-COVID,15.38,40.49,21.34,22.79,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2019,722,63.17,47.21,52.79,6.67,pre-COVID,15.93,42.94,24.38,16.76,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Living Environment,2017,724,63.6,46.82,53.18,10.92,pre-COVID,14.64,37.02,22.38,25.97,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Abraham Lincoln High School,Common Core Algebra,2017,843,67.17,32.84,67.16,10.9,pre-COVID,14.47,40.57,23.13,21.83,General Academic,High school,40.582627,-73.968733,2800 OCEAN PARKWAY,11235,Coney Island - Sheepshead Bay 
Academy for Careers in Television and Film,Common Core Algebra,2020,12,55.8,83.3,16.7,0.0,COVID,0.0,0.0,100.0,0.0,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core Algebra,2017,24,65.68,45.88,54.12,4.17,pre-COVID,0.0,45.83,54.17,0.0,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core Algebra,2022,57,65.27,43.85,56.15,14.02,COVID,0.0,12.28,71.93,15.79,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Living Environment,2022,87,73.49,20.72,79.28,35.65,COVID,0.0,18.39,65.52,16.09,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Living Environment,2023,113,68.26,34.53,65.47,23.86,COVID,0.0,9.73,74.34,15.93,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Living Environment,2019,123,78.85,8.94,91.06,55.28,pre-COVID,10.57,12.2,60.98,16.26,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2022,123,79.04,14.62,85.4,60.18,COVID,13.82,13.01,56.1,17.07,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Living Environment,2017,127,78.75,5.49,94.51,55.93,pre-COVID,5.51,14.96,57.48,22.05,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2018,128,83.09,4.68,95.32,69.53,pre-COVID,8.59,14.84,55.47,21.09,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core Algebra,2023,130,65.61,40.75,59.25,9.25,COVID,0.0,21.54,68.46,10.0,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2017,131,85.03,1.51,98.49,80.15,pre-COVID,5.34,16.79,53.44,24.43,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Living Environment,2018,133,80.89,6.0,94.0,57.91,pre-COVID,6.02,9.02,66.17,18.8,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core Algebra,2018,134,75.03,8.23,91.77,33.57,pre-COVID,5.22,14.18,58.96,21.64,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2020,137,82.66,9.49,90.51,71.55,COVID,5.84,8.03,65.69,20.44,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2019,140,81.68,4.3,95.7,68.59,pre-COVID,5.71,13.57,56.43,24.29,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core Algebra,2019,158,75.72,13.95,86.05,43.68,pre-COVID,6.96,10.76,64.56,17.72,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for Careers in Television and Film,Common Core English,2023,172,68.58,34.3,65.7,29.63,COVID,0.0,16.86,68.6,14.53,Career Technical,High school,40.742964,-73.959183,1-50 51 AVENUE,11101,Long Island City - Astoria
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2020,28,74.3,17.9,82.1,46.4,COVID,0.0,100.0,0.0,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Living Environment,2022,35,62.9,62.9,37.1,2.9,COVID,0.0,100.0,0.0,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2022,44,65.5,38.6,61.4,18.2,COVID,0.0,100.0,0.0,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core Algebra,2022,64,56.08,76.58,23.42,0.0,COVID,0.0,82.81,17.19,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2023,68,65.25,36.77,63.23,22.02,COVID,0.0,86.76,13.24,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2019,70,64.32,37.17,62.83,24.28,pre-COVID,0.0,88.57,11.43,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Living Environment,2017,75,61.96,50.64,49.36,6.7,pre-COVID,0.0,89.33,10.67,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2017,81,67.02,29.6,70.4,38.3,pre-COVID,0.0,83.95,16.05,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Living Environment,2019,82,54.54,71.94,28.06,6.06,pre-COVID,0.0,80.49,19.51,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Living Environment,2023,94,55.69,65.94,34.06,2.13,COVID,0.0,78.72,21.28,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core English,2018,94,63.92,34.05,65.95,23.42,pre-COVID,0.0,91.49,8.51,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Living Environment,2018,102,63.78,51.91,48.09,5.89,pre-COVID,0.0,89.22,10.78,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core Algebra,2019,110,62.11,54.55,45.45,4.51,pre-COVID,0.0,83.64,16.36,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core Algebra,2018,127,57.13,66.17,33.83,1.59,pre-COVID,0.0,83.46,16.54,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core Algebra,2023,135,61.86,44.44,55.56,0.73,COVID,0.0,77.04,22.96,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for College Preparation and Career Exploration: A College Board School,Common Core Algebra,2017,144,61.35,54.2,45.8,6.28,pre-COVID,0.0,82.64,17.36,0.0,General Academic,High school,40.649602,-73.957173,911 FLATBUSH AVENUE,11226,East Flatbush - Flatbush
Academy for Conservation and the Environment,Common Core English,2020,22,64.8,36.4,63.6,18.2,COVID,0.0,100.0,0.0,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2020,37,52.2,78.4,21.6,0.0,COVID,0.0,100.0,0.0,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2020,62,59.29,53.26,46.74,3.26,COVID,0.0,75.81,11.29,12.9,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2017,75,61.3,54.68,45.32,20.0,pre-COVID,0.0,88.0,12.0,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2022,80,68.25,32.51,67.49,21.26,COVID,0.0,71.25,16.25,12.5,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core English,2022,92,71.6,21.78,78.22,39.11,COVID,0.0,84.78,8.7,6.52,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core English,2019,93,72.49,16.16,83.84,37.62,pre-COVID,11.83,78.49,0.0,9.68,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core English,2018,97,69.83,23.69,76.31,30.94,pre-COVID,9.28,81.44,9.28,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2023,98,58.29,62.25,37.75,6.09,COVID,11.22,77.55,11.22,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core English,2017,99,66.61,27.29,72.71,23.22,pre-COVID,0.0,79.8,13.13,7.07,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2022,106,61.58,55.7,44.38,5.7,COVID,10.38,75.47,14.15,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2019,109,58.79,63.27,36.73,6.4,pre-COVID,9.17,82.57,0.0,8.26,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Living Environment,2018,110,63.16,42.74,57.26,6.38,pre-COVID,6.36,85.45,8.18,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core English,2023,115,69.61,36.5,63.5,29.57,COVID,12.17,75.65,12.17,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2023,124,57.7,64.53,35.47,4.0,COVID,8.06,82.26,9.68,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2017,137,64.95,35.75,64.25,5.08,pre-COVID,6.57,83.21,10.22,0.0,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2019,145,62.69,46.93,53.07,4.17,pre-COVID,8.97,82.07,0.0,8.97,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Conservation and the Environment,Common Core Algebra,2018,165,62.05,50.31,49.69,5.47,pre-COVID,5.45,82.42,7.88,4.24,General Academic,High school,40.634451,-73.916927,6565 FLATLANDS AVENUE,11236,Canarsie - Flatlands
Academy for Excellence in Leadership,Living Environment,2020,28,53.1,82.1,17.9,0.0,COVID,0.0,0.0,100.0,0.0,General Academic,High school,40.696457,-73.911751,400 IRVING AVENUE,11237,Williamsburg - Bushwick
