,,,,,,,,,,
DBN,School Name,Grade Level,Program Type,Department,Subject,Number of Students,Number of Classes,Average Class Size,Minimum Class Size,Maximum Class Size
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Science,MS Science Core,291,10,29.1,25.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,ICT,Social Studies,MS Social Studies Core,349,12,29.1,25.0,33.0
02M104,JHS 104 SIMON BARUCH,MS Core,SC,English,MS English Core,17,3,5.7,<6,7.0
02M104,JHS 104 SIMON BARUCH,MS Core,SC,Math,MS Math Core,10,2,5.0,<6,<6
02M104,JHS 104 SIMON BARUCH,MS Core,SC,Science,MS Science Core,13,2,6.5,6.0,7.0
02M104,JHS 104 SIMON BARUCH,MS Core,SC,Social Studies,MS Social Studies Core,6,1,6.0,6.0,6.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Accelerated,Math,MS Integrated Algebra,127,7,18.1,15.0,22.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,English,MS English Core,285,9,31.7,30.0,32.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,English,MS English Other,30,1,30.0,30.0,30.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Math,MS Math Core,189,6,31.5,30.0,32.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Science,MS Science Core,285,9,31.7,30.0,32.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,Gen Ed,Social Studies,MS Social Studies Core,285,9,31.7,30.0,32.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,English,MS English Core,166,6,27.7,27.0,28.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Math,MS Math Core,110,4,27.5,27.0,28.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Science,MS Science Core,166,6,27.7,27.0,28.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT,Social Studies,MS Social Studies Core,166,6,27.7,27.0,28.0
02M114,EAST SIDE MIDDLE SCHOOL,MS Core,ICT & Acc,Math,MS Integrated Algebra,25,2,12.5,<15,<15
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Accelerated,Math,MS Integrated Algebra,108,4,27.0,25.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Accelerated,Science,MS Science Other,83,3,27.7,25.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,English,MS English Core,253,9,28.1,25.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,English,MS English Other,115,4,28.8,28.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Math,MS Math Core,170,6,28.3,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Math,MS Math Other,168,6,28.0,25.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Science,MS Science Core,170,6,28.3,26.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,Gen Ed,Social Studies,MS Social Studies Core,253,9,28.1,25.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,English,MS English Core,84,3,28.0,25.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Math,MS Math Core,59,2,29.5,29.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Math,MS Math Other,54,2,27.0,25.0,29.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Science,MS Science Core,59,2,29.5,29.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT,Social Studies,MS Social Studies Core,84,3,28.0,25.0,30.0
02M126,PS 126 JACOB AUGUST RIIS,MS Core,ICT & Acc,Science,MS Science Other,25,1,25.0,25.0,25.0
02M131,MS 131,MS Core,Gen Ed,English,MS English Core,246,10,24.6,<15,31.0
02M131,MS 131,MS Core,Gen Ed,English,MS English Other,49,4,12.3,<15,20.0
02M131,MS 131,MS Core,Gen Ed,Math,MS Math Core,295,13,22.7,<15,31.0
02M131,MS 131,MS Core,Gen Ed,Science,MS Science Core,295,13,22.7,<15,31.0
02M131,MS 131,MS Core,Gen Ed,Social Studies,MS Social Studies Core,295,13,22.7,<15,31.0
02M131,MS 131,MS Core,ICT,English,MS English Core,78,3,26.0,25.0,27.0
02M131,MS 131,MS Core,ICT,Math,MS Math Core,78,3,26.0,25.0,27.0
02M131,MS 131,MS Core,ICT,Science,MS Science Core,78,3,26.0,25.0,27.0
