DBN,School Name,Regents Exam,Exam,Year,Mean Score,Total Tested,Black_Percent,Hispanic_Percent,Asian_Percent,White_Percent,Teacher_Count,School Type,CTE,Transfer,ELL_Percent,EconDisadvantaged_Pct,SpecialEd_Pct,Homeless_Pct,NeedsIndex,ATTENDANCE_RATE,ClassSize_Algebra,ClassSize_Biology,ClassSize,NYSED_School_Name,INSTITUTION_ID,latitude,longitude,ZIP Code,Neighborhood
71M304,Mott Hall High School,Living Environment,Living_Env,2022,56.6,28,60.71,39.29,0.0,0.0,17,General Academic,0.0,0.0,20.0,88.0,28.0,18.0,1.0,73.0,24.0,25.0,25.0,MOTT HALL HIGH SCHOOL,800000058049.0,40.817228,-73.947151,10030,Central Harlem - Morningside Heights
71M304,Mott Hall High School,Common Core Algebra,Algebra_I,2022,53.99,30,63.33,36.67,0.0,0.0,17,General Academic,0.0,0.0,20.0,88.0,28.0,18.0,1.0,73.0,24.0,25.0,24.0,MOTT HALL HIGH SCHOOL,800000058049.0,40.817228,-73.947151,10030,Central Harlem - Morningside Heights
71M305,The Urban Assembly Academy of Government and Law,Common Core Algebra,Algebra_I,2022,61.21,31,41.94,58.06,0.0,0.0,24,General Academic,0.0,0.0,5.0,88.0,18.0,10.0,1.0,79.0,11.0,16.0,11.0,URBAN ACADEMY-GOVERNMENT & LAW,800000059120.0,40.717329,-73.989329,10002,Union Square - Lower East Side
71M305,The Urban Assembly Academy of Government and Law,Living Environment,Living_Env,2022,71.99,44,31.82,45.45,22.73,0.0,24,General Academic,0.0,0.0,5.0,88.0,18.0,10.0,1.0,79.0,11.0,16.0,16.0,URBAN ACADEMY-GOVERNMENT & LAW,800000059120.0,40.717329,-73.989329,10002,Union Square - Lower East Side
71M307,The Urban Assembly School for Media Studies (UAM),Common Core Algebra,Algebra_I,2022,54.76,55,30.91,69.09,0.0,0.0,30,General Academic,0.0,0.0,6.0,83.0,18.0,13.0,1.0,76.0,18.0,16.0,18.0,URBAN ASSMBLY SCH-MEDIA STUDIES,800000058091.0,40.774891,-73.985608,10023,Upper West Side
71M307,The Urban Assembly School for Media Studies (UAM),Living Environment,Living_Env,2022,59.98,55,36.36,63.64,0.0,0.0,30,General Academic,0.0,0.0,6.0,83.0,18.0,13.0,1.0,76.0,18.0,16.0,16.0,URBAN ASSMBLY SCH-MEDIA STUDIES,800000058091.0,40.774891,-73.985608,10023,Upper West Side
71M307,The Urban Assembly School for Media Studies (UAM),Common Core English,ELA,2022,61.78,133,30.83,62.41,0.0,6.77,30,General Academic,0.0,0.0,6.0,83.0,18.0,13.0,1.0,76.0,18.0,16.0,17.0,URBAN ASSMBLY SCH-MEDIA STUDIES,800000058091.0,40.774891,-73.985608,10023,Upper West Side
71M308,Lower Manhattan Arts Academy,Living Environment,Living_Env,2022,67.25,20,50.0,50.0,0.0,0.0,26,General Academic,0.0,0.0,7.0,82.0,30.0,13.0,1.0,78.0,20.0,19.0,19.0,LOWER MANHATTAN ARTS ACADEMY,800000059086.0,40.717329,-73.989329,10002,Union Square - Lower East Side
71M308,Lower Manhattan Arts Academy,Common Core Algebra,Algebra_I,2022,52.91,52,34.62,65.38,0.0,0.0,26,General Academic,0.0,0.0,7.0,82.0,30.0,13.0,1.0,78.0,20.0,19.0,20.0,LOWER MANHATTAN ARTS ACADEMY,800000059086.0,40.717329,-73.989329,10002,Union Square - Lower East Side
71M308,Lower Manhattan Arts Academy,Common Core English,ELA,2022,70.78,66,27.27,72.73,0.0,0.0,26,General Academic,0.0,0.0,7.0,82.0,30.0,13.0,1.0,78.0,20.0,19.0,19.5,LOWER MANHATTAN ARTS ACADEMY,800000059086.0,40.717329,-73.989329,10002,Union Square - Lower East Side
