DBN,Location_Code,School_Name,latitude,longitude,formatted_address,ZIP Code,Neighborhood,Borough_Code_Derived,Borough_Derived,District_Derived
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,341 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M459,M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,40.765638,-73.959777,349 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M462,M462,THE COLLEGE ACADEMY,40.856532,-73.92606,549 AUDUBON AVENUE,10040,Washington Heights - Inwood,M,Manhattan,71
71M463,M463,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,40.856532,-73.92606,549 AUDUBON AVENUE,10040,Washington Heights - Inwood,M,Manhattan,71
71M467,M467,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,40.856532,-73.92606,549 AUDUBON AVENUE,10040,Washington Heights - Inwood,M,Manhattan,71
71M468,M468,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,40.856532,-73.92606,549 AUDUBON AVENUE,10040,Washington Heights - Inwood,M,Manhattan,71
71M475,M475,STUYVESANT HIGH SCHOOL,40.718025,-74.013921,345 CHAMBERS STREET,10282,Lower Manhattan,M,Manhattan,71
71M489,M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,40.70927,-74.012328,100 TRINITY PLACE,10006,Lower Manhattan,M,Manhattan,71
71M492,M492,HIGH SCHOOL FOR LAW  ADVOCACY AND COMMUNITY JUSTIC,40.774891,-73.985608,122 AMSTERDAM AVENUE,10023,Upper West Side,M,Manhattan,71
71M494,M494,HIGH SCHOOL OF ARTS AND TECHNOLOGY,40.774891,-73.985608,122 AMSTERDAM AVENUE,10023,Upper West Side,M,Manhattan,71
71M495,M495,PARK EAST HIGH SCHOOL,40.790191,-73.944092,230 EAST 105 STREET,10029,East Harlem,M,Manhattan,71
71M505,M505,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,40.797136,-73.966779,140 WEST 102 STREET,10025,Upper West Side,M,Manhattan,71
71M507,M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,40.763655,-73.990318,439 WEST 49 STREET,10019,Chelsea - Clinton,M,Manhattan,71
71M515,M515,LOWER EAST SIDE PREPARATORY HIGH SCHOOL,40.72004,-73.986038,145 STANTON STREET,10002,Union Square - Lower East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,317 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
71M519,M519,TALENT UNLIMITED HIGH SCHOOL,40.765638,-73.959777,318 EAST 67 STREET,10065,Upper East Side,M,Manhattan,71
