Year,DBN,Teachers,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Years in Title,B/AA Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School
2020,13K056,25,*,*,*,*,,,9,17.5,12.9,*,*,*,8,8,2.8,7,8.5,7.1,*,*,*,*,,
2020,13K067,22,*,*,*,*,,,10,7.2,5.6,*,*,*,*,,,8,5.4,3.7,*,*,*,*,,
2020,13K093,19,*,*,*,*,,,16,12.1,7.6,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K113,30,*,*,*,*,,,23,14.2,7.8,*,*,*,6,7.4,5.6,*,,,*,*,*,*,,
2020,13K133,57,*,*,*,*,,,19,10.7,8.1,*,*,*,15,13.2,10,19,7.5,5.4,*,*,*,*,,
2020,13K256,18,*,*,*,*,,,11,18.3,12.6,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K265,28,*,*,*,*,,,18,18.2,11.1,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K266,16,*,*,*,*,,,6,12.9,5.5,*,*,*,*,,,5,9.7,3.5,*,*,*,*,,
2020,13K270,13,*,*,*,*,,,11,17.6,14.1,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K282,46,*,*,*,*,,,18,13.6,7.8,*,*,*,7,16.4,8.7,18,9,5.9,*,*,*,*,,
2020,13K287,13,*,*,*,*,,,6,14.3,8.9,*,*,*,*,,,5,5.3,5.3,*,*,*,*,,
2020,13K301,10,*,*,*,*,,,8,12.1,4.1,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K305,11,*,*,*,*,,,10,15.8,11.9,*,*,*,*,,,*,,,*,*,*,*,,
2020,13K307,48,*,*,*,5,12.7,11,20,12,8.9,*,*,*,*,,,18,5.2,3.3,*,*,*,*,,
2020,13K313,26,*,*,*,*,,,15,15.1,3.4,*,*,*,*,,,8,9,1.9,*,*,*,*,,
2020,13K351,18,*,*,*,*,,,*,,,*,*,*,*,,,9,7.1,2.4,*,*,*,*,,
2020,13K492,37,*,*,*,*,,,7,8.5,2.6,*,*,*,5,5.9,5.1,21,8.8,5.1,*,*,*,*,,
2020,13K691,22,*,*,*,*,,,11,8.1,3.2,*,*,*,*,,,9,11.1,3.7,*,*,*,*,,
2020,13K915,20,*,*,*,*,,,8,11,0.2,*,*,*,*,,,8,5.1,0.2,*,*,*,*,,
2020,14K016,17,*,*,*,*,,,*,,,*,*,*,5,22.9,12.3,7,11.1,8.2,*,*,*,*,,
2020,14K017,31,*,*,*,*,,,*,,,*,*,*,*,,,24,15,14.6,*,*,*,*,,
2020,14K018,21,*,*,*,*,,,*,,,*,*,*,9,7.2,6.3,8,12.3,8.5,*,*,*,*,,
2020,14K023,30,*,*,*,*,,,*,,,*,*,*,10,10.9,9.5,15,7.3,5.4,*,*,*,*,,
2020,14K031,40,*,*,*,*,,,*,,,*,*,*,*,,,38,14,13.5,*,*,*,*,,
2020,14K034,33,*,*,*,*,,,*,,,*,*,*,*,,,30,14,12.1,*,*,*,*,,
2020,14K050,30,*,*,*,*,,,*,,,*,*,*,8,3.9,3,14,12,11.2,*,*,*,*,,
2020,14K059,29,*,*,*,*,,,14,9.7,5.2,*,*,*,8,10.1,6,6,13,6.8,*,*,*,*,,
2020,14K071,57,*,*,*,*,,,17,11.3,8.9,*,*,*,11,9.3,7.8,27,9.5,6.8,*,*,*,*,,
2020,14K084,83,*,*,*,6,8.8,4.5,7,9.1,6.9,*,*,*,28,7.8,5.9,38,10.9,8.1,*,*,*,*,,
2020,14K110,39,*,*,*,*,,,*,,,*,*,*,5,9.9,7.2,30,10.6,9.2,*,*,*,*,,
2020,14K120,31,*,*,*,*,,,5,6,5.1,*,*,*,6,11,10.3,16,11.2,11.6,*,*,*,*,,
2020,14K126,33,*,*,*,*,,,5,10.2,6.5,*,*,*,9,9.7,4.1,15,10,5.6,*,*,*,*,,
2020,14K132,47,*,*,*,*,,,*,,,*,*,*,5,6.1,5.7,40,11.5,9.9,*,*,*,*,,
2020,14K147,27,*,*,*,*,,,*,,,*,*,*,6,8.9,2.8,11,15.5,11.4,*,*,*,*,,
2020,14K157,41,*,*,*,*,,,7,9.6,9.4,*,*,*,19,13.6,10.2,14,8.2,6.9,*,*,*,*,,
2020,14K196,28,*,*,*,*,,,*,,,*,*,*,9,8.5,9.4,18,12.7,12,*,*,*,*,,
2020,14K250,34,*,*,*,*,,,6,15.9,9.3,*,*,*,10,16.8,13,15,17.6,13.5,*,*,*,*,,
2020,14K257,42,*,*,*,*,,,6,6.2,7.8,*,*,*,22,13.6,12.7,13,13.4,11.1,*,*,*,*,,
2020,14K297,19,*,*,*,*,,,5,13.7,10.1,*,*,*,*,,,11,13.1,11.2,*,*,*,*,,
2020,14K318,88,*,*,*,*,,,10,13.9,9,*,*,*,11,13.3,13.1,62,15,14.3,*,*,*,*,,
2020,14K319,10,*,*,*,*,,,*,,,*,*,*,5,7.8,7.6,5,21.4,21.3,*,*,*,*,,
2020,14K380,54,*,*,*,*,,,*,,,*,*,*,11,8.7,8.8,37,11.6,10.9,*,*,*,*,,
2020,14K414,45,*,*,*,*,,,5,6.5,3.2,*,*,*,*,,,31,7.7,3.7,*,*,*,*,,
2020,14K577,33,*,*,*,*,,,*,,,*,*,*,*,,,27,12.7,9.2,*,*,*,*,,
2020,14K582,29,*,*,*,*,,,8,8.4,5.5,*,*,*,6,6.4,4,14,9.2,5,*,*,*,*,,
2020,15K001,92,*,*,*,*,,,5,6.2,6.6,*,*,*,39,13.6,11.2,42,10.7,8.5,*,*,*,*,,
2020,15K010,98,*,*,*,9,6.9,4.6,10,15,9.6,*,*,*,17,9.6,5.7,61,10.8,7.5,*,*,*,*,,
2020,15K015,51,*,*,*,*,,,*,,,*,*,*,11,8.7,6.7,33,12.4,10.7,*,*,*,*,,
2020,15K024,56,*,*,*,*,,,*,,,*,*,*,37,13.7,10.7,17,8.4,7.1,*,*,*,*,,
2020,15K029,58,*,*,*,*,,,*,,,*,*,*,*,,,47,12.2,9.4,*,*,*,*,,
2020,15K032,65,*,*,*,*,,,14,10.3,7.2,*,*,*,5,9.9,9.7,42,10.4,7.4,*,*,*,*,,
2020,15K038,38,*,*,*,*,,,5,8.2,2.8,*,*,*,8,3.8,3.7,20,10.3,8.6,*,*,*,*,,
2020,15K039,26,*,*,*,*,,,*,,,*,*,*,*,,,20,6.7,5.5,*,*,*,*,,
2020,15K051,71,*,*,*,*,,,5,12.6,6.2,*,*,*,5,11.1,9.7,57,13,10.6,*,*,*,*,,
2020,15K058,64,*,*,*,6,5.9,5.5,*,,,*,*,*,6,6.1,6.1,50,10.7,8.7,*,*,*,*,,
2020,15K088,107,*,*,*,6,6.6,4.5,11,10.6,8.6,*,*,*,14,12.9,11.1,71,10,7.4,*,*,*,*,,
2020,15K094,91,*,*,*,45,6,5.4,*,,,*,*,*,25,10.2,6.7,12,10.5,7.9,*,*,*,*,,
2020,15K107,37,*,*,*,*,,,*,,,*,*,*,*,,,29,13.2,10.3,*,*,*,*,,
2020,15K118,20,*,*,*,*,,,*,,,*,*,*,*,,,15,4.7,3.1,*,*,*,*,,
2020,15K124,25,*,*,*,*,,,*,,,*,*,*,8,5.7,4.5,11,15,12.6,*,*,*,*,,
2020,15K130,60,*,*,*,8,13.3,9.2,*,,,*,*,*,5,15.4,12.7,43,10.7,7.8,*,*,*,*,,
2020,15K131,72,*,*,*,*,,,*,,,*,*,*,19,12.6,10.6,42,14.3,12.7,*,*,*,*,,
2020,15K136,47,*,*,*,*,,,*,,,*,*,*,8,12.5,9.2,29,10.6,8.5,*,*,*,*,,
2020,15K146,53,*,*,*,5,7,6,7,15.1,12.7,*,*,*,11,10.5,9.5,29,13.8,9.5,*,*,*,*,,
2020,15K154,36,*,*,*,*,,,*,,,*,*,*,*,,,27,14.6,13.5,*,*,*,*,,
2020,15K169,109,*,*,*,27,5.8,4.3,*,,,*,*,*,32,14.1,13.1,41,12.5,9.7,*,*,*,8,7.4,6.3
2020,15K172,50,*,*,*,*,,,*,,,*,*,*,*,,,45,9.5,8.9,*,*,*,*,,
2020,15K230,83,*,*,*,7,10.6,10.6,*,,,*,*,*,11,12.7,7.7,62,12.8,11.7,*,*,*,*,,
2020,15K261,55,*,*,*,*,,,8,11.7,5.8,*,*,*,9,11.3,8.9,33,10.9,8.1,*,*,*,*,,
2020,15K295,39,*,*,*,5,12.7,9.8,*,,,*,*,*,*,,,30,10.9,7.9,*,*,*,*,,
2020,15K321,82,*,*,*,*,,,8,18.8,12.9,*,*,*,*,,,66,12.9,11,*,*,*,*,,
2020,15K442,38,*,*,*,*,,,*,,,*,*,*,*,,,32,5.4,3.3,*,*,*,*,,
2020,15K443,36,*,*,*,*,,,*,,,*,*,*,*,,,29,13.7,8.9,*,*,*,*,,
2020,15K447,57,*,*,*,7,9.3,6,5,9.7,5.8,*,*,*,*,,,38,9.5,7.7,*,*,*,*,,
2020,15K516,46,*,*,*,6,8.9,4.5,*,,,*,*,*,17,3.3,3,19,5.6,2.7,*,*,*,*,,
2020,15K676,14,*,*,*,*,,,*,,,*,*,*,*,,,9,2.9,0.6,*,*,*,*,,
2020,15K821,45,*,*,*,6,11.4,5.7,*,,,*,*,*,12,8.1,6.8,24,7.3,6.5,*,*,*,*,,
2020,15K839,32,*,*,*,5,5.4,2.8,7,4.2,1.6,*,*,*,*,,,14,6.9,2.9,*,*,*,*,,
2020,15K896,6,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K005,20,*,*,*,*,,,17,12.2,10.3,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K021,41,*,*,*,*,,,35,16,14.6,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K025,11,*,*,*,*,,,9,17.9,14.9,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K026,33,*,*,*,*,,,21,9.5,7.4,*,*,*,*,,,7,9.5,7.1,*,*,*,*,,
2020,16K028,11,*,*,*,*,,,5,20.4,12.9,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K035,17,*,*,*,*,,,11,11.9,7.8,*,*,*,*,,,5,11.8,9.2,*,*,*,*,,
2020,16K040,29,*,*,*,*,,,24,12.4,6.8,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K057,11,*,*,*,*,,,10,15.2,5,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K081,30,*,*,*,*,,,21,12.1,10.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K243,25,*,*,*,*,,,16,13.9,12.3,*,*,*,*,,,8,8.8,5.3,*,*,*,*,,
2020,16K262,14,*,*,*,*,,,11,7.3,6.9,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K267,20,*,*,*,*,,,12,12.8,10.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K308,25,*,*,*,*,,,21,17.6,12.3,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K309,21,*,*,*,*,,,14,13.5,9.3,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K335,20,*,*,*,*,,,13,14.8,13.7,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K627,23,*,*,*,*,,,11,9.6,2.6,*,*,*,6,1.8,1.7,5,7.7,2.6,*,*,*,*,,
2020,16K628,22,*,*,*,*,,,9,9.1,5.5,*,*,*,*,,,9,8.3,3,*,*,*,*,,
2020,16K681,24,*,*,*,*,,,18,5,1.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,16K898,7,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K002,33,*,*,*,*,,,21,12.1,7.7,*,*,*,5,7.2,1.4,*,,,*,*,*,*,,
2020,17K006,51,*,*,*,*,,,32,17.4,12.8,*,*,*,*,,,12,14.3,6.1,*,*,*,*,,
2020,17K012,19,*,*,*,*,,,11,16.9,12.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K061,43,*,*,*,*,,,34,15.7,11,*,*,*,*,,,6,3.1,1.8,*,*,*,*,,
2020,17K091,22,*,*,*,*,,,13,18.8,16.8,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K092,36,*,*,*,*,,,25,16.7,11.7,*,*,*,5,8,6.4,*,,,*,*,*,*,,
2020,17K138,48,*,*,*,*,,,33,16.3,16.6,*,*,*,6,15.1,14.7,7,10.8,9.8,*,*,*,*,,
2020,17K161,27,*,*,*,*,,,21,17.7,11.7,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K181,49,*,*,*,*,,,34,15.4,12,*,*,*,*,,,6,17.2,13.5,*,*,*,*,,
2020,17K189,75,*,*,*,5,4.1,3.7,43,14.2,11.3,*,*,*,15,11.9,11.4,8,14.2,7.5,*,*,*,*,,
2020,17K191,17,*,*,*,*,,,10,15.1,13.4,*,*,*,*,,,5,14.5,5.8,*,*,*,*,,
2020,17K221,19,*,*,*,*,,,15,15.7,14.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K241,29,*,*,*,*,,,18,18,14.7,*,*,*,*,,,8,16.6,13.7,*,*,*,*,,
2020,17K246,34,*,*,*,*,,,26,12.6,10.8,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K249,60,*,*,*,5,7.8,6.8,14,14.1,12.9,*,*,*,13,5.6,5.6,24,8.5,7.8,*,*,*,*,,
2020,17K289,34,*,*,*,*,,,22,19.9,17.8,*,*,*,*,,,8,2.4,0.4,*,*,*,*,,
2020,17K316,53,*,*,*,5,4.7,3.7,15,10.8,8.1,*,*,*,7,9.4,5.4,25,6.5,5,*,*,*,*,,
2020,17K340,16,*,*,*,*,,,11,9,5.1,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K352,16,*,*,*,*,,,12,12.7,7.6,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K353,14,*,*,*,*,,,11,6.2,4.8,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K354,28,*,*,*,*,,,17,12.9,6.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K375,31,*,*,*,*,,,18,14.3,9.7,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K394,27,*,*,*,*,,,23,17.4,14.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K397,17,*,*,*,*,,,8,13.9,13.5,*,*,*,*,,,5,12,8.4,*,*,*,*,,
2020,17K398,27,*,*,*,*,,,21,14.6,9.5,*,*,*,*,,,5,7.4,7.4,*,*,*,*,,
2020,17K399,21,*,*,*,*,,,14,14.5,9.7,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K484,14,*,*,*,*,,,13,9.4,3.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,17K532,42,*,*,*,*,,,19,6.8,3.9,*,*,*,7,4.7,2.7,11,4.1,3.7,*,*,*,*,,
2020,17K705,28,*,*,*,*,,,9,9.4,4.7,*,*,*,8,4.4,2.3,8,3,2.7,*,*,*,*,,
2020,17K722,24,*,*,*,*,,,13,9.1,2.5,*,*,*,*,,,6,4.8,2.8,*,*,*,*,,
2020,17K770,26,*,*,*,*,,,*,,,*,*,*,*,,,16,2.7,2.2,*,*,*,*,,
2020,18K066,56,*,*,*,*,,,18,12.7,6.5,*,*,*,*,,,34,9.1,6.3,*,*,*,*,,
2020,18K068,27,*,*,*,*,,,22,16.1,14.2,*,*,*,*,,,*,,,*,*,*,*,,
2020,18K114,41,*,*,*,*,,,14,11.4,11.1,*,*,*,*,,,25,7.7,7.4,*,*,*,*,,
2020,18K115,59,*,*,*,*,,,15,12.2,10,*,*,*,*,,,40,14.2,12.6,*,*,*,*,,
2020,18K135,35,*,*,*,*,,,21,14.5,11.2,*,*,*,*,,,10,19.7,19.6,*,*,*,*,,
2020,18K208,32,*,*,*,*,,,13,14.6,12.6,*,*,*,*,,,15,13,8.8,*,*,*,*,,
2020,18K211,32,*,*,*,*,,,22,14.1,14,*,*,*,*,,,7,19.2,19.1,*,*,*,*,,
2020,18K219,31,*,*,*,*,,,23,17.6,13.2,*,*,*,*,,,8,14.2,10.8,*,*,*,*,,
2020,18K233,29,*,*,*,*,,,14,15.2,13,*,*,*,*,,,12,18.6,19,*,*,*,*,,
2020,18K235,67,*,*,*,5,11.4,10.2,21,13.5,10.3,*,*,*,*,,,36,15.7,12.8,*,*,*,*,,
2020,18K244,51,*,*,*,*,,,25,10.5,8.6,*,*,*,*,,,19,13.8,13.5,*,*,*,*,,
2020,18K268,24,*,*,*,*,,,15,14.5,12.5,*,*,*,*,,,6,15.1,14.3,*,*,*,*,,
2020,18K272,42,*,*,*,*,,,15,14.9,12,*,*,*,*,,,23,17,14.8,*,*,*,*,,
2020,18K276,45,*,*,*,*,,,25,15.8,13.2,*,*,*,*,,,15,17.9,17,*,*,*,*,,
2020,18K279,27,*,*,*,*,,,9,16.1,10.5,*,*,*,*,,,12,11.4,8.7,*,*,*,*,,
2020,18K285,55,*,*,*,*,,,41,16,9.2,*,*,*,*,,,8,13.4,8.2,*,*,*,*,,
2020,18K366,32,*,*,*,*,,,18,12.4,4.5,*,*,*,6,11.4,4.5,7,11.8,6.3,*,*,*,*,,
2020,18K581,19,*,*,*,*,,,11,11.4,1.2,*,*,*,*,,,*,,,*,*,*,*,,
2020,18K588,18,*,*,*,*,,,11,15.5,7.6,*,*,*,*,,,5,13.5,3.6,*,*,*,*,,
2020,18K763,30,*,*,*,*,,,15,3.9,1.7,*,*,*,*,,,11,4.8,3.2,*,*,*,*,,
2020,19K007,60,*,*,*,*,,,10,15.4,11,*,*,*,13,15.1,12.8,36,14.4,13.7,*,*,*,*,,
2020,19K013,44,*,*,*,*,,,26,13.7,8.4,*,*,*,5,12.9,12.5,11,6.2,6.2,*,*,*,*,,
2020,19K065,36,*,*,*,*,,,*,,,*,*,*,*,,,22,9.4,6.6,*,*,*,*,,
2020,19K089,47,*,*,*,*,,,*,,,*,*,*,39,7.7,6.3,6,7.6,6.7,*,*,*,*,,
2020,19K108,72,*,*,*,*,,,*,,,*,*,*,24,6.6,6.1,44,12.5,10.5,*,*,*,*,,
2020,19K149,41,*,*,*,8,8.6,7.1,18,13.1,10.6,*,*,*,*,,,13,13.3,11.3,*,*,*,*,,
2020,19K158,45,*,*,*,*,,,23,12.9,10.4,*,*,*,5,8.9,6.3,14,10.6,9.9,*,*,*,*,,
2020,19K159,54,*,*,*,5,17.3,16.3,22,13.4,11.9,*,*,*,5,16.7,16.2,21,18.6,16.5,*,*,*,*,,
2020,19K171,31,*,*,*,*,,,9,15.4,12.1,*,*,*,12,19,17.5,8,11,10,*,*,*,*,,
2020,19K190,16,*,*,*,*,,,10,19.3,16.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,19K202,28,*,*,*,*,,,16,14.1,9.4,*,*,*,*,,,8,22.7,22.6,*,*,*,*,,
2020,19K213,23,*,*,*,*,,,13,9.8,3.2,*,*,*,*,,,6,13.4,9.2,*,*,*,*,,
2020,19K214,67,*,*,*,8,10.6,11.3,11,14.5,14.4,*,*,*,9,13.7,13.1,36,15.6,14.7,*,*,*,*,,
2020,19K218,38,*,*,*,*,,,19,12.3,7,*,*,*,8,8.9,4.5,9,15.5,11,*,*,*,*,,
2020,19K224,31,*,*,*,*,,,19,13.3,9.3,*,*,*,*,,,8,18.9,15.4,*,*,*,*,,
2020,19K273,27,*,*,*,*,,,15,10.5,9.6,*,*,*,*,,,9,15.2,13.8,*,*,*,*,,
2020,19K290,37,*,*,*,*,,,11,14.9,10.8,*,*,*,5,10.6,10.2,20,10.5,8.4,*,*,*,*,,
2020,19K292,44,*,*,*,*,,,34,14.9,9.5,*,*,*,*,,,*,,,*,*,*,*,,
2020,19K306,28,*,*,*,*,,,14,12.6,9.9,*,*,*,*,,,8,13.1,10.4,*,*,*,*,,
2020,19K325,14,*,*,*,*,,,6,10.2,3.5,*,*,*,*,,,5,3,2.1,*,*,*,*,,
2020,19K328,26,*,*,*,*,,,13,14.3,8.6,*,*,*,*,,,8,13.8,12.5,*,*,*,*,,
2020,19K345,42,*,*,*,*,,,20,13.5,7,*,*,*,7,18.4,17.2,13,16.3,12.7,*,*,*,*,,
2020,19K346,51,*,*,*,*,,,14,12.6,10.4,*,*,*,*,,,31,13.3,11.5,*,*,*,*,,
2020,19K364,25,*,*,*,*,,,12,13.9,8.6,*,*,*,*,,,9,10.2,7.8,*,*,*,*,,
2020,19K422,49,*,*,*,*,,,24,6.9,2.5,*,*,*,6,5.6,2,13,7.5,3.5,*,*,*,*,,
2020,19K452,23,*,*,*,*,,,10,13.7,5.8,*,*,*,*,,,12,10.3,4.9,*,*,*,*,,
2020,19K557,27,*,*,*,*,,,12,5.3,2.3,*,*,*,7,11.3,3,7,3.1,3.1,*,*,*,*,,
2020,19K654,20,*,*,*,*,,,9,4,3,*,*,*,*,,,5,9.3,3.8,*,*,*,*,,
2020,19K662,46,*,*,*,*,,,9,7.8,3.8,*,*,*,10,7.8,4,19,5.5,3.1,*,*,*,*,,
2020,19K663,20,*,*,*,*,,,9,6.7,1,*,*,*,*,,,5,0.3,0.3,*,*,*,*,,
2020,19K677,43,*,*,*,*,,,24,9.4,4.9,*,*,*,5,7.2,5.2,11,9.9,5.7,*,*,*,*,,
2020,19K678,24,*,*,*,*,,,11,11.8,3.4,*,*,*,5,10,2.6,6,8.6,4,*,*,*,*,,
2020,19K760,25,*,*,*,5,4.4,1.2,10,5,2.6,*,*,*,5,4.7,3.2,5,4.6,2.9,*,*,*,*,,
2020,19K907,6,*,*,*,*,,,*,,,*,*,*,*,,,*,,,*,*,*,*,,
2020,20K030,83,*,*,*,11,3.8,3.1,9,5.1,3.1,*,*,*,10,5.5,3.2,50,6.9,4.4,*,*,*,*,,
2020,20K048,43,*,*,*,*,,,*,,,*,*,*,*,,,36,11.8,9.9,*,*,*,*,,
2020,20K062,86,*,*,*,*,,,16,12.5,12.2,*,*,*,11,13.4,12.3,51,11.9,11.7,*,*,*,*,,
2020,20K069,57,*,*,*,14,13.6,10.7,*,,,*,*,*,*,,,41,15.5,12.9,*,*,*,*,,
2020,20K102,94,*,*,*,*,,,*,,,*,*,*,*,,,82,10.6,9.8,*,*,*,*,,
2020,20K104,74,*,*,*,*,,,*,,,*,*,*,9,14.7,9.5,60,12.5,11.3,*,*,*,*,,
2020,20K105,87,*,*,*,59,10.3,9.6,*,,,*,*,*,*,,,24,11.1,11.6,*,*,*,*,,
2020,20K112,54,*,*,*,*,,,*,,,*,*,*,*,,,47,8.9,7.7,*,*,*,5,6.2,5
2020,20K127,39,*,*,*,*,,,*,,,*,*,*,*,,,33,12.5,10.5,*,*,*,*,,
2020,20K160,102,*,*,*,21,4.7,4.7,*,,,*,*,*,*,,,72,10.3,9.9,*,*,*,*,,
2020,20K163,49,*,*,*,5,13.7,9.4,*,,,*,*,*,*,,,41,12.6,11.1,*,*,*,*,,
2020,20K164,56,*,*,*,7,5.5,4.1,*,,,*,*,*,6,12.8,12.1,41,14.3,11.9,*,*,*,*,,
2020,20K170,73,*,*,*,22,5.8,4.3,*,,,*,*,*,*,,,48,12,10.6,*,*,*,*,,
2020,20K176,90,*,*,*,17,5,5.1,*,,,*,*,*,6,8.7,7.7,59,12.2,10.3,*,*,*,5,4.7,3.9
2020,20K179,62,*,*,*,*,,,*,,,*,*,*,7,15.1,12.2,50,13.4,12.1,*,*,*,*,,
2020,20K180,86,*,*,*,8,11.3,9.5,*,,,*,*,*,5,11,7.6,70,11.2,10,*,*,*,*,,
2020,20K185,42,*,*,*,*,,,*,,,*,*,*,*,,,39,13.3,11.9,*,*,*,*,,
2020,20K186,83,*,*,*,*,,,*,,,*,*,*,6,7.7,6.7,70,8.3,6.9,*,*,*,5,1.8,1.8
2020,20K187,58,*,*,*,8,7.3,4.8,*,,,*,*,*,6,20,16.4,42,14.6,12.5,*,*,*,*,,
2020,20K192,55,*,*,*,*,,,*,,,*,*,*,11,9.9,6.9,38,10.7,8.7,*,*,*,*,,
2020,20K200,86,*,*,*,*,,,*,,,*,*,*,7,8.1,6,72,13.1,12.1,*,*,*,*,,
2020,20K201,99,*,*,*,8,8.9,8.6,*,,,*,*,*,9,15.2,11.3,78,14,13.3,*,*,*,*,,
2020,20K204,75,*,*,*,5,9.8,7.9,*,,,*,*,*,*,,,63,13.8,10.9,*,*,*,*,,
2020,20K205,96,*,*,*,8,1.8,1.5,*,,,*,*,*,*,,,80,11.6,10.4,*,*,*,*,,
2020,20K220,122,*,*,*,18,9.4,7.6,11,11.1,7.9,*,*,*,22,10.1,8.5,67,10.5,8.9,*,*,*,*,,
2020,20K223,69,*,*,*,5,9.5,8.5,6,14.6,12.2,*,*,*,*,,,53,16,14.3,*,*,*,*,,
2020,20K227,108,*,*,*,11,12.8,11.3,5,14,10.4,*,*,*,9,8.8,8.3,79,13.4,12,*,*,*,*,,
2020,20K229,78,*,*,*,6,7.2,7.2,*,,,*,*,*,6,11.9,7.5,59,12,7.1,*,*,*,*,,
2020,20K247,59,*,*,*,*,,,*,,,*,*,*,*,,,54,11.8,10.7,*,*,*,*,,
2020,20K259,118,*,*,*,9,10.7,4.8,*,,,*,*,*,10,10,5.1,90,10,8.6,*,*,*,*,,
2020,20K264,37,*,*,*,*,,,*,,,*,*,*,5,9.3,4.5,24,10.4,5.5,*,*,*,*,,
2020,20K310,32,*,*,*,21,8.1,5.4,*,,,*,*,*,*,,,9,9.6,6.2,*,*,*,*,,
2020,20K503,88,*,*,*,9,8.2,5,*,,,*,*,*,22,9.2,6.1,50,9.4,7,*,*,*,*,,
2020,20K506,64,*,*,*,7,4.9,3.6,*,,,*,*,*,16,12.8,8.7,36,11.4,9,*,*,*,*,,
2020,20K682,56,*,*,*,*,,,*,,,*,*,*,*,,,43,6.2,4.5,*,*,*,*,,
2020,20K686,29,*,*,*,*,,,*,,,*,*,*,*,,,22,8.6,3.2,*,*,*,*,,
2020,20K748,40,*,*,*,*,,,*,,,*,*,*,*,,,32,7.8,5.3,*,*,*,*,,
2020,20K971,32,*,*,*,6,2.6,2.6,*,,,*,*,*,8,5.1,3.5,16,4.9,3.5,*,*,*,*,,
2020,21K090,55,*,*,*,5,3.4,2.6,8,8.2,4.7,*,*,*,5,3.2,2.6,33,8,5.7,*,*,*,*,,
2020,21K095,67,*,*,*,5,11.5,8.2,5,6.7,4.4,*,*,*,*,,,52,14.7,12.7,*,*,*,*,,
2020,21K096,86,*,*,*,*,,,13,7.4,3.7,*,*,*,13,7.9,5.5,55,8,5.7,*,*,*,*,,
2020,21K097,61,*,*,*,6,3.8,2.1,*,,,*,*,*,*,,,51,14,12.3,*,*,*,*,,
2020,21K098,75,*,*,*,*,,,7,15.4,12,*,*,*,*,,,61,12.9,9.1,*,*,*,*,,
2020,21K099,58,*,*,*,*,,,*,,,*,*,*,*,,,50,12.4,11.2,*,*,*,*,,
2020,21K100,56,*,*,*,5,7.9,7.2,*,,,*,*,*,5,4.6,5.8,44,13.5,11.6,*,*,*,*,,
2020,21K101,72,*,*,*,12,7.2,7.1,*,,,*,*,*,*,,,54,13.3,12.2,*,*,*,*,,
2020,21K121,48,*,*,*,*,,,*,,,*,*,*,*,,,38,11.2,9.6,*,*,*,*,,
2020,21K128,38,*,*,*,*,,,*,,,*,*,*,*,,,30,7.3,5.8,*,*,*,*,,
2020,21K153,46,*,*,*,*,,,*,,,*,*,*,*,,,42,13.1,11.2,*,*,*,*,,
2020,21K177,73,*,*,*,5,8.8,5.1,*,,,*,*,*,*,,,63,12.3,10.1,*,*,*,*,,
