Year,DBN,Teachers,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Years in Title,B/AA Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other Count,Unknown/Other Average Years in Title,Unknown/Other Average Years at School
2020,03M149,26,*,*,*,*,,,*,,,*,*,*,*,,,13,3.5,1.8,*,*,*,*,,
2020,03M163,47,*,*,*,*,,,*,,,*,*,*,11,12.7,9.6,30,11.5,8.9,*,*,*,*,,
2020,03M165,37,*,*,*,*,,,*,,,*,*,*,9,6.3,6.1,23,6.5,5.3,*,*,*,*,,
2020,03M166,39,*,*,*,*,,,*,,,*,*,*,*,,,34,8.2,6.5,*,*,*,*,,
2020,03M180,43,*,*,*,*,,,9,14.4,11.6,*,*,*,8,13.1,12.2,25,6.6,4.4,*,*,*,*,,
2020,03M185,33,*,*,*,*,,,5,16.4,10.7,*,*,*,8,8.2,2.7,17,5.4,2.4,*,*,*,*,,
2020,03M191,50,*,*,*,5,7.8,3.8,9,15.3,9.7,*,*,*,6,12.3,8.1,27,7.4,4.1,*,*,*,*,,
2020,03M199,53,*,*,*,*,,,*,,,*,*,*,*,,,43,11.2,8.7,*,*,*,*,,
2020,03M241,15,*,*,*,*,,,6,9.2,3.8,*,*,*,*,,,5,7.3,2.2,*,*,*,*,,
2020,03M242,19,*,*,*,*,,,7,19.2,9.9,*,*,*,5,3.6,2.6,5,6.5,4.1,*,*,*,*,,
2020,03M243,14,*,*,*,*,,,*,,,*,*,*,*,,,9,19.8,15.1,*,*,*,*,,
2020,03M245,25,*,*,*,*,,,*,,,*,*,*,*,,,16,10.9,8.5,*,*,*,*,,
2020,03M247,22,*,*,*,*,,,*,,,*,*,*,10,5.7,3.7,10,4.7,2.9,*,*,*,*,,
2020,03M250,15,*,*,*,*,,,*,,,*,*,*,*,,,10,10.1,9,*,*,*,*,,
2020,03M256,16,*,*,*,*,,,*,,,*,*,*,*,,,11,8.1,5.9,*,*,*,*,,
2020,03M258,23,*,*,*,*,,,*,,,*,*,*,*,,,21,8.3,4.7,*,*,*,*,,
2020,03M291,37,*,*,*,*,,,*,,,*,*,*,*,,,28,5.1,1.4,*,*,*,*,,
2020,03M333,52,*,*,*,*,,,*,,,*,*,*,*,,,45,8.1,6.1,*,*,*,*,,
2020,03M334,29,*,*,*,*,,,*,,,*,*,*,*,,,25,11.5,6.3,*,*,*,*,,
2020,03M421,20,*,*,*,*,,,5,6.6,4,*,*,*,8,2.9,2.1,*,,,*,*,*,*,,
2020,03M452,30,*,*,*,5,7.1,4.9,*,,,*,*,*,*,,,18,8.2,3.4,*,*,*,*,,
2020,03M859,24,*,*,*,5,10.4,2.4,*,,,*,*,*,*,,,17,9.8,3.2,*,*,*,*,,
2020,03M860,29,*,*,*,*,,,11,6,1.5,*,*,*,5,5.7,2.2,11,6.9,2.4,*,*,*,*,,
2020,03M862,32,*,*,*,*,,,*,,,*,*,*,7,5.6,3.7,21,6.3,4.6,*,*,*,*,,
2020,04M007,39,*,*,*,*,,,*,,,*,*,*,10,8.6,6.2,23,10.9,9.2,*,*,*,*,,
2020,04M012,25,*,*,*,6,6.1,3.3,*,,,*,*,*,*,,,10,6.1,3.5,*,*,*,*,,
2020,04M037,26,*,*,*,*,,,*,,,*,*,*,*,,,18,5.2,3.8,*,*,*,*,,
2020,04M038,25,*,*,*,*,,,5,10.5,5.1,*,*,*,10,2.9,1.8,7,4.3,4,*,*,*,*,,
2020,04M057,70,*,*,*,5,3.1,2.1,22,14.7,10,*,*,*,25,7.9,5.7,15,8,7.4,*,*,*,*,,
2020,04M072,58,*,*,*,*,,,7,10.9,6.9,*,*,*,19,11.9,10.7,30,4.6,3.8,*,*,*,*,,
2020,04M083,33,*,*,*,*,,,*,,,*,*,*,13,14.3,11.8,17,11.2,9.7,*,*,*,*,,
2020,04M096,43,*,*,*,*,,,5,9.2,2.4,*,*,*,12,8.7,6.7,25,13.2,10,*,*,*,*,,
2020,04M102,33,*,*,*,5,3.5,2.4,11,13.6,12.6,*,*,*,5,13,11.3,11,7.8,4.2,*,*,*,*,,
2020,04M108,47,*,*,*,*,,,6,15.2,14.5,*,*,*,13,16.8,13.4,25,13.7,11.6,*,*,*,*,,
2020,04M112,61,*,*,*,*,,,*,,,*,*,*,22,11.6,9.4,35,9.9,7.3,*,*,*,*,,
2020,04M146,39,*,*,*,*,,,6,15.9,12.5,*,*,*,11,11.3,7.4,20,10.3,4.7,*,*,*,*,,
2020,04M155,26,*,*,*,*,,,*,,,*,*,*,14,11.9,9,11,6.8,5,*,*,*,*,,
2020,04M171,52,*,*,*,6,13.8,13.6,5,14.3,10.7,*,*,*,15,13.9,12,26,10.9,8.4,*,*,*,*,,
2020,04M182,34,*,*,*,*,,,5,22.7,14.9,*,*,*,20,11.4,7.5,7,7.4,1.6,*,*,*,*,,
2020,04M206,94,*,*,*,5,6.1,6.1,14,7.1,5.7,*,*,*,28,6.4,5.6,43,5,4.1,*,*,*,*,,
2020,04M224,16,*,*,*,*,,,*,,,*,*,*,*,,,10,10.7,5.4,*,*,*,*,,
2020,04M372,54,*,*,*,*,,,*,,,*,*,*,37,7.6,2.7,13,7.5,2.9,*,*,*,*,,
2020,04M375,29,*,*,*,*,,,*,,,*,*,*,7,11.4,5.8,13,9,1.6,*,*,*,*,,
2020,04M377,18,*,*,*,*,,,6,13.2,4.5,*,*,*,5,3.9,2.4,5,6,4.2,*,*,*,*,,
2020,04M497,16,*,*,*,*,,,7,5.8,4.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,04M825,22,*,*,*,*,,,*,,,*,*,*,*,,,15,10.8,5.5,*,*,*,*,,
2020,04M964,43,*,*,*,5,10.6,3.8,8,11.5,4.9,*,*,*,12,11.7,4.3,16,5.9,4.2,*,*,*,*,,
2020,05M030,34,*,*,*,*,,,13,14.8,9.3,*,*,*,9,6.9,6,5,15.8,13.1,*,*,*,*,,
2020,05M036,37,*,*,*,*,,,21,15.8,12.5,*,*,*,8,21.8,17.7,5,11.7,8.7,*,*,*,*,,
2020,05M046,52,*,*,*,*,,,19,12.1,9.8,*,*,*,10,12,9.1,19,7.5,5.8,*,*,*,*,,
2020,05M092,23,*,*,*,*,,,12,17.6,15.2,*,*,*,*,,,6,5.1,3.6,*,*,*,*,,
2020,05M123,46,*,*,*,*,,,17,14.3,10.6,*,*,*,10,10,7.5,17,4.3,3,*,*,*,*,,
2020,05M125,23,*,*,*,*,,,6,12.8,7.4,*,*,*,9,7.5,6.2,8,10.3,9.7,*,*,*,*,,
2020,05M129,40,*,*,*,*,,,22,18.8,15.3,*,*,*,7,18.7,15.3,6,6.8,5.7,*,*,*,*,,
2020,05M133,33,*,*,*,*,,,11,11.7,6.3,*,*,*,*,,,14,4.2,2.3,*,*,*,*,,
2020,05M154,31,*,*,*,5,11,9,13,12.2,5.9,*,*,*,5,10.6,6.1,7,8.7,1.4,*,*,*,*,,
2020,05M161,68,*,*,*,*,,,18,15.4,9.4,*,*,*,33,12.7,10.7,12,6.8,6.1,*,*,*,*,,
2020,05M175,28,*,*,*,*,,,6,17,11.2,*,*,*,7,10.9,6.4,8,5.9,4.1,*,*,*,*,,
