School Information,,,,Active Staff,,,Teachers,,,,,
DBN,Location Code,Location Name,Location Category,Leadership,Teachers,Other Staff,Male,,,Female,,
,,,,,,,Count,Average Years in Title,Average Years at School,Count,Average Years in Title,Average Years at School
13K067,K067,P.S. 067 CHARLES A. DORSEY,ELEMENTARY,1,22,11,*,,,*,,
13K093,K093,P.S. 093 WILLIAM H. PRESCOTT,ELEMENTARY,1,20,9,*,,,*,,
13K113,K113,M.S. 113 RONALD EDMONDS LEARNING CENTER,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,31,15,11,14.5,10.6,20,8.6,3.7
13K133,K133,P.S. 133 WILLIAM A. BUTLER,ELEMENTARY,3,56,21,*,,,*,,
13K256,K256,P.S. 256 BENJAMIN BANNEKER,ELEMENTARY,2,17,11,*,,,*,,
13K265,K265,DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,SECONDARY SCHOOL,1,31,6,12,15.1,8.9,19,15.3,10.1
13K266,K266,M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,17,7,8,10.3,5.7,9,14.9,5.9
13K270,K270,P.S. 270 JOHANN DEKALB,ELEMENTARY,1,13,7,*,,,*,,
13K282,K282,P.S. 282 PARK SLOPE,K-8,3,42,26,7,13.0,8.2,35,11.7,7.5
13K287,K287,P.S. 287 BAILEY K. ASHFORD,ELEMENTARY,1,15,4,*,,,*,,
13K301,K301,RESTORATION ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,12,4,*,,,*,,
13K307,K307,P.S. 307 DANIEL HALE WILLIAMS,ELEMENTARY,2,46,31,*,,,*,,
13K313,K313,DOCK STREET SCHOOL FOR STEAM STUDIES,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,6,*,,,*,,
13K351,K351,THE URBAN ASSEMBLY UNISON SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,24,7,8,10.0,2.7,16,6.2,2.9
13K492,K492,ACADEMY OF ARTS AND LETTERS,K-8,3,54,24,10,10.7,6.8,44,10.3,3.2
13K691,K691,FORT GREENE PREPARATORY ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,22,8,9,10.5,4.2,13,9.9,4.1
13K915,K915,BRIDGES: A SCHOOL FOR EXPLORATION AND EQUITY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,7,*,,,*,,
14K016,K016,P.S. 016 LEONARD DUNKLY,ELEMENTARY,2,17,19,*,,,*,,
14K017,K017,P.S. 017 HENRY D. WOODWORTH,ELEMENTARY,1,32,15,6,14.1,10.2,26,13.7,12.2
14K018,K018,P.S. 018 EDWARD BUSH,ELEMENTARY,2,23,13,6,9.9,4.4,17,7.1,5.9
14K023,K023,P.S. 023 CARTER G. WOODSON,ELEMENTARY,2,32,19,7,9.3,7.4,25,10.1,7.9
14K031,K031,P.S. 031 SAMUEL F. DUPONT,ELEMENTARY,2,41,13,*,,,*,,
14K034,K034,P.S. 034 OLIVER H. PERRY,ELEMENTARY,2,35,11,*,,,*,,
14K050,K050,J.H.S. 050 JOHN D. WELLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,12,16,13.3,12.1,17,5.0,3.9
14K059,K059,P.S. 059 WILLIAM FLOYD,ELEMENTARY,2,31,11,*,,,*,,
14K071,K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,SECONDARY SCHOOL,3,60,24,21,12.6,11.6,39,10.0,7.5
14K084,K084,P.S. 084 JOSE DE DIEGO,K-8,4,84,17,14,8.0,5.4,70,9.1,6.8
14K110,K110,P.S. 110 THE MONITOR,ELEMENTARY,2,35,11,5,5.9,3.3,30,12.5,10.1
14K120,K120,P.S. 120 CARLOS TAPIA,ELEMENTARY,3,29,11,*,,,*,,
14K126,K126,JOHN ERICSSON MIDDLE SCHOOL 126,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,25,14,10,10.0,6.2,15,11.4,6.5
14K132,K132,P.S. 132 THE CONSELYEA SCHOOL,ELEMENTARY,3,50,16,7,10.5,7.6,43,13.6,12.1
14K147,K147,P.S. 147 ISAAC REMSEN,ELEMENTARY,2,24,11,*,,,*,,
14K157,K157,P.S./I.S. 157 THE BENJAMIN FRANKLIN HEALTH & SCIEN,K-8,2,38,15,*,,,*,,
14K196,K196,P.S. 196 TEN EYCK,ELEMENTARY,2,28,16,*,,,*,,
14K250,K250,P.S. 250 GEORGE H. LINDSAY,ELEMENTARY,2,31,10,*,,,*,,
14K257,K257,P.S. 257 JOHN F. HYLAN,ELEMENTARY,2,51,48,8,9.1,9.1,43,12.3,11.2
14K297,K297,P.S. 297 ABRAHAM STOCKTON,ELEMENTARY,2,25,15,8,6.7,5.8,17,12.2,9.9
14K318,K318,I.S. 318 EUGENIO MARIA DE HOSTOS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,90,28,34,15.7,13.6,56,12.1,10.8
14K319,K319,P.S. 319,EARLY CHILDHOOD,1,11,6,*,,,*,,
14K380,K380,P.S. 380 JOHN WAYNE ELEMENTARY,ELEMENTARY,3,55,30,*,,,*,,
14K414,K414,BROOKLYN ARBOR ELEMENTARY SCHOOL,ELEMENTARY,3,41,14,*,,,*,,
14K577,K577,CONSELYEA PREPARATORY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,34,9,15,13.2,10.0,19,14.1,10.3
14K582,K582,M.S. 582,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,34,9,15,8.8,4.6,19,7.9,4.9
15K001,K001,P.S. 001 THE BERGEN,ELEMENTARY,4,84,23,*,,,*,,
15K010,K010,MAGNET SCHOOL OF MATH  SCIENCE AND DESIGN TECHNOLO,ELEMENTARY,5,98,60,10,14.9,5.5,88,11.3,8.4
15K015,K015,P.S. 015 PATRICK F. DALY,ELEMENTARY,1,59,45,7,9.9,7.5,52,11.0,8.8
15K024,K024,P.S. 024,ELEMENTARY,3,59,24,*,,,*,,
15K029,K029,P.S. 029 JOHN M. HARRIGAN,ELEMENTARY,3,51,19,6,13.9,12.4,45,13.0,9.2
15K032,K032,P.S. 032 SAMUEL MILLS SPROLE,ELEMENTARY,1,71,34,13,10.3,5.1,58,10.9,8.4
15K038,K038,P.S. 038 THE PACIFIC,ELEMENTARY,2,42,11,*,,,*,,
15K039,K039,P.S. 039 HENRY BRISTOW,ELEMENTARY,2,28,6,6,5.4,3.3,22,9.1,7.2
15K051,K051,M.S. 51 WILLIAM ALEXANDER,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,79,14,26,14.7,11.0,53,11.9,9.4
15K058,K058,P.S. 058 THE CARROLL,ELEMENTARY,3,63,25,*,,,*,,
15K088,K088,J.H.S. 088 PETER ROUGET,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,109,27,41,11.5,9.9,68,10.7,7.6
15K094,K094,P.S. 094 THE HENRY LONGFELLOW,ELEMENTARY,5,96,21,12,8.2,7.1,84,7.8,6.7
15K107,K107,P.S. 107 JOHN W. KIMBALL,ELEMENTARY,2,38,12,5,16.3,11.3,33,14.6,12.0
15K118,K118,THE MAURICE SENDAK COMMUNITY SCHOOL,ELEMENTARY,2,17,7,*,,,*,,
15K124,K124,P.S. 124 SILAS B. DUTCHER,ELEMENTARY,2,28,10,6,19.9,19.9,22,8.6,8.1
15K130,K130,P.S. 130 THE PARKSIDE,ELEMENTARY,3,66,26,9,9.2,7.4,57,11.2,8.9
15K131,K131,P.S. 131 BROOKLYN,ELEMENTARY,2,57,13,*,,,*,,
15K136,K136,I.S. 136 CHARLES O. DEWEY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,51,9,20,11.7,9.4,31,10.6,8.0
15K146,K146,THE BROOKLYN NEW SCHOOL  P.S. 146,ELEMENTARY,2,54,46,11,9.8,6.3,43,11.7,9.7
15K154,K154,THE WINDSOR TERRACE SCHOOL,ELEMENTARY,2,30,19,*,,,*,,
15K169,K169,P.S. 169 SUNSET PARK,ELEMENTARY,3,106,32,12,13.5,9.8,94,11.4,10.0
15K172,K172,P.S. 172 BEACON SCHOOL OF EXCELLENCE,ELEMENTARY,2,52,17,*,,,*,,
15K230,K230,P.S. 230 DORIS L. COHEN,ELEMENTARY,5,85,34,10,17.8,15.0,75,12.8,11.0
15K261,K261,P.S. 261 PHILIP LIVINGSTON,ELEMENTARY,3,53,14,5,10.9,9.1,48,11.7,8.4
15K295,K295,P.S. 295,ELEMENTARY,1,36,31,*,,,*,,
15K321,K321,P.S. 321 WILLIAM PENN,ELEMENTARY,3,84,25,6,13.7,13.3,78,13.2,10.4
15K442,K442,M.S. 442 CARROLL GARDENS SCHOOL FOR INNOVATION,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,40,10,21,7.0,5.1,19,7.5,4.3
15K443,K443,NEW VOICES SCHOOL OF ACADEMIC & CREATIVE ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,36,10,11,15.8,9.7,25,13.7,9.8
15K447,K447,THE MATH & SCIENCE EXPLORATORY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,59,13,13,11.6,9.6,46,9.5,7.6
15K516,K516,SUNSET PARK AVENUES ELEMENTARY SCHOOL,ELEMENTARY,2,45,10,*,,,*,,
15K676,K676,RED HOOK NEIGHBORHOOD SCHOOL,ELEMENTARY,2,17,12,6,12.0,3.1,11,6.0,2.0
15K821,K821,SUNSET PARK PREP,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,46,7,16,11.6,10.2,30,7.6,6.0
15K839,K839,M.S. 839,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,35,13,13,8.1,4.3,22,6.9,2.7
15K896,K896,THE SCHOOL OF CREATIVITY AND INNOVATION,ELEMENTARY,2,16,6,*,,,*,,
16K005,K005,P.S. 005 DR. RONALD MCNAIR,ELEMENTARY,2,23,11,*,,,*,,
16K021,K021,P.S. 021 CRISPUS ATTUCKS,ELEMENTARY,3,41,19,*,,,*,,
16K025,K025,P.S. 025 EUBIE BLAKE SCHOOL,ELEMENTARY,1,11,4,*,,,*,,
16K026,K026,P.S. 026 JESSE OWENS,ELEMENTARY,2,31,11,*,,,*,,
16K035,K035,M.S. 035 STEPHEN DECATUR,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,18,8,6,11.3,10.6,12,12.7,8.2
16K040,K040,P.S. 040 GEORGE W. CARVER,ELEMENTARY,2,40,21,*,,,*,,
16K057,K057,WHITELAW REID ACADEMY OF ARTS AND BUSINESS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,11,7,*,,,*,,
16K081,K081,P.S. 081 THADDEUS STEVENS,ELEMENTARY,1,28,16,*,,,*,,
16K243,K243,P.S. 243K- THE WEEKSVILLE SCHOOL,ELEMENTARY,2,23,13,*,,,*,,
16K262,K262,P.S. 262 EL HAJJ MALIK EL SHABAZZ ELEMENTARY SCHOO,ELEMENTARY,1,15,7,*,,,*,,
16K267,K267,M.S. 267 MATH  SCIENCE & TECHNOLOGY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,17,10,10,11.5,6.9,7,17.3,15.4
16K308,K308,P.S. 308 CLARA CARDWELL,K-8,2,27,18,5,12.2,10.2,22,16.1,11.3
16K309,K309,P.S. 309 THE GEORGE E. WIBECAN PREPARATORY ACADEMY,ELEMENTARY,2,18,13,*,,,*,,
16K335,K335,P.S. 335 GRANVILLE T. WOODS,ELEMENTARY,2,17,8,*,,,*,,
16K627,K627,BRIGHTER CHOICE COMMUNITY SCHOOL,ELEMENTARY,2,25,10,*,,,*,,
16K628,K628,BROOKLYN BROWNSTONE SCHOOL,ELEMENTARY,2,27,6,*,,,*,,
16K681,K681,MADIBA PREP MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,28,10,10,6.2,2.6,18,6.5,2.8
16K898,K898,THE BROOKLYN GREEN SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,19,5,7,6.2,1.2,12,3.6,0.8
17K002,K002,PARKSIDE PREPARATORY ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,12,*,,,*,,
17K006,K006,NORMA ADAMS CLEMONS ACADEMY,ELEMENTARY,3,54,25,*,,,*,,
17K012,K012,DR. JACQUELINE PEEK-DAVIS SCHOOL,ELEMENTARY,2,18,10,*,,,*,,
17K061,K061,M.S. 061 DR. GLADSTONE H. ATWELL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,40,17,7,13.0,9.4,33,13.9,10.2
17K091,K091,P.S. 091 THE ALBANY AVENUE SCHOOL,ELEMENTARY,2,22,19,*,,,*,,
17K092,K092,P.S. 092 ADRIAN HEGEMAN,ELEMENTARY,2,29,15,*,,,*,,
17K138,K138,P.S. 138 BROOKLYN,K-8,2,44,29,11,19.2,17.4,33,16.4,16.8
17K161,K161,P.S. 161 THE CROWN,ELEMENTARY,2,28,12,6,16.0,9.8,22,15.5,11.2
17K181,K181,P.S. 181 BROOKLYN,K-8,3,48,20,9,14.0,13.3,39,12.9,9.9
17K189,K189,P.S. 189 THE BILINGUAL CENTER,K-8,5,72,14,15,14.9,13.1,57,10.8,8.7
17K191,K191,P.S. 191 PAUL ROBESON,ELEMENTARY,1,19,9,*,,,*,,
17K221,K221,P.S. 221 TOUSSAINT L'OUVERTURE,ELEMENTARY,2,19,12,*,,,*,,
17K241,K241,P.S. 241 EMMA L. JOHNSTON,ELEMENTARY,3,28,14,*,,,*,,
17K246,K246,M.S. 246 WALT WHITMAN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,31,13,7,13.9,12.2,24,13.2,10.7
17K249,K249,P.S. 249 THE CATON,ELEMENTARY,3,60,21,5,14.4,13.5,55,8.0,7.8
17K289,K289,P.S. 289 GEORGE V. BROWER,ELEMENTARY,1,32,20,5,13.5,8.2,27,16.1,14.1
17K316,K316,P.S. 316 ELIJAH STROUD,ELEMENTARY,3,52,21,10,6.9,5.2,42,6.7,5.3
17K340,K340,I.S. 340,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,17,6,6,11.0,8.8,11,11.3,6.3
17K352,K352,EBBETS FIELD MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,18,9,5,4.4,2.4,13,9.2,6.3
17K353,K353,ELIJAH STROUD MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,14,4,*,,,*,,
17K354,K354,THE SCHOOL OF INTEGRATED LEARNING,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,28,11,*,,,*,,
17K375,K375,P.S. 375 JACKIE ROBINSON SCHOOL,ELEMENTARY,3,30,21,5,11.1,11.2,25,11.4,8.5
17K394,K394,M.S. K394,K-8,3,24,11,7,15.4,10.2,17,16.0,12.6
17K397,K397,P.S. 397 FOSTER-LAURIE,ELEMENTARY,2,14,10,*,,,*,,
17K398,K398,P.S. 398 WALTER WEAVER,ELEMENTARY,2,24,16,*,,,*,,
17K399,K399,P.S. 399 STANLEY EUGENE CLARK,ELEMENTARY,1,19,5,*,,,*,,
17K484,K484,RONALD EDMONDS LEARNING CENTER II,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,17,5,6,9.1,4.9,11,8.3,3.2
17K532,K532,NEW BRIDGES ELEMENTARY,ELEMENTARY,3,40,13,*,,,*,,
17K705,K705,BROOKLYN ARTS AND SCIENCE ELEMENTARY SCHOOL,ELEMENTARY,2,26,18,*,,,*,,
17K722,K722,NEW HEIGHTS MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,9,5,6.3,2.8,18,10.3,4.2
17K770,K770,P.S. 770 NEW AMERICAN ACADEMY,ELEMENTARY,1,25,9,*,,,*,,
18K066,K066,P.S. 66,K-8,3,50,20,10,13.4,7.5,40,9.9,6.6
18K068,K068,I.S. 068 ISAAC BILDERSEE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,26,10,7,22.3,19.3,19,15.9,15.0
18K114,K114,P.S. 114 RYDER ELEMENTARY,ELEMENTARY,2,40,24,*,,,*,,
18K115,K115,P.S. 115 DANIEL MUCATEL SCHOOL,ELEMENTARY,3,63,29,*,,,*,,
18K135,K135,P.S. 135 SHELDON A. BROOKNER,ELEMENTARY,1,33,21,*,,,*,,
18K208,K208,P.S. 208 ELSA EBELING,ELEMENTARY,2,30,17,*,,,*,,
18K211,K211,I.S. 211 JOHN WILSON,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,27,20,7,18.2,15.0,20,15.9,15.5
18K219,K219,P.S. 219 KENNEDY-KING,ELEMENTARY,2,27,18,*,,,*,,
18K233,K233,P.S. 233 LANGSTON HUGHES,ELEMENTARY,2,27,21,*,,,*,,
18K235,K235,P.S. 235 JANICE MARIE KNIGHT SCHOOL,K-8,4,66,30,9,17.1,14.0,57,15.7,12.7
18K244,K244,P.S. 244 RICHARD R. GREEN,ELEMENTARY,3,51,32,5,12.9,12.9,46,12.9,11.6
18K268,K268,P.S. 268 EMMA LAZARUS,ELEMENTARY,1,26,13,*,,,*,,
18K272,K272,P.S. 272 CURTIS ESTABROOK,ELEMENTARY,2,44,30,5,15.9,13.0,39,14.5,12.6
18K276,K276,P.S. 276 LOUIS MARSHALL,ELEMENTARY,3,44,22,*,,,*,,
18K279,K279,P.S. 279 HERMAN SCHREIBER,ELEMENTARY,2,22,17,*,,,*,,
18K285,K285,I.S. 285 MEYER LEVIN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,53,19,20,16.4,9.6,33,14.6,10.6
18K366,K366,THE SCIENCE AND MEDICINE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,32,15,6,12.4,7.1,26,13.1,6.1
18K581,K581,THE MIDDLE SCHOOL OF MEDIA  LAW AND FINE ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,15,5,5,10.6,3.4,10,11.0,3.1
18K588,K588,MIDDLE SCHOOL FOR ART AND PHILOSOPHY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,17,6,7,13.2,6.3,10,16.2,8.7
18K763,K763,BROOKLYN SCIENCE AND ENGINEERING ACADEMY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,34,17,11,7.1,3.7,23,4.0,3.0
19K007,K007,P.S. 007 ABRAHAM LINCOLN,ELEMENTARY,2,56,20,7,12.4,9.9,49,16.2,14.6
19K013,K013,P.S. 013 ROBERTO CLEMENTE,ELEMENTARY,3,37,22,*,,,*,,
19K065,K065,P.S. 065,ELEMENTARY,3,34,11,8,14.8,12.9,26,10.5,7.3
19K089,K089,P.S. 089 CYPRESS HILLS,K-8,3,48,9,11,7.8,7.5,37,9.0,6.8
19K108,K108,P.S. 108 SAL ABBRACCIAMENTO,ELEMENTARY,3,72,22,6,10.5,6.4,66,11.8,10.4
19K149,K149,P.S. 149 DANNY KAYE,ELEMENTARY,2,45,16,5,15.6,14.6,40,12.3,10.3
19K158,K158,P.S. 158 WARWICK,ELEMENTARY,2,42,18,6,16.4,13.2,36,10.7,10.1
19K159,K159,P.S. 159 ISAAC PITKIN,ELEMENTARY,3,56,16,6,19.0,16.5,50,17.4,15.6
19K171,K171,I.S. 171 ABRAHAM LINCOLN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,28,12,*,,,*,,
19K190,K190,P.S. 190 SHEFFIELD,ELEMENTARY,2,14,7,*,,,*,,
19K202,K202,P.S. 202 ERNEST S. JENKYNS,ELEMENTARY,2,23,16,*,,,*,,
19K213,K213,P.S. 213 NEW LOTS,ELEMENTARY,2,22,10,*,,,*,,
19K214,K214,P.S. 214 MICHAEL FRIEDSAM,ELEMENTARY,4,64,21,8,13.8,14.7,56,15.2,14.4
19K218,K218,J.H.S. 218 JAMES P. SINNOTT,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,33,11,12,13.2,7.8,21,12.8,7.8
19K224,K224,P.S. 224 HALE A. WOODRUFF,ELEMENTARY,3,28,19,5,9.2,6.6,23,13.3,9.1
19K273,K273,P.S. 273 WORTMAN,ELEMENTARY,2,29,15,8,13.7,12.3,21,12.8,10.4
19K290,K290,P.S. 290 JUAN MOREL CAMPOS,ELEMENTARY,3,34,12,*,,,*,,
19K292,K292,J.H.S. 292 MARGARET S. DOUGLAS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,44,15,12,10.1,4.5,32,13.2,9.0
19K306,K306,P.S. 306 ETHAN ALLEN,ELEMENTARY,2,28,16,*,,,*,,
19K325,K325,THE FRESH CREEK SCHOOL,ELEMENTARY,2,16,6,*,,,*,,
19K328,K328,P.S. 328 PHYLLIS WHEATLEY,ELEMENTARY,2,26,11,*,,,*,,
19K345,K345,P.S. 345 PATROLMAN ROBERT BOLDEN,ELEMENTARY,3,43,15,*,,,*,,
19K346,K346,P.S. 346 ABE STARK,ELEMENTARY,2,47,26,*,,,*,,
19K364,K364,I.S. 364 GATEWAY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,21,6,6,9.6,6.5,15,15.5,11.4
19K422,K422,SPRING CREEK COMMUNITY SCHOOL,SECONDARY SCHOOL,4,48,10,16,9.5,4.0,32,7.7,3.4
19K452,K452,FREDERICK DOUGLASS ACADEMY VIII MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,8,9,11.3,6.2,15,13.4,7.6
19K557,K557,BROOKLYN GARDENS ELEMENTARY SCHOOL,ELEMENTARY,2,27,16,*,,,*,,
19K654,K654,VAN SICLEN COMMUNITY MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,20,6,7,3.3,2.2,13,5.4,2.9
19K662,K662,LIBERTY AVENUE MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,49,8,14,4.4,2.6,35,6.7,4.2
19K663,K663,SCHOOL OF THE FUTURE BROOKLYN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,10,3,*,,,*,,
19K677,K677,EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE,ELEMENTARY,2,40,21,6,12.5,6.6,34,10.8,7.0
19K678,K678,EAST NEW YORK MIDDLE SCHOOL OF EXCELLENCE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,25,5,7,9.5,4.1,18,12.5,4.3
19K760,K760,HIGHLAND PARK COMMUNITY SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,28,4,6,4.5,3.6,22,4.3,2.6
19K907,K907,LEGACY SCHOOL OF THE ARTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,18,4,8,2.8,0.8,10,2.6,0.9
19K935,K935,M.S. 935,JUNIOR HIGH-INTERMEDIATE-MIDDLE,1,6,1,*,,,*,,
19K938,K938,P.S. 938,ELEMENTARY,1,7,4,*,,,*,,
19K953,K953,THE EAST NEW YORK ARTS AND CIVICS HIGH SCHOOL,HIGH SCHOOL,3,12,3,*,,,*,,
20K030,K030,P.S./I.S. 30 MARY WHITE OVINGTON,K-8,5,86,26,20,7.0,4.3,66,8.0,5.2
20K048,K048,P.S. 048 MAPLETON,ELEMENTARY,3,47,17,*,,,*,,
20K062,K062,J.H.S. 062 DITMAS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,82,25,24,16.5,15.7,58,11.5,11.3
20K069,K069,P.S. 69 VINCENT D. GRIPPO SCHOOL,ELEMENTARY,3,58,17,*,,,*,,
20K102,K102,P.S. 102 THE BAYVIEW,ELEMENTARY,4,94,44,7,9.0,8.5,87,10.8,10.3
20K104,K104,P.S./I.S. 104 THE FORT HAMILTON SCHOOL,K-8,4,75,33,7,14.5,13.0,68,13.2,11.4
20K105,K105,P.S. 105 THE BLYTHEBOURNE,ELEMENTARY,5,91,23,6,9.4,7.6,85,11.0,10.6
20K112,K112,P.S. 112 LEFFERTS PARK,ELEMENTARY,3,54,19,*,,,*,,
20K127,K127,P.S. 127 MCKINLEY PARK,ELEMENTARY,3,44,16,*,,,*,,
20K160,K160,P.S. 160 WILLIAM T. SAMPSON,ELEMENTARY,5,101,24,7,11.2,9.9,94,10.4,10.1
20K163,K163,P.S. 163 BATH BEACH,K-8,3,54,16,6,15.0,10.1,48,11.7,9.5
20K164,K164,P.S. 164 CAESAR RODNEY,ELEMENTARY,2,58,27,5,7.4,7.0,53,12.1,9.5
20K170,K170,RALPH A. FABRIZIO SCHOOL,ELEMENTARY,4,74,23,6,3.4,3.4,68,11.3,9.7
20K176,K176,P.S. 176 OVINGTON,ELEMENTARY,3,79,20,6,13.4,9.6,73,10.7,9.8
20K179,K179,P.S. 179 KENSINGTON,ELEMENTARY,3,60,33,*,,,*,,
20K180,K180,THE SEEALL ACADEMY,K-8,4,79,30,30,12.4,10.6,49,13.0,11.8
20K185,K185,P.S. 185 WALTER KASSENBROCK,ELEMENTARY,2,42,20,*,,,*,,
20K186,K186,P.S. 186 DR. IRVING A GLADSTONE,ELEMENTARY,4,82,32,*,,,*,,
20K187,K187,THE CHRISTA MCAULIFFE SCHOOL\I.S. 187,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,57,15,16,14.0,10.5,41,13.2,12.0
20K192,K192,P.S. 192 - THE MAGNET SCHOOL FOR MATH AND SCIENCE,K-8,3,54,22,9,11.8,7.1,45,10.8,9.1
20K200,K200,P.S. 200 BENSON SCHOOL,ELEMENTARY,4,85,20,*,,,*,,
20K201,K201,J.H.S. 201 THE DYKER HEIGHTS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,105,31,23,11.8,11.5,82,12.4,11.5
20K204,K204,P.S. 204 VINCE LOMBARDI,ELEMENTARY,4,74,28,5,13.0,9.1,69,12.8,10.5
20K205,K205,P.S. 205 CLARION,ELEMENTARY,4,93,48,5,7.9,5.7,88,11.5,10.3
20K220,K220,J.H.S. 220 JOHN J. PERSHING,JUNIOR HIGH-INTERMEDIATE-MIDDLE,7,125,18,39,11.9,9.7,86,10.6,8.4
20K223,K223,J.H.S. 223 THE MONTAUK,JUNIOR HIGH-INTERMEDIATE-MIDDLE,4,65,17,23,13.6,11.6,42,15.5,13.7
20K227,K227,J.H.S. 227 EDWARD B. SHALLOW,JUNIOR HIGH-INTERMEDIATE-MIDDLE,5,110,27,29,10.9,7.2,81,13.5,12.0
20K229,K229,P.S. 229 DYKER,K-8,3,82,22,19,11.8,6.2,63,12.4,9.2
20K247,K247,P.S. 247 BROOKLYN,ELEMENTARY,2,61,27,*,,,*,,
20K259,K259,J.H.S. 259 WILLIAM MCKINLEY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,6,117,23,23,8.8,6.8,94,10.7,8.4
20K264,K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,ELEMENTARY,2,32,17,*,,,*,,
20K310,K310,THE SCHOOL FOR FUTURE LEADERS,ELEMENTARY,3,34,9,8,8.7,6.4,26,8.9,6.2
20K503,K503,P.S. 503: THE SCHOOL OF DISCOVERY,ELEMENTARY,3,83,37,*,,,*,,
20K506,K506,P.S. 506: THE SCHOOL OF JOURNALISM & TECHNOLOGY,ELEMENTARY,3,58,21,*,,,*,,
20K682,K682,THE ACADEMY OF TALENTED SCHOLARS,ELEMENTARY,4,52,22,*,,,*,,
20K686,K686,BROOKLYN SCHOOL OF INQUIRY,K-8,2,32,9,7,6.7,4.4,25,8.6,4.0
20K748,K748,P.S. 748 BROOKLYN SCHOOL FOR GLOBAL SCHOLARS,ELEMENTARY,2,36,17,*,,,*,,
20K936,K936,MS 936 ARTS OFF 3RD,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,24,7,9,5.6,0.6,15,4.6,0.5
20K939,K939,SUNSET SCHOOL OF CULTURAL LEARNING,ELEMENTARY,1,12,5,*,,,*,,
