School Information,,,,Active Staff,,,Teachers,,,,,
DBN,Location Code,Location Name,Location Category,Leadership,Teachers,Other Staff,Male,,,Female,,
,,,,,,,Count,Average Years in Title,Average Years at School,Count,Average Years in Title,Average Years at School
06M528,M528,I.S. 528 BEA FULLER RODGERS SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,20,6,8,8.1,6.2,12,8.9,6.5
07X001,X001,P.S. 001 COURTLANDT SCHOOL,ELEMENTARY,3,47,21,7,8.4,5.8,40,7.8,5.8
07X005,X005,P.S. 5 PORT MORRIS,K-8,3,62,22,9,9.6,5.6,53,11.4,7.1
07X018,X018,P.S. 018 JOHN PETER ZENGER,ELEMENTARY,3,41,23,*,,,*,,
07X025,X025,P.S. 025 BILINGUAL SCHOOL,ELEMENTARY,3,53,26,*,,,*,,
07X029,X029,P.S./M.S. 029 MELROSE SCHOOL,K-8,3,81,30,23,5.3,3.4,58,6.9,4.1
07X030,X030,P.S. 030 WILTON,ELEMENTARY,3,47,23,6,12.9,11.2,41,11.2,10.1
07X031,X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,K-8,3,67,26,13,12.0,9.1,54,14.4,8.6
07X043,X043,P.S. 043 JONAS BRONCK,ELEMENTARY,2,36,15,*,,,*,,
07X049,X049,P.S. 049 WILLIS AVENUE,ELEMENTARY,4,59,25,*,,,*,,
07X065,X065,P.S. 065 MOTHER HALE ACADEMY,ELEMENTARY,2,26,18,5,13.3,9.1,21,6.8,3.8
07X154,X154,P.S. 154 JONATHAN D. HYATT,ELEMENTARY,2,33,15,*,,,*,,
07X157,X157,P.S. 157 GROVE HILL,ELEMENTARY,3,50,19,8,10.6,6.3,42,11.9,10.3
07X161,X161,P.S. 161 JUAN PONCE DE LEON SCHOOL,ELEMENTARY,3,37,26,*,,,*,,
07X179,X179,P.S. 179,ELEMENTARY,2,28,18,*,,,*,,
07X223,X223,THE LABORATORY SCHOOL OF FINANCE AND TECHNOLOGY: X,SECONDARY SCHOOL,5,55,12,16,5.2,4.1,39,6.5,4.7
07X224,X224,P.S./I.S. 224,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,25,15,*,,,*,,
07X277,X277,P.S. 277,ELEMENTARY,2,38,12,*,,,*,,
07X296,X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,29,15,10,11.0,5.3,19,6.2,5.8
07X298,X298,ACADEMY OF PUBLIC RELATIONS,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,27,9,10,6.9,4.7,17,6.1,4.8
07X343,X343,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,23,9,8,10.8,8.4,15,10.4,7.1
07X359,X359,CONCOURSE VILLAGE ELEMENTARY SCHOOL,ELEMENTARY,2,29,9,5,2.3,2.3,24,6.0,3.8
07X369,X369,YOUNG LEADERS ELEMENTARY SCHOOL,ELEMENTARY,2,30,18,*,,,*,,
07X584,X584,I.S. 584,JUNIOR HIGH-INTERMEDIATE-MIDDLE,2,22,17,8,6.5,0.8,14,11.6,3.3
07X625,X625,WALKABOUT BRONX HIGH SCHOOL,HIGH SCHOOL,1,7,3,*,,,*,,
08X014,X014,P.S. X014 SENATOR JOHN CALANDRA,ELEMENTARY,2,44,24,7,11.5,9.1,37,15.9,12.2
08X036,X036,P.S. 036 UNIONPORT,ELEMENTARY,2,52,29,6,18.8,17.2,46,11.9,10.8
08X048,X048,P.S. 048 JOSEPH R. DRAKE,ELEMENTARY,4,54,42,9,11.4,7.3,45,13.5,11.8
08X062,X062,P.S. 062 INOCENSIO CASANOVA,ELEMENTARY,2,43,24,7,15.8,15.8,36,12.9,12.3
08X069,X069,P.S. 069 JOURNEY PREP SCHOOL,ELEMENTARY,3,45,18,9,8.5,7.6,36,12.4,9.6
08X071,X071,P.S. 071 ROSE E. SCALA,K-8,5,107,27,22,10.5,8.4,85,14.3,12.0
08X072,X072,P.S. 072 DR. WILLIAM DORNEY,ELEMENTARY,3,56,41,5,14.1,6.6,51,12.9,10.5
08X075,X075,P.S. 75 SCHOOL OF RESEARCH AND DISCOVERY,ELEMENTARY,3,46,24,7,18.1,15.8,39,14.6,13.3
08X093,X093,P.S. 093 ALBERT G. OLIVER,ELEMENTARY,2,35,20,*,,,*,,
08X100,X100,P.S. 100 ISAAC CLASON,ELEMENTARY,3,45,20,*,,,*,,
08X101,X101,M.S. X101 EDWARD R. BYRNE,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,47,13,12,12.6,6.2,35,10.2,7.2
08X107,X107,P.S. 107,ELEMENTARY,2,44,20,7,13.1,10.8,37,10.4,6.7
08X119,X119,THE DR. EMMETT W. BASSETT SCHOOL,ELEMENTARY,3,45,20,*,,,*,,
08X123,X123,J.H.S. 123 JAMES M. KIERAN,JUNIOR HIGH-INTERMEDIATE-MIDDLE,3,54,15,16,10.2,6.7,38,6.1,3.9
