Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2022,SCHOLARS' ACADEMY,27Q323,Q323,SECONDARY SCHOOL,5,75,17,*,,,*,,,5,15.9,7.5,*,,,8,8.8,7.3,56,11.3,8,*,,,*,,
2022,METROPOLITAN EXPEDITIONARY LEARNING SCHOOL,28Q167,Q167,SECONDARY SCHOOL,3,70,13,*,,,9,3.2,2.7,10,3.9,3.6,*,,,9,6.9,3.7,37,8.2,6.1,*,,,5,8.9,5.1
2022,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD S,29Q283,Q283,SECONDARY SCHOOL,3,36,9,*,,,*,,,12,11.8,7,*,,,*,,,15,11.3,7.5,*,,,*,,
2022,YOUNG WOMEN'S LEADERSHIP SCHOOL  ASTORIA,30Q286,Q286,SECONDARY SCHOOL,2,42,10,*,,,6,7.1,6.2,*,,,*,,,7,5.4,1.9,23,9.4,6.1,*,,,*,,
2022,THE EAGLE ACADEMY FOR YOUNG MEN OF STATEN ISLAND,31R028,R028,SECONDARY SCHOOL,2,43,7,*,,,*,,,11,12.4,3.4,*,,,*,,,26,6,3.1,*,,,*,,
2022,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,71M148,M148,SECONDARY SCHOOL,3,34,5,*,,,*,,,18,8.8,2.4,*,,,*,,,9,7.6,3.3,*,,,*,,
2022,INSTITUTE FOR COLLABORATIVE EDUCATION,71M407,M407,SECONDARY SCHOOL,2,34,4,*,,,*,,,*,,,*,,,9,4.2,2.5,16,10.6,8.2,*,,,*,,
2022,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,71M408,M408,SECONDARY SCHOOL,2,32,4,*,,,5,6.1,4.7,*,,,*,,,*,,,22,14.3,9.1,*,,,*,,
2022,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,71M415,M415,SECONDARY SCHOOL,3,35,6,*,,,*,,,13,12.5,6,*,,,5,9.9,3.3,14,7.5,4.1,*,,,*,,
2022,EAST SIDE COMMUNITY SCHOOL,71M450,M450,SECONDARY SCHOOL,4,59,15,*,,,*,,,11,11,6,*,,,15,12.3,10.4,28,11.8,8.3,*,,,*,,
2022,FREDERICK DOUGLASS ACADEMY,71M499,M499,SECONDARY SCHOOL,3,66,15,*,,,6,13.4,8.6,31,17.2,9.9,*,,,13,13.8,8.4,15,11.3,7.3,*,,,*,,
2022,YOUNG WOMEN'S LEADERSHIP SCHOOL,71M610,M610,SECONDARY SCHOOL,3,33,4,*,,,*,,,*,,,*,,,9,10,7.2,18,11.1,9.7,*,,,*,,
2022,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,71M670,M670,SECONDARY SCHOOL,3,48,8,*,,,*,,,28,17,8,*,,,8,11.6,8.9,10,10.8,5.4,*,,,*,,
2022,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,72X221,X221,SECONDARY SCHOOL,5,52,13,*,,,5,4.8,4.8,14,8.9,6.2,*,,,9,8.9,7.1,21,7.5,6.7,*,,,*,,
2022,EAGLE ACADEMY FOR YOUNG MEN,72X231,X231,SECONDARY SCHOOL,4,37,14,*,,,*,,,14,7.3,4.4,*,,,13,12.1,5.9,8,8.3,7.3,*,,,*,,
