Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School
2023,EDWARD R. MURROW HIGH SCHOOL,73K525,K525,HIGH SCHOOL,14,223,63,90,13.9,10.5,133,13.5,9.5
2023,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,73K528,K528,HIGH SCHOOL,1,16,5,8,8.5,6.7,8,6.3,4
2023,SCHOOL FOR HUMAN RIGHTS  THE,73K531,K531,HIGH SCHOOL,2,15,10,5,5.2,1.9,10,13.7,4.1
2023,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,73K535,K535,HIGH SCHOOL,3,60,23,30,15.4,9.2,30,12.4,7.6
2023,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT,73K537,K537,HIGH SCHOOL,4,23,14,14,10.5,6.3,9,10.4,4.6
2023,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,73K539,K539,HIGH SCHOOL,3,17,5,9,12.7,7.3,8,7.8,7.5
2023,JOHN DEWEY HIGH SCHOOL,73K540,K540,HIGH SCHOOL,12,153,36,92,11.5,7.2,61,11.2,8.1
2023,EBC HIGH SCHOOL FOR PUBLIC SERVICE - BUSHWICK,73K545,K545,HIGH SCHOOL,4,34,13,20,7.8,7.6,14,7.6,7.4
2023,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,73K546,K546,HIGH SCHOOL,4,30,12,13,17.1,7.8,17,9.9,6.3
2023,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,73K547,K547,HIGH SCHOOL,2,19,8,6,14.1,10,13,9.4,6.8
2023,BROOKLYN SCHOOL FOR MUSIC & THEATRE,73K548,K548,HIGH SCHOOL,3,19,6,9,8.2,6.5,10,13.4,4.1
2023,THE BROOKLYN SCHOOL FOR SOCIAL JUSTICE,73K549,K549,HIGH SCHOOL,3,29,5,13,10.2,6.8,16,8.3,6.6
2023,THE ACADEMY OF URBAN PLANNING AND ENGINEERING,73K552,K552,HIGH SCHOOL,3,35,11,12,10.3,7.1,23,7.4,4.6
2023,BROOKLYN ACADEMY HIGH SCHOOL,73K553,K553,HIGH SCHOOL,2,11,4,*,,,*,,
2023,BROOKLYN COLLEGE ACADEMY,73K555,K555,HIGH SCHOOL,4,34,7,15,10.6,7.1,19,11.6,9.2
2023,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLEN,73K556,K556,HIGH SCHOOL,2,34,11,21,7.7,4,13,5.1,3.5
2023,IT TAKES A VILLAGE ACADEMY,73K563,K563,HIGH SCHOOL,3,25,11,12,11.2,8.4,13,16.8,7.3
2023,BUSHWICK COMMUNITY HIGH SCHOOL,73K564,K564,HIGH SCHOOL,3,10,5,*,,,*,,
2023,BROOKLYN COMMUNITY HIGH SCHOOL FOR EXCELLENCE AND,73K566,K566,HIGH SCHOOL,2,17,10,6,12.9,6.8,11,11.6,8.4
2023,BROOKLYN THEATRE ARTS HIGH SCHOOL,73K567,K567,HIGH SCHOOL,3,17,8,7,17.8,8.4,10,16.1,5.2
2023,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,73K569,K569,HIGH SCHOOL,2,18,7,7,6.4,2.4,11,8.5,4.2
2023,VICTORY COLLEGIATE HIGH SCHOOL,73K576,K576,HIGH SCHOOL,2,16,7,5,14.8,6.8,11,15.3,6.1
2023,BROOKLYN BRIDGE ACADEMY,73K578,K578,HIGH SCHOOL,2,13,3,*,,,*,,
2023,MULTICULTURAL HIGH SCHOOL,73K583,K583,HIGH SCHOOL,2,23,6,10,7.6,4.7,13,4.3,2.9
2023,KHALIL GIBRAN INTERNATIONAL ACADEMY,73K592,K592,HIGH SCHOOL,2,17,5,*,,,*,,
2023,GOTHAM PROFESSIONAL ARTS ACADEMY,73K594,K594,HIGH SCHOOL,2,21,5,7,12.6,7,14,9.5,2.7
2023,BEDFORD ACADEMY HIGH SCHOOL,73K595,K595,HIGH SCHOOL,1,23,7,7,17.8,9.5,16,13.5,5.9
2023,CLARA BARTON HIGH SCHOOL,73K600,K600,HIGH SCHOOL,8,90,41,39,12.7,8.4,51,11.3,7.3
2023,ORIGINS HIGH SCHOOL,73K611,K611,HIGH SCHOOL,3,38,9,19,7.7,4.8,19,5.5,3.7
2023,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH S,73K615,K615,HIGH SCHOOL,6,78,26,46,16.2,8.6,32,9.6,4.7
2023,BROOKLYN HIGH SCHOOL FOR LEADERSHIP AND COMMUNITY,73K616,K616,HIGH SCHOOL,3,13,4,7,12.1,5.9,6,11.2,8.1
2023,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDI,73K617,K617,HIGH SCHOOL,4,28,6,9,6.8,4.8,19,8.1,2.8
2023,ACADEMY OF INNOVATIVE TECHNOLOGY,73K618,K618,HIGH SCHOOL,3,35,9,20,7.8,7.6,15,8.4,4.6
2023,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,73K629,K629,HIGH SCHOOL,3,22,8,8,17.3,6.8,14,8,3.1
2023,PROFESSIONAL PATHWAYS HIGH SCHOOL,73K630,K630,HIGH SCHOOL,3,17,4,10,11.1,6.3,7,12.8,6.7
2023,HIGH SCHOOL FOR MEDICAL PROFESSIONS,73K633,K633,HIGH SCHOOL,3,30,5,11,12.2,7.5,19,12.8,7.3
2023,OLYMPUS ACADEMY,73K635,K635,HIGH SCHOOL,2,16,5,*,,,*,,
2023,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,73K637,K637,HIGH SCHOOL,3,30,10,14,9.3,4.7,16,6.9,4
2023,BROOKLYN LAB SCHOOL,73K639,K639,HIGH SCHOOL,4,27,9,8,14.6,4.9,19,13.2,6
2023,URBAN ACTION ACADEMY,73K642,K642,HIGH SCHOOL,3,10,5,*,,,*,,
2023,BROOKLYN DEMOCRACY ACADEMY,73K643,K643,HIGH SCHOOL,2,14,5,7,5.7,4.6,7,6.1,1.6
2023,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,73K646,K646,HIGH SCHOOL,3,14,5,6,8,7.1,8,20.6,7.2
2023,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,73K659,K659,HIGH SCHOOL,3,29,9,11,7.7,4.9,18,7.8,4.8
2023,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH,73K660,K660,HIGH SCHOOL,4,46,18,13,8.5,5.2,33,14.4,9.9
2023,SUNSET PARK HIGH SCHOOL,73K667,K667,HIGH SCHOOL,6,112,17,46,7.8,5.9,66,8.2,6
2023,BENJAMIN BANNEKER ACADEMY,73K670,K670,HIGH SCHOOL,5,48,17,16,10.3,7.9,32,13,7.4
2023,SCHOOL FOR CLASSICS HIGH SCHOOL,73K683,K683,HIGH SCHOOL,2,22,6,6,12.9,5.5,16,9.2,5.4
2023,MILLENNIUM BROOKLYN HS,73K684,K684,HIGH SCHOOL,4,66,9,23,10.4,6.6,43,9.1,5.2
2023,TEACHERS PREPARATORY HIGH SCHOOL,73K697,K697,HIGH SCHOOL,2,18,8,5,15.2,12,13,17.4,11.7
2023,BROOKLYN INSTITUTE FOR LIBERAL ARTS,73K745,K745,HIGH SCHOOL,4,37,10,16,3.3,3.3,21,3.8,2.6
2023,ACADEMY FOR HEALTH CAREERS,73K751,K751,HIGH SCHOOL,3,18,3,8,7.5,6.1,10,13.7,5.6
2023,THE URBAN ASSEMBLY SCHOOL FOR COLLABORATIVE HEALTH,73K764,K764,HIGH SCHOOL,2,26,5,8,10.1,5.3,18,4.8,3.4
2023,NELSON MANDELA HIGH SCHOOL,73K765,K765,HIGH SCHOOL,1,17,4,6,14.3,5.8,11,12,4.2
2023,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,76K344,K344,HIGH SCHOOL,5,38,17,14,11.1,7.5,24,7.3,4.8
2023,ABRAHAM LINCOLN HIGH SCHOOL,76K410,K410,HIGH SCHOOL,9,121,41,46,11.3,8.5,75,11.5,9.1
2023,BROOKLYN FRONTIERS HIGH SCHOOL,76K423,K423,HIGH SCHOOL,3,18,3,9,13.9,8.5,9,5.6,3.8
2023,DIGITAL ARTS AND CINEMA TECHNOLOGY HIGH SCHOOL,76K429,K429,HIGH SCHOOL,2,27,7,10,8.1,5.7,17,7.5,6
2023,BROOKLYN TECHNICAL HIGH SCHOOL,76K430,K430,HIGH SCHOOL,14,288,47,152,13.7,9,136,12.9,7.6
2023,BROOKLYN LATIN SCHOOL  THE,76K449,K449,HIGH SCHOOL,4,46,10,20,6.9,5.6,26,7.1,4.3
